paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
6994,verification_and_gating,model,philosophical_paper,none,not_specified,preprint,"Abstract's object is evaluator authorization: locally validated steps failing to compose, with gluing-defect diagnostics; it proves a conditional kernel theorem and offers a calculus, no study, so a conceptual framework."
6998,planning_and_control_flow,model,evaluation_research,controlled_experiment,not_specified,journal,"Nexus's named novelty is an adaptive selector choosing Direct vs ReAct vs Plan-and-Execute per task, i.e. what the loop does next; evaluated on 500 real enterprise tasks with production deployment lessons."
7005,planning_and_control_flow,tool,validation_research,controlled_experiment,human_in_the_loop,conference,"Both systems contribute interactive task decomposition into editable subgoals or phases that fix the next step; evidence is a lab within-subjects experiment (n=18) with prototypes, not deployed use."
7010,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,fully_autonomous,preprint,"Headline artefact is CARA, automated metrics auditing debate behaviour and naming the consistency-illusion failure mode; measured on MedQA-USMLE and MedThink-Bench in the lab."
7022,multi_agent_coordination,model,solution_proposal,illustrative_example,human_in_the_loop,journal,"Contribution is the arrangement itself: a pipeline of interpretation, synthesis, validation and correction agents; the paper analyses the architecture and asserts superiority without a measured study."
7023,verification_and_gating,model,solution_proposal,illustrative_example,not_specified,preprint,"XPS 2's mechanism is a rule-based controller that must verify every LLM hypothesis before it can influence decisions; the paper outlines design principles and demonstrates on fault diagnosis, no measurement."
7029,multi_agent_coordination,model,philosophical_paper,none,human_on_the_loop,preprint,The claim concerns the arrangement of role-differentiated agents in a shared context and prescribes injecting a heterogeneous external agent; it is a conceptual account of a failure mode with no method or data.
7039,verification_and_gating,method,validation_research,controlled_experiment,fully_autonomous,preprint,Its distinguishing claim is an integrated monitor combining internal reasoning with execution results to detect abnormal behaviour; a prototype is run on task scenarios against existing methods in the lab.
7042,multi_agent_coordination,model,philosophical_paper,none,not_specified,preprint,"The thesis is that coordination topology determines failure geometry, i.e. the arrangement of agents; the paper is explicitly a heuristic synthesis over seven preprints, not a derivation or a study."
7137,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"TUMIX runs diverse tool-use agents in parallel and selects among their answer paths, changing the shape of candidate exploration; gains reported on standard reasoning benchmarks with Gemini backbones."
7151,self_evolution,method,validation_research,controlled_experiment,fully_autonomous,preprint,SI-Agent's outer loop rewrites the agent's own system instructions from reward feedback across cycles; experiments compare it to baselines on task performance and readability in the lab.
7169,critique_and_revision,model,solution_proposal,none,not_specified,preprint,"The contribution is the revision law: treating output deviation as an error term driving iterative prompt refinement; only a control-theoretic mathematical foundation is offered, with no evaluation."
7181,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Agent-R trains the model on self-constructed revision trajectories, an outer loop changing the agent between episodes; effectiveness shown by experiments in interactive agent environments."
7186,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,Retroformer learns a retrospective model by policy gradient that rewrites the agent's prompt from environment rewards across episodes; validated experimentally on agent tasks against non-gradient baselines.
7197,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"MOSAIC structures inference as plan, check, then act or refuse, a safety gate on each action; evaluated zero-shot on out-of-distribution harmful-task, injection and privacy benchmarks."
7211,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"The reward designs suppress excessive tool calls, cutting calls by 72% to control cost and latency; evidence is pilot entropy experiments plus benchmark runs across domains against baselines."
7222,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"The framework closes injection, diagnosis and refinement: a rule-based diagnoser's structured labels drive an optimizer that rewrites payloads; measured on AgentDojo and InjectAgent against baselines."
7236,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,The question is whether revising hypotheses on experimental feedback helps at all; 800 replicated runs with a permuted-feedback control condition and p-values make it a lab experiment.
7239,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,fully_autonomous,preprint,The artefact is a 180-task ABAP measurement suite used to instrument how models exploit compiler feedback over iterations; results are lab benchmark success rates across models.
7245,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,ToolBench-X is an instrument: executable tasks with five injected hazard types and recovery paths for measuring agent loops; the paper reports benchmark results for agents in the lab.
7391,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,human_in_the_loop,preprint,"MINT is a benchmark plus evaluation harness for multi-turn tool use and language feedback; twenty models are measured on it in the lab, with user feedback simulated inside each turn."
7430,self_evolution,method,validation_research,benchmark,fully_autonomous,journal,"DGM iteratively rewrites its own code and keeps validated variants, an outer loop that changes the agent itself; each self-modification is empirically checked on coding benchmarks."
7453,memory_and_context_management,method,solution_proposal,none,not_specified,preprint,The distinctive mechanism is a memory optimization based on the Ebbinghaus forgetting curve governing what carries across long-span tasks; the abstract argues the design and reports no measurement.
7458,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"CER accumulates past trajectories in a dynamic memory buffer and retrieves them into the context window, a training-free state-carrying mechanism; evaluated on WebArena and VisualWebArena."
7461,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"ERL stores reflected heuristics and selectively retrieves them into context, and its ablation credits retrieval; success-rate gains are measured on the Gaia2 benchmark against a ReAct baseline."
