paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
4704,self_evolution,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Attacks the skill-promotion step of self-evolving skill systems (inclusion/attribution/realization), so the object is the outer evolution loop; evidence is lab trials at varied attacker-support ratios across six evolvers."
4714,memory_and_context_management,tool,validation_research,benchmark,not_specified,preprint,"Contribution is the Pask system's hybrid workspace/user/global long-term memory for grounding proactive action; evaluated only on the authors' LatentNeeds-Bench under latency constraints, i.e. lab validation."
4719,self_evolution,tool,validation_research,benchmark,human_on_the_loop,preprint,"Claim is a fixed-weight self-evolving runtime that admits memories, skills and verifiers into persistent state between missions; headline evidence is seven benchmark arenas (SWE-Bench Pro, AARRI-Bench), not field study."
4742,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,Contribution is state-aware routing among context-management strategies (what history is kept) rather than candidate solutions; validated on web-agent benchmarks across backbones. Runner-up: deliberative_search for the parallel branches.
4746,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,CAT makes context maintenance a callable tool with structured workspace and milestone compression; validated in the lab on SWE-Bench-Verified against ReAct and static-compression baselines.
4816,memory_and_context_management,tool,solution_proposal,illustrative_example,not_specified,preprint,"MOSS's claim is a dynamic context-management runtime keeping Python context and local-variable isolation across turns; support is 'a series of case studies' showing framework use, with no measured validation."
4822,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,"Reframes GUI interaction history as a program with variables and control flow to decide what context is retained or discarded; evidence is AndroidWorld plus an extended long-horizon suite, a lab benchmark run."
4830,memory_and_context_management,method,validation_research,controlled_experiment,not_specified,preprint,"Contribution is three context-efficiency mechanisms (LoRA-distilled context state object, compact tool schemas, JIT schema passing); evaluated by comparing a 3B agent against a conventional baseline on user tasks, not a named benchmark."
4833,memory_and_context_management,tool,validation_research,benchmark,not_specified,preprint,"VISTA is a plug-in layer exposing typed context blocks, token usage and remaining budget so the agent makes keep-or-archive decisions; lab evidence on LOCA-Bench, BrowseComp-Plus and GAIA with ablations."
4836,memory_and_context_management,tool,validation_research,benchmark,not_specified,preprint,"Scroll is a context manager with append-only event log, typed kernel namespace and recoverable eviction deciding what enters the working view; validated on LongMemEval_S, BEAM_10M and LOCA_256K."
4856,verification_and_gating,model,validation_research,controlled_experiment,human_in_the_loop,preprint,"Integrates a risk encoder over time into a continuous escalation-pressure signal that governs when the agent defers to a clinician; evidence is synthetic ward scenarios comparing stateless, first- and second-order dynamics."
4861,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,"Empirical audit of one named mechanism - agent context management - comparing observation masking, LLM summarization and a new hybrid; evidence is SWE-bench Verified across five model configurations in the lab."
4886,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,"BACM formulates when and how much interaction history to compress as a budget-constrained sequential decision, learned by RL; validated on multi-objective QA and web-browsing benchmarks. Runner-up: budget_and_termination_control."
4916,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,not_specified,preprint,"The stated contribution is a measurement and stress-test framework (replay pairing, hidden-state probe, strict stripping) for whether plans persist; evidence is paired with/without-plan trajectory runs, a lab design."
4944,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,CAT makes context maintenance a callable tool with structured workspace and milestone compression; validated in the lab on SWE-Bench-Verified against ReAct and static-compression baselines.
4957,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,CoMem decouples memory summarization from the agent loop via a k-step-off asynchronous pipeline with reward-aligned training; lab evidence is latency and accuracy on SWE-Bench-Verified.
4960,verification_and_gating,method,validation_research,benchmark,not_specified,preprint,"Empirical audit of process verification as an acceptance judgement on intermediate MAS steps (judges, reward models, PRMs at two granularities); evidence is runs over six MAS frameworks on reasoning benchmarks in the lab."
4963,memory_and_context_management,tool,validation_research,benchmark,not_specified,preprint,GCC turns agent context into a persistent navigable workspace with COMMIT/BRANCH/MERGE/CONTEXT for checkpointing and hierarchical retrieval; validated on SWE-Bench Verified and BrowseComp. Runner-up: planning_and_control_flow.
4970,deliberative_search,method,validation_research,benchmark,not_specified,preprint,"Contribution shapes evolutionary search over candidates - momentum-based backtracking against mode collapse and a sampling policy unifying backtracking with cross-trajectory crossover; validated on LLM-SR, KernelBench, Modded NanoGPT."
4971,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,not_specified,preprint,"Headline artefact is LoCoEval, a benchmark instrument for repository-oriented long-horizon context management, generalising past any one mechanism; 7 baselines and 3 backbones are run on it in the lab."
4974,verification_and_gating,tool,validation_research,benchmark,not_specified,preprint,"FormalAgentLib formally verifies workflow semantic consistency in Lean4 and localises trajectory failures, a proof-based check that gates which workflows stand; validated on SWE-Bench-Verified hard subset and ELAIP-Bench over 5 LLMs."
4975,memory_and_context_management,tool,validation_research,benchmark,not_specified,preprint,"ACE is a plug-in module assigning each historical step a raw/abstract/drop type with lossless recovery, governing what state carries forward; validated by attaching it to four agent frameworks and comparing on benchmarks."
4977,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,"HyMem separates context into functional layers so execution traces do not pollute the persistent planning context, with summaries kept across refreshes; lab evidence is Pass@1 on GAIA and BrowseComp-plus."
4978,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,"Reframes GUI interaction history as a program with variables and control flow to decide what context is retained or discarded; evidence is AndroidWorld plus an extended long-horizon suite, a lab benchmark run."
4979,planning_and_control_flow,method,validation_research,benchmark,not_specified,preprint,"Lead contribution is a symbolic action protocol partitioning behaviour into planning, task-solving and retrospection with deterministic execution format that fixes the next step; validated on multi-hop QA with Qwen2.5/3 models."
