paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
1070,multi_agent_coordination,tool,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a framework that dynamically adjusts group composition and studies emergent inter-agent behaviour; lab experiments show groups beating a single agent, no deployment."
1077,deliberative_search,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Claim is tree-structured exploration of the solution space with backtracking via a ToT controller; evidence is a prototype Sudoku solver compared against the plain LLM in the lab."
1082,deliberative_search,method,solution_proposal,none,not_specified,preprint,"Title-only record: multi-critic plan selection selects among candidate plans to suppress echo cascades; no abstract, so only a proposed mechanism is visible and no evaluation is evidenced."
1101,multi_agent_coordination,model,validation_research,controlled_experiment,fully_autonomous,journal,"Claim compares a nine-role multi-agent orchestration against a two-agent generator-reflector loop over a shared design-state graph; 60 lab runs across 2 LLMs x 2 configs x 3 temperatures x 5 seeds."
1103,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Theory of Mind module scaffolds hierarchical planning by generating and refining hypotheses that drive high-level action choice; validated in the lab on Melting Pot (runner-up critique_and_revision)."
1113,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a best-first tree search over environment states with explicit exploration at inference; lab results on VisualWebArena and WebArena, no real deployment."
1116,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"ACE rewrites the agent's own context playbook from execution feedback across episodes (offline prompts, online memory); benchmark results on agent and finance suites (runner-up memory_and_context_management)."
1126,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,conference,"Contribution substitutes repeated LLM tool-selection calls with a cheap trajectory-derived transition graph, claiming up to 30% inference-cost cuts; lab experiments across agent tasks."
1182,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Outer loop fine-tunes the model on its own self-refined responses over successive self-evolution iterations; lab experiments on mathematics and general tasks without human intervention."
1203,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Object of study is a self-feedback mechanism where the LLM evaluates then refines its own queries and answers; measured on the BioASQ CLEF 2025 challenge data, a lab benchmark setting."
1241,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Self-Refine is the revise-on-own-feedback loop itself, one LLM as generator, feedback provider and refiner; validated in the lab across 7 established tasks against one-step generation."
1257,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Novelty is Structured Evidence Assessment, an analytical gating module that audits evidence for gaps and repeats until evidence is verified sufficient; lab results on HotpotQA, 2WikiMultiHopQA, MuSiQue."
1273,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is self-debugging: the model explains and repairs its own program from execution results with no human feedback; lab benchmark results on Spider, TransCoder and MBPP."
1283,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"ProMiSe iteratively refines a response one quality principle at a time using external proxy-metric feedback; validated in the lab on MultiDoc2Dial and QuAC."
1319,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Paper's object is whether verbalized self-feedback refinement is worth its cost, proposing feedback-free retrials instead; lab comparison of refinement frameworks against the simpler retrial condition."
1331,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Multi-Aspect Feedback is an iterative refinement framework whose contribution is the per-error-category critique fed back for rewriting; lab gains reported on mathematical reasoning and logical entailment."
1341,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is the debate arrangement itself, several agents in tit-for-tat with a judge managing the process, proposed against single-agent reflection; lab results on two reasoning datasets."
1343,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"SummIt refines a summary iteratively through self-evaluation and feedback, and reports overcorrection as a finding; automatic evaluation on three benchmark summarization datasets plus a human check."
1346,critique_and_revision,method,validation_research,human_study,human_in_the_loop,preprint,"Contribution is critique generation fed back to humans and to the model to refine summaries; evidence is lab studies where human evaluators using the critiques find flaws they otherwise missed."
1348,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"CRITIC's claim is the verify-then-amend loop in which external tool feedback drives progressive revision; lab evaluations on free-form QA, mathematical program synthesis and toxicity reduction."
1349,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Empirical audit of intrinsic self-correction, showing reasoning performance degrades when a model revises without external feedback; lab experiments on reasoning tasks, not a deployed setting."
1350,self_evolution,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Agents improve each other across repeated negotiation rounds by self-play plus in-context learning from a critic's AI feedback; lab game with deal price as metric across models and roles."
1351,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"TEaR is a translate-estimate-refine self-refinement loop whose claim is that self-feedback drives error reduction; lab evaluation with automatic metrics and MQM scores against internal and external feedback."
1353,critique_and_revision,metric,validation_research,benchmark,fully_autonomous,conference,"Studies why self-refinement fails, showing the self-refine pipeline amplifies self-bias; lab analysis of six LLMs on translation, constrained generation and mathematical reasoning datasets."
1364,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is the debate arrangement itself, several agents in tit-for-tat with a judge managing the process, proposed against single-agent reflection; lab results on two reasoning datasets."
