paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
285,verification_and_gating,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Abstract's object is the evaluator that gates the loop (self-verdict versus externally grounded oracle); evidence is a controlled lab testbed over 54 cycles, not a deployed setting, so validation_research."
294,planning_and_control_flow,model,solution_proposal,none,not_specified,preprint,"Contribution is an explicit static DAG that lifts control flow out of the context and fixes step order; authors state it is a design proposal with an experimental protocol and no empirical results, so solution_proposal."
301,verification_and_gating,model,solution_proposal,illustrative_example,fully_autonomous,preprint,"Contribution is a discrete safety interlock that resets the agent when the lagged verifier is outpaced, a gate on continuation; only a simulation of the authors' own model supports it, so solution_proposal."
304,verification_and_gating,model,validation_research,benchmark,fully_autonomous,preprint,"A runtime controller mediates and arbitrates each action against policy before execution, a pre-execution gate; evaluated only on Agent Security Bench and InjecAgent in the lab, so validation_research."
305,memory_and_context_management,tool,validation_research,benchmark,fully_autonomous,preprint,"Pufibara maintains persistent engineering state and binds evidence to the candidate that produced it across revisions (memory); evidence is lab pass counts on the authors' 232-task suite, so validation_research."
311,budget_and_termination_control,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Study is about agents failing to recognise plateaus and terminate, i.e. stopping control; 13 LLMs run in a zero-human sandbox with widened iteration limits, a lab setup, so validation_research."
312,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,fully_autonomous,preprint,"Headline artefact is MatPCR, a label-free benchmark with programmatic oracles and a Physical-Consistency Rate for measuring reasoning; all results are lab benchmark runs, so validation_research."
313,budget_and_termination_control,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Study is about agents failing to recognise plateaus and terminate, i.e. stopping control; 13 LLMs run in a zero-human sandbox with widened iteration limits, a lab setup, so validation_research."
321,memory_and_context_management,tool,validation_research,benchmark,fully_autonomous,preprint,"Contribution reformulates long-horizon execution as task state kept outside the growing context and read back each round (memory); gains reported on WeaveBench, Terminal-Bench and OSWorld, so validation_research."
324,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,"A metacognitive co-regulation agent monitors and feeds back on the design agent's reasoning so designs are revised (critique); evaluated on a lab battery-pack task against a plain loop, so validation_research."
328,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is two agent-directed tree-search formulations branching on partial-proof states or subagent contexts; evidence is re-running the Lean vericoding benchmark in the lab, so validation_research."
333,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"EDV governs which distilled experiences are admitted to memory so the agent improves across episodes (self-evolution); validated on tau2-bench, Mind2Web and MMTB in the lab, so validation_research."
334,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"The artefact is a characterization of two loop failure modes with declaration-action-gap and livelock metrics (diagnosis); measured in controlled multi-turn lab runs, not deployment, so validation_research."
335,verification_and_gating,method,validation_research,ablation,fully_autonomous,preprint,"Novelty is an execution oracle obtained by running the source PyTorch modules, which judges each candidate before regeneration (gating); ablations run on lab migration tasks, so validation_research."
337,memory_and_context_management,model,validation_research,benchmark,fully_autonomous,preprint,"Contribution replaces the agent's lossy implicit search state with an explicit persistent belief state that bounds context; empirically validated across four methods and three QA domains, so validation_research."
339,multi_agent_coordination,model,solution_proposal,illustrative_example,not_specified,preprint,"SynapseFabric's contribution is the arrangement itself: parallel sub-agents governed by a central selection and broadcast hub; support is three illustrative deployment sketches, no measurement, so solution_proposal."
341,verification_and_gating,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"Object is the LLM jury used as the acceptance and stopping criterion for agent loops, concluding verification must be an external gate; tested on a 16-case gold set in the lab, so validation_research."
343,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"A-ProS's claim is the stateful refinement loop where debugging critics feed diagnostics back for rewriting; evaluated on 367 ICPC and Codeforces problems in the lab, so validation_research."
346,budget_and_termination_control,method,solution_proposal,none,not_specified,preprint,"BTUP selects execution paths by expected cost per accepted resolution under reasoning and output budgets with retry escalation; authors state empirical results come in a later version, so solution_proposal."
348,budget_and_termination_control,model,validation_research,controlled_experiment,fully_autonomous,preprint,"The measured property is whether agent loops converge or run non-terminating on goals with no representable terminal, a halting property; pre-registered lab study of 76 goals in four conditions, so validation_research."
369,verification_and_gating,process,solution_proposal,illustrative_example,not_specified,preprint,"The named primitive is the stochastic-deterministic boundary - proposer, verifier, commit, reject - gating whether an output becomes an action; support is five stylized workloads plus one reference implementation, so solution_proposal."
370,planning_and_control_flow,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"Measured outcome is how induced OCEAN traits shift the agent's planning, scheduling and task selection, i.e. what the loop does next; agents studied in a lab setup only, so validation_research."
401,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"ProgRouter's mechanism assigns which LLM agent runs each step of a multi-agent workflow, a routing and role-assignment decision; evaluated on HumanEval Plus, MBPP, MATH-500 and ASQA, so validation_research."
422,multi_agent_coordination,tool,solution_proposal,illustrative_example,fully_autonomous,preprint,"CMA's contribution is the arrangement of asynchronous LLM modules communicating over one shared global state; viability shown only through two demonstration use cases, so solution_proposal."
426,multi_agent_coordination,process,validation_research,controlled_experiment,fully_autonomous,preprint,"The manipulated variable is how many workers the subtasks are decomposed across, holding tools and orchestrator fixed (coordination); a pre-registered 4,400-run lab sweep against a rule-engine oracle, so validation_research."
