paper_id,title,year,venue,source
2,A Physical Agentic Loop for Language-Guided Grasping with Execution-State Monitoring,2026,arXiv:cs.RO,arxiv
3,Hierarchical Multi-agent Large Language Model Reasoning for Autonomous Functional Materials Discovery,2025,arXiv:cond-mat.mtrl-sci,arxiv
14,Retrospex: Language Agent Meets Offline Reinforcement Learning Critic,2025,arXiv:cs.CL,arxiv
61,BALAR : A Bayesian Agentic Loop for Active Reasoning,2026,arXiv:cs.AI,arxiv
77,SWEnergy: An Empirical Study on Energy Efficiency in Agentic Issue Resolution Frameworks with SLMs,2025,arXiv:cs.SE,arxiv
90,Controlling Long-Horizon Behavior in Language Model Agents with Explicit State Dynamics,2026,arXiv:cs.AI,arxiv
116,Theory of Mind for Multi-Agent Collaboration via Large Language Models,2023,arXiv:cs.CL,arxiv
156,When Agents Do Not Stop: Uncovering Infinite Agentic Loops in LLM Agents,2026,arXiv:cs.SE,arxiv
215,DREAMS: Density Functional Theory Based Research Engine for Agentic Materials Simulation,2025,arXiv (Cornell University),openalex
221,AGENTSAFE: A Unified Framework for Ethical Assurance and Governance in Agentic AI,2025,arXiv (Cornell University),openalex
225,Agent-SAMA: State-Aware Mobile Assistant,2026,Proceedings of the AAAI Conference on Artificial Intelligence,openalex
234,From the logic of coordination to goal-directed reasoning: the agentic turn in artificial intelligence,2026,Frontiers in Artificial Intelligence,openalex
236,"MAgICoRe: Multi-Agent, Iterative, Coarse-to-Fine Refinement for Reasoning",2024,arXiv (Cornell University),openalex
237,AgentQuest: A Modular Benchmark Framework to Measure Progress and Improve LLM Agents,2024,arXiv (Cornell University),openalex
255,GENIUS: an agentic AI framework for autonomous design and execution of simulation protocols,2026,Communications Materials,openalex
262,Characterizing Large Language Model Agentic Workflows: A Study on N8n Ecosystem,2026,arXiv (Cornell University),openalex
263,Can Small Agents Collaborate to Beat a Single Large Language Model?,2026,arXiv (Cornell University),openalex
265,Towards Evaluating Agentic Large Language Models in Digital System Design,2026,Open MIND,openalex
268,Don't Blame the Large Language Model: How Agent Harness Evolution Shapes Coding Agent Quality,2026,arXiv (Cornell University),openalex
271,Sovereign Agentic Loops: Decoupling AI Reasoning from Execution in Real-World Systems,2026,arXiv (Cornell University),openalex
272,Semantic Early-Stopping for Iterative LLM Agent Loops,2026,arXiv (Cornell University),openalex
274,Verified Detection and Prevention of Concurrency Anomalies in Multi-Agent Large Language Model Systems,2026,arXiv (Cornell University),openalex
279,From Agent Loops to Deterministic Graphs: Execution Lineage for Reproducible AI-Native Work,2026,arXiv (Cornell University),openalex
281,"Evaluating Large Language Models as Live Strategic Agents: Provider Performance, Hybrid Decomposition, and Operational Gaps in Timed Risk Play",2026,arXiv (Cornell University),openalex
284,Structured Feedback Improves Repair in an LLM Agent Loop,2026,arXiv (Cornell University),openalex
285,When Do Agent Loops Mistake Stagnation for Progress? Self-Evaluation Bias and Externally Grounded Verification in Long-Running Autonomous LLM Agent Loops,2026,arXiv (Cornell University),openalex
294,From Agent Loops to Structured Graphs:A Scheduler-Theoretic Framework for LLM Agent Execution,2026,arXiv (Cornell University),openalex
301,AGENTIC COLLAPSE: A Time-Delayed Cybernetic Framework for Epistemic Stability in Autonomous AI Systems,2026,Zenodo (CERN European Organization for Nuclear Research),openalex
304,SafeAgent: A Runtime Protection Architecture for Agentic Systems,2026,arXiv (Cornell University),openalex
305,Beyond Executable Models: The Pufibara Agent Harness and the Modelica Agent Workflow Benchmark for Physical System Modeling,2026,arXiv (Cornell University),openalex
311,Ai In The Loop: The Autonomous Sunk-Cost Fallacy,2026,Zenodo (CERN European Organization for Nuclear Research),openalex
312,Physics as the label for measuring and correcting materials reasoning in multimodal models,2026,Zenodo (CERN European Organization for Nuclear Research),openalex
313,The Autonomous Sunk-Cost Fallacy: Stopping Failures and Meta-Reasoning in LLMs Deployed within the Autonomous Empirical Optimization System (AEOS),2026,Zenodo (CERN European Organization for Nuclear Research),openalex
321,LongHorizon-Harness: Advancing Long-Horizon Agents for Real-World Tasks,2026,arXiv (Cornell University),openalex
324,Supervising Ralph Wiggum: Exploring a Metacognitive Co-Regulation Agentic AI Loop for Engineering Design,2026,arXiv (Cornell University),openalex
328,Automating Formal Verification with Agent-Guided Tree Search,2026,arXiv (Cornell University),openalex
333,Escaping the Self-Confirmation Trap: An Execute-Distill-Verify Paradigm for Agentic Experience Learning,2026,arXiv (Cornell University),openalex
334,Operational Hallucination and Safety Drift in AI Agents,2026,arXiv (Cornell University),openalex
335,Agentic Framework for Deep Learning workload migration via In-Context Learning,2026,arXiv (Cornell University),openalex
337,The Context Gathering Decision Process: A POMDP Framework for Agentic Search,2026,arXiv (Cornell University),openalex
339,Operationalizing Global Workspace Theory for Metacognitive Multi-Agent LLM Architecture,2026,Zenodo (CERN European Organization for Nuclear Research),openalex
341,Agreement Is Not Truth: How LLM Juries Converge Confidently on Legally False Answers,2026,Zenodo (CERN European Organization for Nuclear Research),openalex
343,A-ProS: Towards Reliable Autonomous Programming Through Multi-Model Feedback,2026,arXiv (Cornell University),openalex
346,Best Token Use Path (BTUP): Client-Side Traffic Engineering for Cost-Aware LLM Inference,2026,Zenodo (CERN European Organization for Nuclear Research),openalex
348,"Dread without a dreader: anxiety as a non-terminating race, and the collision at the edge of constructive representation",2026,Zenodo (CERN European Organization for Nuclear Research),openalex
369,A Methodology for Selecting and Composing Runtime Architecture Patterns for Production LLM Agents,2026,arXiv:cs.AI,arxiv
370,Personality-Driven Decision-Making in LLM-Based Autonomous Agents,2025,arXiv:cs.AI,arxiv
401,ProgRouter: Online Progress-Guided Orchestration for Multi-Agent LLM Workflows under Quality-Cost Tradeoffs,2026,arXiv:cs.AI,arxiv
422,A Concurrent Modular Agent: Framework for Autonomous LLM Agents,2025,arXiv:cs.AI,arxiv
426,Right-Sizing LLM-Agent Decomposition in VAT Determination: A Pilot Controlled Sweep,2026,arXiv:cs.MA,arxiv
427,Zombie Agents: Persistent Control of Self-Evolving LLM Agents via Self-Reinforcing Injections,2026,arXiv:cs.CR,arxiv
430,Uncertainty Decomposition for Clarification Seeking in LLM Agents,2026,arXiv:cs.AI,arxiv
441,Understanding Multi-Agent LLM Frameworks: A Unified Benchmark and Experimental Analysis,2026,arXiv:cs.AI,arxiv
442,"STRIDE: A Systematic Framework for Selecting AI Modalities -- Agentic AI, AI Assistants, or LLM Calls",2025,arXiv:cs.AI,arxiv
454,Agent Capsules: Quality-Gated Granularity Control for Multi-Agent LLM Pipelines,2026,arXiv:cs.CL,arxiv
457,COALESCE: Economic and Security Dynamics of Skill-Based Task Outsourcing Among Team of Autonomous LLM Agents,2025,arXiv:cs.AI,arxiv
467,BOLAA: Benchmarking and Orchestrating LLM-augmented Autonomous Agents,2023,arXiv:cs.AI,arxiv
470,Communication and Verification in LLM Agents towards Collaboration under Information Asymmetry,2025,arXiv:cs.CL,arxiv
472,Breaking Agents: Compromising Autonomous LLM Agents Through Malfunction Amplification,2024,arXiv:cs.CR,arxiv
479,Structured Cognitive Loop for Behavioral Intelligence in Large Language Model Agents (Extended Revision: From Behavioral Architecture to Epistemic Accountability),2025,arXiv:cs.AI,arxiv
482,A Self-Healing Framework for Reliable LLM-Based Autonomous Agents,2026,arXiv:cs.SE,arxiv
492,Active Context Compression: Autonomous Memory Management in LLM Agents,2026,arXiv:cs.AI,arxiv
509,Verifiability-First Agents: Provable Observability and Lightweight Audit Agents for Controlling Autonomous LLM Systems,2025,arXiv:cs.MA,arxiv
512,The Observability Gap: Why Output-Level Human Feedback Fails for LLM Coding Agents,2026,arXiv:cs.HC,arxiv
517,Task Memory Engine (TME): Enhancing State Awareness for Multi-Step LLM Agent Tasks,2025,arXiv:cs.AI,arxiv
518,ClawTrace: Cost-Aware Tracing for LLM Agent Skill Distillation,2026,arXiv:cs.AI,arxiv
522,Silent Failure in LLM Agent Systems: The Entropy Principle and the Inevitable Disorder of Autonomous Agents,2026,arXiv:cs.MA,arxiv
523,Continuous Improvement and Parallel Autonomous Exploration: An LLM-Agent Framework for Searching Large Solution Spaces,2026,arXiv:cs.MA,arxiv
542,EvoTrainer: Co-Evolving LLM Policies and Training Harnesses for Autonomous Agentic Reinforcement Learning,2026,arXiv:cs.AI,arxiv
561,Adaptive Data Flywheel: Applying MAPE Control Loops to AI Agent Improvement,2026,,openalex
566,Stable Agentic Control: Tool-Mediated LLM Architecture for Autonomous Cyber Defense,2026,arXiv (Cornell University),openalex
567,AICL: A Control-Loop Architecture for Stable Long-Horizon LLM Agents,2025,Zenodo (CERN European Organization for Nuclear Research),openalex
571,Resilience in Ambient Multi-Agent LLMs via Decentralized Bio-Autonomic Control and Immune-Inspired Anomaly Detection,2026,Proceedings of the AAAI Conference on Artificial Intelligence,openalex
578,Self-Evolving Software Agents,2026,arXiv (Cornell University),openalex
581,The Brain Needs a Body: Stabilizing Long-Horizon Reasoning with Kinematic Control,2026,Zenodo (CERN European Organization for Nuclear Research),openalex
590,Novel AI Architectures for Intelligent Telecom Network Control,2026,Epubl LTU,openalex
595,State Machine Structured Agents for Physical Science Reasoning,2026,Proceedings of the AAAI Symposium Series,openalex
