paper_id,title,technology_term,control_term,retained
1,Learning From Failure: Integrating Negative Examples when Fine-tuning Large Language Models as Agents,True,True,True
2,A Physical Agentic Loop for Language-Guided Grasping with Execution-State Monitoring,True,True,True
3,Hierarchical Multi-agent Large Language Model Reasoning for Autonomous Functional Materials Discovery,True,True,True
6,Large Language Model Evaluation Via Multi AI Agents: Preliminary results,True,True,True
9,"Large Language Model Agent: A Survey on Methodology, Applications and Challenges",True,True,True
10,Knowledge-Driven Agentic Scientific Corpus Distillation Framework for Biomedical Large Language Models Training,True,True,True
14,Retrospex: Language Agent Meets Offline Reinforcement Learning Critic,True,True,True
15,Large Language Models Reasoning Abilities Under Non-Ideal Conditions After RL-Fine-Tuning,True,True,True
21,Exploring Advanced Large Language Models with LLMsuite,True,True,True
22,Making Large Language Models Better Reasoners with Alignment,True,True,True
23,Structured Inference with Large Language Gibbs,True,True,True
27,Unmasking the Shadows of AI: Investigating Deceptive Capabilities in Large Language Models,True,True,True
34,ARCANE: A Multi-Agent Framework for Interpretable and Configurable Alignment,True,True,True
35,A Critical Review of Causal Reasoning Benchmarks for Large Language Models,True,True,True
39,Open-Ended Instructable Embodied Agents with Memory-Augmented Large Language Models,True,True,True
47,Can Large Language Model Agents Simulate Human Trust Behavior?,True,True,True
50,"Agent Skills for Large Language Models: Architecture, Acquisition, Security, and the Path Forward",True,True,True
51,AgentGen: Enhancing Planning Abilities for Large Language Model based Agent via Environment and Task Generation,True,True,True
54,A Language Agent for Autonomous Driving,True,True,True
57,Reinforcement Learning Meets Large Language Models: A Survey of Advancements and Applications Across the LLM Lifecycle,True,True,True
59,CROP: Token-Efficient Reasoning in Large Language Models via Regularized Prompt Optimization,True,True,True
61,BALAR : A Bayesian Agentic Loop for Active Reasoning,True,True,True
72,Precise Length Control in Large Language Models,True,True,True
77,SWEnergy: An Empirical Study on Energy Efficiency in Agentic Issue Resolution Frameworks with SLMs,True,True,True
79,Large Language Model-Brained GUI Agents: A Survey,True,True,True
83,"Husky: A Unified, Open-Source Language Agent for Multi-Step Reasoning",True,True,True
85,Learning to Plan with Natural Language,True,True,True
86,WKVQuant: Quantizing Weight and Key/Value Cache for Large Language Models Gains More,True,True,True
87,Using Large Language Models to Provide Explanatory Feedback to Human Tutors,True,True,True
90,Controlling Long-Horizon Behavior in Language Model Agents with Explicit State Dynamics,True,True,True
91,AMAP Agentic Planning Technical Report,True,True,True
92,ElliottAgents: A Natural Language-Driven Multi-Agent System for Stock Market Analysis and Prediction,True,True,True
93,LLM-ProS: Analyzing Large Language Models' Performance in Competitive Problem Solving,True,True,True
94,SOPBench: Evaluating Language Agents at Following Standard Operating Procedures and Constraints,True,True,True
97,Efficacy of Large Language Models in Systematic Reviews,True,True,True
107,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,True,True,True
109,Investigating Retrieval-Augmented Generation in Quranic Studies: A Study of 13 Open-Source Large Language Models,True,True,True
113,Babysit A Language Model From Scratch: Interactive Language Learning by Trials and Demonstrations,True,True,True
116,Theory of Mind for Multi-Agent Collaboration via Large Language Models,True,True,True
122,Evaluating Class Membership Relations in Knowledge Graphs using Large Language Models,True,True,True
123,PALLM: Evaluating and Enhancing PALLiative Care Conversations with Large Language Models,True,True,True
124,Causal Agent based on Large Language Model,True,True,True
128,DeSTA2.5-Audio: Toward General-Purpose Large Audio Language Model with Self-Generated Cross-Modal Alignment,True,True,True
129,Training Language Models with Language Feedback,True,True,True
135,Explaining Agent Behavior with Large Language Models,True,True,True
138,Detecting Mode Collapse in Language Models via Narration,True,True,True
140,Do Membership Inference Attacks Work on Large Language Models?,True,True,True
143,Bridging Large Language Models and Graph Structure Learning Models for Robust Representation Learning,True,True,True
144,Structured Agent Distillation for Large Language Model,True,True,True
146,xLAM: A Family of Large Action Models to Empower AI Agent Systems,True,True,True
149,DeepAnalyze: Agentic Large Language Models for Autonomous Data Science,True,True,True
152,S-Agents: Self-organizing Agents in Open-ended Environments,True,True,True
153,Training Data for Large Language Model,True,True,True
154,SBFA: Single Sneaky Bit Flip Attack to Break Large Language Models,True,True,True
