paper_id,decision,criteria,reason
8822,exclude,E7,"No abstract; title offers workflow patterns to enhance AI systems, not a loop-control mechanism as the studied contribution."
8823,exclude,E7,"No abstract; title's claim is a task outcome (orchestrated small models matching LLMs on Boolean QA), not the orchestration mechanism."
8824,exclude,E5,"Bibliometric review of 810 agentic-AI publications; explicitly a secondary study mapping the field, no mechanism proposed."
8827,exclude,E3,"No abstract; off-the-shelf ReAct/MCP agent applied to adaptive traffic signals in a Luxembourg case study."
8832,exclude,E5,"No abstract; title is a strategic analysis/overview of agentic workflows and collaborative AI, not a primary mechanism study."
8833,exclude,E3,"No abstract; LLM agentic workflow applied to building energy model development and debugging, a domain application."
8834,exclude,E1,"NiChain-LLM-ABM simulates nickel supply chain resilience; the loops studied are economic/policy feedback, reported as CRI indices."
8836,exclude,E7,"DUCTILE orchestration evaluated by whether outputs met expert acceptance criteria on an aerospace structural analysis task; task outcome, not loop mechanism."
8837,exclude,E7,"DxDirector-7B agentic LLM claims superior diagnostic accuracy and reduced physician involvement; claims are clinical task outcomes."
8839,exclude,E7,"Agentic coding-assistant framework reporting fix success rates per language (91.6% Python, 80% C++) and fix times; task outcomes only."
8843,exclude,E7,"No abstract; title presents a closed-loop academic-writing system, the contribution being the writing application rather than the loop mechanism."
8844,include,I2,"Formally defines and compares three agentic workflows (LLM Ensemble, Self-Reflection, Multi-Agent Reflection) against each other; contributes to control topology."
8845,include,I2,"Hierarchical supervisor/planner/validator arrangement evaluated against single-agent and flat multi-agent architectures; the arrangement is the studied variable (control topology)."
8847,include,I2,"No abstract; title names Self-Contrastive Loop of Thought as the contributed method, an iteration policy for text-to-SQL."
8848,exclude,E3,"Off-the-shelf OpenAI o3 applied to a surface-chemistry adsorption problem; claims concern the derived physical model, not the loop."
8852,exclude,E7,"MoralAgent's reported claim is F1 on MoralExceptQA (4.13% over baselines); the memory/prompt modules are never studied as loop control."
8856,exclude,E4,"Supplemental-material record for another article; no method reported in this record."
8861,exclude,E1,"No abstract; INTELEC energy-conference paper on control loop implementation and simulation for circuits, a control-engineering homonym."
8863,exclude,E7,"No abstract; title contributes automated data generation and red-teaming tooling for agentic workflows, not a loop-control mechanism."
8865,exclude,E7,"No abstract; title offers a multi-agent system performing verification as its application task, not verification as a studied loop mechanism."
8867,exclude,E7,"No abstract; title contributes a multimodal agentic system for conversational architectural design; self-iteration is a feature, not the studied claim."
8885,include,I2,"Nine-role MAS compared against a two-agent generator-reflector loop across 60 runs on JSON validity, coverage and completion; topology is the studied variable."
8888,exclude,E7,"Four-agent framework for tunnel fire inversion; claims are CFD/deep-learning accuracy (R2 0.942, RMSE -28.8%), domain outcomes."
8896,exclude,E7,"No abstract; title applies an LLM-in-the-loop pipeline to thematic analysis, a domain application rather than a loop-mechanism study."
8897,exclude,E7,"No abstract; title evaluates agentic stock-prediction systems, a domain application judged on prediction behaviour."
8898,include,I2,"No abstract; title contributes a geometric theory of agentic-loop trajectory dynamics, an explicit argument about iteration policy."
8902,exclude,E1,"No abstract; near-closed-loop control of PV manufacturing process, a process-control homonym."
8904,exclude,E1,"No abstract; closed-loop trajectory orchestration for UAV/mobile-edge networks, a network and trajectory control homonym."
8906,exclude,E7,"No abstract; title's contribution is a multi-agent optimizer for NP-hard problems, claims being solution quality on those problems."
8907,exclude,E3,"No abstract; explores applying LLM-powered agents to Microsoft Entra ID administration, an off-the-shelf agent in a domain."
8908,exclude,E7,"No abstract; title contributes a swarm-orchestrated multi-agent architecture for OT cyber defense, a domain security system."
8910,exclude,E7,"LLM-Conductor's reported claims are security risk incidence (70.6%->1.3%), task completion and token utilization in IIoT; system outcomes, not loop-mechanism claims."
8913,exclude,E7,"No abstract; title proposes a multi-agent architecture for orchestrating data-source access, an application architecture."
8915,exclude,E7,"CapChain contributes access control and provenance over shared agent state; evaluated by redaction/gate activation rate on a privacy benchmark, not loop control."
8916,include,I2,"No abstract; title names trust-aware runtime verification of autonomous LLM agents as the contribution, a verification mechanism gating agent actions."
8917,exclude,E3,"No abstract; explicitly an autonomous-agent application for meal planning."
8918,exclude,E1,"MIRA's inner loop is RL policy training on MuJoCo; the LLM edits reward code rather than acting as the loop's policy, and claims are RL performance."
8923,exclude,E7,"No abstract; title evaluates LLM agents on embedded software development, a domain benchmark rather than a measured loop property."
8926,exclude,E7,"No abstract; title contributes autonomous LLM-GAN medical image augmentation, a domain application."
8931,include,I2,"Formal model making agent behaviour explicit via state, schemas, transition rules and a hybrid stage-completion criterion; an argued design position on iteration policy and termination."
8932,include,I2,"Controlled 100-scenario benchmark comparing single-agent against multi-agent orchestration with paired statistics and ablations; the arrangement is the studied variable (control topology)."
8938,exclude,E1,"No abstract; title adapts robot control with LLMs, a robot/hardware control loop homonym."
8944,include,I2,"No abstract; title names a circuit-breaker architecture that halts unsafe autonomous agent actions as the contribution, a verification/termination mechanism."
8946,exclude,E7,"Multi-agent systems-engineering pipeline with human review checkpoints; claims are reduced engineering effort and traceability, i.e. task outcomes."
8949,exclude,E1,"No abstract; InstructMPC is model predictive control at a Conference on Decision and Control, a control-theory homonym."
