paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
5680,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"Headline artefact is ClawArena-Team, a 41-scenario benchmark plus SMS score isolating subagent-management ability; twelve models are scored in the lab, so validation_research."
5682,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Novelty is the independent verifier that accepts only candidates satisfying constraints with a verified rate; routing is runner-up. Evidence is a reproducible prototype benchmark, so validation_research."
5688,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"FAME contributes execution machinery, explicit state management, checkpoint-suspend-resume and async invocation that fix step order; measured on 26 MCP tasks and MLE-Bench workloads in the lab."
5755,verification_and_gating,tool,solution_proposal,none,fully_autonomous,conference,"ToolSmith's mechanism is the closed-loop check: generated NL tests plus API state confirmation decide whether a tool stands; abstract argues the framework with no reported evaluation, so solution_proposal."
5773,verification_and_gating,method,validation_research,controlled_experiment,fully_autonomous,preprint,"The measured mechanism is a reviewing agent judging hallucinations (near-perfect detection accuracy) before revision follows; 4,900 lab runs over crossed primary/reviewer model pairs, so validation_research."
5829,multi_agent_coordination,model,solution_proposal,illustrative_example,human_in_the_loop,journal,"Proposes a modular architecture of specialised agents with defined boundaries and roles for instructional subtasks; argued with one clinical scenario as illustrative example, no study, so solution_proposal."
5836,multi_agent_coordination,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Core component is the OVON inter-agent protocol passing structured JSON assessments between four agent levels; 300+ purpose-crafted prompts measured by novel KPIs in the lab, so validation_research."
5838,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"CellPilot's claim is that structured workflow control (plan, execute, inspect, revise decisions) determines performance; validated on GTEx, Tabula Sapiens and Mouse Cell Atlas datasets, not in practice."
5843,planning_and_control_flow,tool,validation_research,case_study,fully_autonomous,conference,"The agent orchestrates next steps and switches sampling strategy adaptively, credited with the 6% SMAPE gain; evidence is two simulator workflows studied in depth as a prototype, so validation_research."
5845,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"Headline artefact is a three-dimension benchmark suite (workflow, RAG gating, HPC) with EngiAI as reference implementation; four LLM backends scored in the lab, so validation_research."
5860,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution decides when agentic evidence acquisition is warranted at all, preserving frontend judgment and bounding external evidence; measured on MMAR and MSU-Bench in the lab, so validation_research."
5863,planning_and_control_flow,metric,validation_research,benchmark,fully_autonomous,preprint,"Primary mechanism is dynamic task-graph decomposition and tool selection, credited with responsiveness gains; evaluation-metric contribution is runner-up. Empirical lab analysis on an AsyncHow-based dataset."
5865,multi_agent_coordination,model,validation_research,controlled_experiment,fully_autonomous,preprint,"CoThinker's contribution is the arrangement itself: load distributed by agent specialisation plus structured communication and collective working memory; evaluated on fabricated high-load lab scenarios."
5868,verification_and_gating,tool,validation_research,ablation,fully_autonomous,preprint,"CAAF's mechanism is the Harness of domain invariants enforced by a deterministic assertion interface that outputs must pass; architectural claim is stated as supported by three-tier UAI ablations in the lab."
5899,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is history-aware local compensation replacing global replanning when disruptions arise, plus state tracking; evaluated on job-shop scheduling benchmarks in the lab, so validation_research."
5904,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"BRACE decides whether to replan and allocates an explicit token budget and latency SLO per call; measured on Meta Habitat, RoboFactory and AirSim in simulation, so validation_research."
5909,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Mechanism is the contradiction-conditioned replanning trigger that interrupts a skill only on contradicting evidence; multi-agent setting is runner-up. Benchmark Overcooked runs in the lab, so validation_research."
5913,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"Headline artefact is ToolMaze, a benchmark with DAG complexity and a 2x2 perturbation taxonomy plus the PRR measure; models are scored in the lab, so validation_research."
5918,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"APB is a diagnostic benchmark of 4,209 cases isolating planning from execution, an instrument not a mechanism; 12 MLLMs plus ToolSandbox and tau^2-bench validation runs in the lab."
5928,loop_evaluation_and_diagnosis,tool,validation_research,case_study,fully_autonomous,preprint,"PDoctor is a diagnostic instrument: a DSL and Z3-synthesised inputs form a testing oracle that surfaces erroneous-planning error characteristics; evaluated on three agent frameworks as subjects in the lab."
5930,planning_and_control_flow,method,validation_research,controlled_experiment,fully_autonomous,preprint,"DRL-derived knowledge constrains the agent's parameter action selection to a physically valid space across iterative planning; guided vs unguided compared on prototype prostate and liver cases, not in clinic."
5931,planning_and_control_flow,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is the joint-plan tensor representation whose residual localises conflicts and feeds constraints back into iterative replanning; tested on constructed 2-4 agent grid settings, so validation_research."
5934,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"SERP's claimed shift is from frozen to evolving models: the action model self-updates at run time from recent experience via ILAD; simulation and prototype robot benchmark runs, so validation_research."
5940,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"The mechanism characterised is step-wise action selection with observed state feedback versus direct planning; 102 IPC Blocksworld instances under a uniform budget in the lab, so validation_research."
5942,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"Robotouille is a benchmark environment with synchronous and asynchronous datasets for measuring long-horizon planning, an instrument; ReAct gpt4-o scored in the lab, so validation_research."
