paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
2052,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"Reports and measures a degenerate failure mode (repetition/convergence) of a two-agent exchange using lexical and embedding drift metrics, so the contribution is a diagnostic instrument, and the runs are lab-only."
2053,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"RISE's claim is fixing 'superficial self-reflection' by training on-the-fly self-verification against an outcome verifier; evidence is lab runs on mathematical reasoning benchmarks, not deployment."
2088,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"ReVISE's novelty is intrinsic self-verification replacing large external verifiers, plus confidence-aware decoding, i.e. how the judgement is produced; validated on reasoning benchmarks in the lab."
2227,verification_and_gating,method,validation_research,benchmark,fully_autonomous,journal,"Empirical audit of ChatGPT's self-verification of its own code, completions and repairs; runs on five code datasets in the lab, no production setting, so validation not evaluation."
2228,verification_and_gating,method,validation_research,benchmark,not_specified,conference,"Title-only record: subject is the self-verification ability of LLMs in logical reasoning, an audit of the checking mechanism; NAACL long paper, so a lab study of an existing technique."
2239,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is step-by-step deductive verification of each reasoning step via Natural Program, i.e. the check itself; demonstrated by lab accuracy gains on complex reasoning tasks."
2242,verification_and_gating,metric,validation_research,benchmark,fully_autonomous,preprint,Consensus Entropy is a training-free reliability metric used to verify and accept OCR outputs by inter-model agreement; validated in the lab with F1 gains over VLM-as-Judge.
2249,loop_evaluation_and_diagnosis,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Names and characterises in-context reward hacking as a failure mode of output- and policy-refinement feedback loops and shows static-dataset evaluation misses it; evidence is lab comparisons, not fielded use."
2251,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"AutoMix routes queries from a small to a larger model on self-verified confidence to cut cost by over 50%, i.e. tier escalation and spend, not the check itself; five datasets run in the lab."
2262,loop_evaluation_and_diagnosis,tool,validation_research,controlled_experiment,fully_autonomous,preprint,"Builds an 80-problem robot-routing dataset and systematically compares single attempt, self-debugging and self-debugging with self-verification, so the artefact is the measurement instrument; lab only."
2263,verification_and_gating,method,validation_research,benchmark,fully_autonomous,conference,"CoVe's contribution is the verification step itself: plan verification questions, answer them independently, then emit a verified response; validated on Wikidata, MultiSpanQA and longform tasks in the lab."
2289,verification_and_gating,method,validation_research,benchmark,fully_autonomous,conference,Unifies generation and verification in one RL process so the model's own check replaces an external reward model at test time; evidence is lab results on mathematical reasoning benchmarks.
2291,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,journal,"Claim is about the composition of the debating ensemble, that diversity of models across debate rounds drives gains, i.e. the arrangement of agents; measured on GSM-8K and ASDiv in the lab."
2293,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,conference,"AgentDiagnose is an open toolkit that scores five agentic competencies and visualises trajectories, an instrument rather than a loop mechanism; validated in the lab against annotations and WebArena."
2295,loop_evaluation_and_diagnosis,method,validation_research,controlled_experiment,fully_autonomous,conference,"Contribution is a black-box auditing method for attributing hallucinations along the CoT trajectory, showing reflective steps reinforce errors; lab interventions on reasoning chains, no real deployment."
2300,verification_and_gating,model,validation_research,controlled_experiment,fully_autonomous,conference,"Minimal formal framework proving self-verifying reflection helps only when verification error is bounded, so the object is the check's quality; evidence is lab experiments on tiny transformers."
2306,critique_and_revision,method,validation_research,benchmark,fully_autonomous,conference,"LDB's novelty is the repair feedback: block-level runtime values fed back so the model rewrites its program; lab gains up to 9.8% on HumanEval, MBPP and TransCoder."
2312,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution suppresses rechecks judged unnecessary to cut token usage by up to 20.3% while holding accuracy, i.e. how much the loop spends; measured across models and benchmarks in the lab."
2313,verification_and_gating,method,validation_research,benchmark,fully_autonomous,conference,"DSVD adds parallel real-time self-verification during decoding to detect hallucination before it stands, with rollback on failure; validated across five benchmarks in the lab."
2315,loop_evaluation_and_diagnosis,method,validation_research,controlled_experiment,human_in_the_loop,preprint,"Diagnoses evaluation blindness by replaying 23-turn advisory dialogues clean versus tool-manipulated across eight models and showing quality metrics miss risk drift; a lab replay study, not fielded."
2316,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"CoVe's contribution is the verification step: drafted response, planned verification questions answered independently, then a verified answer; lab benchmarks on Wikidata, MultiSpanQA and longform text."
2317,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Shows scalar confidence supervision alone elicits self-checking and uses calibrated uncertainty to trigger rethinking, so the mechanism is the confidence signal; lab tests on GSM8K, MATH-500, ARC."
2321,verification_and_gating,model,solution_proposal,case_study,human_on_the_loop,preprint,"Proposes a verification layer between reasoning and execution whose Trust Score approves, re-verifies or escalates a decision; argued with a feasibility prototype on one inflation-forecasting case, no validation."
2324,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,Novelty is the revision schedule after a judgement: one memory-guided regeneration from scratch instead of iterative rectification or best-of-N; evaluated in the lab on nine benchmarks.
2333,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"CLOSER verifies the reliability of each candidate action before execution and only then retrieves and corrects, a pre-execution gate; validated on the CityNav benchmark in simulation."
