paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
4704,self_evolution,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Attack targets the promotion step of self-evolving skill systems that distil trajectories into persistent skills; evidence is lab trials varying attacker support across six evolvers (runner-up: verification_and_gating)."
4714,memory_and_context_management,tool,validation_research,benchmark,human_in_the_loop,preprint,"Contribution is Pask's hybrid workspace/user/global long-term memory feeding a streaming proactive loop; evaluated in the lab on the authors' own LatentNeeds-Bench, not in deployment."
4719,self_evolution,tool,validation_research,benchmark,human_on_the_loop,preprint,"Claim is a fixed-weight runtime that self-evolves by admitting memories, skills and verifiers into persistent state between missions; headline evidence is seven lab benchmark arenas (runner-up: multi_agent_coordination)."
4742,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"AgentSwing routes among parallel context-managed branches, i.e. it decides what history carries forward; evaluated on existing long-horizon web benchmarks and backbones in the lab (runner-up: deliberative_search)."
4746,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"CAT makes context maintenance a callable tool with structured workspace and milestone compression; lab evidence is a 57.6% solved rate on SWE-Bench-Verified, no real deployment."
4816,memory_and_context_management,tool,solution_proposal,illustrative_example,not_specified,preprint,"MOSS's claim is a dynamic context management system preserving Python runtime state across turns; support is a series of demonstrative case studies rather than measured validation (runner-up: self_evolution)."
4822,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"AgentProg reframes interaction history as a program to decide what context is retained or discarded; lab evidence is AndroidWorld plus an extended long-horizon suite."
4830,memory_and_context_management,method,validation_research,controlled_experiment,human_in_the_loop,preprint,"Contribution is context compression for on-device agents: LoRA-distilled Context State Object, compact tool schemas, JIT schema loading; evaluated against a conventional baseline on user tasks in the lab."
4833,memory_and_context_management,tool,validation_research,benchmark,fully_autonomous,preprint,"VISTA is a context layer of typed addressable blocks with a budget dashboard and recoverable archives; lab evidence is LOCA-Bench, BrowseComp-Plus and GAIA, no deployed use."
4836,memory_and_context_management,tool,validation_research,benchmark,fully_autonomous,preprint,"Scroll is a context manager with an append-only event log, persistent kernel namespace and recoverable eviction index; lab evidence is LongMemEval_S, BEAM_10M and LOCA_256K."
4856,verification_and_gating,model,validation_research,controlled_experiment,human_in_the_loop,preprint,"Mechanism is an escalation-pressure signal that decides when the agent hands concern to a clinician rather than acting; evidence is synthetic ward scenarios comparing stateless with first- and second-order dynamics."
4861,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"Empirical audit of one named mechanism, agent context management, comparing observation masking with LLM summarization plus a hybrid; lab evidence is SWE-bench Verified across five model configurations."
4886,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"BACM decides when and how much interaction history to compress under a context-window constraint, learned by RL; lab evidence is multi-objective QA and long-horizon browsing benchmarks (runner-up: budget_and_termination_control)."
4916,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"Headline artefact is replay pairing, a measurement and stress-test framework probing whether plans persist; evidence is paired with/without-plan trajectory runs and probes on Llama and R1-Distill in the lab."
4944,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"CAT elevates context maintenance to a callable tool with structured workspace and milestone compression; lab evidence is a 57.6% solved rate on SWE-Bench-Verified."
4957,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"CoMem decouples summarization of interaction history into an asynchronous memory model, governing what state the agent carries; lab evidence is latency and solve rate on SWE-Bench-Verified."
4960,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Empirical audit of one named mechanism, process verification judging intermediate MAS steps, across three verifier paradigms and two granularities; evidence is six MAS frameworks on reasoning benchmarks in the lab."
4963,memory_and_context_management,tool,validation_research,benchmark,fully_autonomous,preprint,"GCC turns context into a versioned memory workspace with COMMIT/BRANCH/MERGE checkpointing and hierarchical retrieval; lab evidence is SWE-Bench Verified and BrowseComp (runner-up: planning_and_control_flow)."
4970,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"PACEvolve governs evolutionary search dynamics through pruning, momentum-based backtracking and adaptive crossover sampling; lab evidence is LLM-SR, KernelBench and Modded NanoGPT records."
4971,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,human_in_the_loop,preprint,"Headline artefact is LoCoEval, a benchmark instrument for repository-oriented conversational context management; seven baselines and three backbones are measured on it in the lab."
4974,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,"FormalAgentLib checks workflow semantic consistency in Lean4 and localises execution failures, gating which workflows stand; lab evidence is a hard SWE-Bench-Verified subset and ELAIP-Bench across five LLMs."
4975,memory_and_context_management,tool,validation_research,benchmark,fully_autonomous,preprint,"ACE is a plug-in layer that stores raw and abstracted messages and reassigns each step as raw, abstract or drop at every decision; lab evidence is four agent frameworks against truncation and summarization baselines."
4977,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"HyMem separates context into functional layers so planning state survives execution traces, with summaries carried across refreshes; lab evidence is GAIA and BrowseComp-plus Pass@1 with DeepSeek-V4."
4978,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"AgentProg reframes interaction history as a program with variables and control flow to decide what context is kept; lab evidence is AndroidWorld and an extended long-horizon task suite."
4979,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Laser's symbolic action protocol fixes the planning, task-solving and retrospection steps and their execution format, with a context register alongside; lab evidence is multi-hop QA on Qwen models (runner-up: memory)."
