paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
901,planning_and_control_flow,tool,solution_proposal,illustrative_example,not_specified,preprint,"Contributes Dendron, behaviour trees as explicit control-flow scaffolding fixing what an LM agent does next; argued as a unifying framework and shown through three built demos, with no measured validation."
903,loop_evaluation_and_diagnosis,process,evaluation_research,case_study,not_specified,preprint,"Headline artefact is a five-stage pipeline plus six-dimension schema for measuring paradigm behaviour (20% omission detection, 30% redundant tool calls); evidence is four case studies from real deployment logs of a production system."
908,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"RF-Agent's claim is MCTS over candidate reward functions, i.e. expansion and selection shaping the search; evidence is lab experiments on 17 low-level control tasks, not deployed use."
913,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,human_on_the_loop,preprint,"Prime Agent is a harness for long-horizon evaluation that standardises execution and accounting so harness failures do not read as model failures; validated by lab benchmarks (ARC-AGI-3, coding). Runner-up: self_evolution."
915,self_evolution,tool,solution_proposal,none,not_specified,preprint,"Agent-R1 is an agentic-RL substrate that trains the agent on its own step-level rollouts, an outer loop changing the agent between episodes; the abstract argues the design and reports no evaluation."
930,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"The belief state exists to compress unbounded history into a near-constant context read back by the policy, so it is context management; evidence is lab gains on embodied benchmarks (+14.5%, +5.3%)."
938,multi_agent_coordination,tool,validation_research,benchmark,not_specified,preprint,"Contribution is the coordination and routing arrangement itself (inter-agent communication, payload referencing, orchestration bypass); evidence is handcrafted enterprise benchmark scenarios run in the lab, not a deployment."
950,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,Reflexion's object is the correction: verbal self-reflection on task feedback is stored and fed back so the next attempt is rewritten; evidence is lab benchmarks (91% pass@1 on HumanEval) plus ablations.
971,verification_and_gating,method,validation_research,controlled_experiment,human_in_the_loop,preprint,"ReHAC trains a policy that decides when the loop must defer to a human rather than proceed unaided; evidence is lab experiments contrasting real and simulated collaboration scenarios, not a fielded system."
973,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"AndroidArena is the instrument: an environment, benchmark and adaptive metrics plus a failure-capability taxonomy (understanding, reasoning, exploration, reflection); agents are measured in a lab setting."
975,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,The claim is the generate-evaluate-refine loop that rewrites designs from FEM numerical feedback (an off-the-shelf checker); evidence is lab truss experiments varying temperature and model size against NSGA-II.
978,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"LATS's contribution is Monte Carlo Tree Search with LM value functions to expand and select among candidate continuations; evidence is lab benchmarks (HumanEval 92.7%, WebShop)."
988,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"ReConcile's claim is the arrangement itself: a round-table of diverse LLM agents, a discussion prompt format and confidence-weighted voting; evidence is lab results on seven benchmarks."
1004,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,HiAgent manages in-trial working memory by chunking history into subgoals and replacing past pairs with summaries so context stays readable; evidence is lab results on five long-horizon tasks.
1021,planning_and_control_flow,method,validation_research,controlled_experiment,fully_autonomous,preprint,"AutoFlow generates the natural-language workflow that fixes the agent's procedure, i.e. what it does next; evidence is lab experiments comparing fine-tuning-based and in-context generation, no named benchmark or field use."
1022,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,SPP's contribution is role arrangement: dynamically identifying personas and running multi-turn self-collaboration between them; evidence is lab results on three named tasks and a model-size comparison.
1038,verification_and_gating,tool,validation_research,case_study,human_on_the_loop,preprint,"AgentMonitor audits each proposed action against a safety boundary and halts unsafe ones, a pre-execution gate with escalation to human reviewers; evidence is a prototype exercised on a battery of AutoGPT tests."
1040,planning_and_control_flow,method,validation_research,benchmark,not_specified,preprint,"Pre-Act builds a multi-step execution plan with reasoning and refines it after each step, determining the next action; evidence is lab turn-level and end-to-end scores on the Almita dataset plus fine-tuning runs."
1043,verification_and_gating,method,validation_research,controlled_experiment,fully_autonomous,preprint,"The finding is that a ReAct agent never re-checks whether an action may proceed, and the mitigation is a reflection step that reassesses action safety before execution; evidence is attack-versus-baseline lab experiments."
1044,deliberative_search,method,validation_research,benchmark,human_on_the_loop,preprint,"Think-on-Graph's mechanism is iterative beam search over knowledge-graph paths, expanding and pruning candidate reasoning chains; evidence is lab results with SOTA on 6 of 9 datasets."
1048,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"The novel piece is Additional Opinions, supervised learners feeding action choices into the Auto-GPT decision step; evidence is lab benchmarks (WebShop, ALFWorld) with ablations. Runner-up: loop_evaluation_and_diagnosis."
1054,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"KnowAgent constrains the action path during planning with an action knowledge base to curb planning hallucination, i.e. what the loop does next; evidence is lab results on HotpotQA and ALFWorld."
1058,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,journal,"A-HMAD's contribution is the debate arrangement: heterogeneous role assignment, dynamic routing of which agent speaks, and a learned consensus weighting; evidence is lab results on six benchmarks with ablations."
1061,verification_and_gating,method,validation_research,benchmark,human_in_the_loop,preprint,"ReSpAct's mechanism decides when the loop must stop and ask the user (clarify goals, resolve failures) rather than proceed unaided; evidence is lab benchmarks MultiWOZ, ALFWorld and WebShop. Runner-up: planning_and_control_flow."
1067,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"RISE is an outer loop that fine-tunes the model on its own multi-turn attempts so it learns to correct itself, changing the agent between episodes; evidence is lab math-reasoning experiments across three model families."
