paper_id,axis,coder_1,coder_2,adjudicated,rationale
571,venue_type,preprint,conference,conference,"Record venue 'Proceedings of the AAAI Conference on AI', DOI 10.1609/aaai.v40i44.41065: AAAI conference proceedings, not a preprint server."
971,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2024.findings-emnlp.72 = Findings of EMNLP 2024 proceedings; the blank venue string is missing metadata, not an arXiv record."
973,venue_type,preprint,conference,conference,"DOI 10.1145/3637528.3671650 = ACM KDD 2024 proceedings; blank venue string is missing metadata, not an arXiv record."
988,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2024.acl-long.381 = ACL 2024 main conference long papers; blank venue is missing metadata, not a preprint."
1004,venue_type,preprint,conference,conference,"Record venue is 'Proceedings of the 63rd Annual Meeting of the ACL (Long Papers)', DOI 2025.acl-long.1575: conference proceedings."
1043,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2025.findings-naacl.363 = Findings of NAACL 2025 proceedings; blank venue is missing metadata, not a preprint."
1054,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2025.findings-naacl.205 = Findings of NAACL 2025 proceedings; blank venue is missing metadata, not a preprint."
1341,venue_type,conference,preprint,conference,"DOI 10.18653/v1/2024.emnlp-main.992 = EMNLP 2024 main conference proceedings; peer-reviewed version exists, so not preprint."
1343,venue_type,conference,preprint,conference,"DOI 10.18653/v1/2023.findings-emnlp.714 = Findings of EMNLP 2023 proceedings; peer-reviewed version exists, so not preprint."
1351,venue_type,conference,preprint,conference,"DOI 10.18653/v1/2025.findings-naacl.218 = Findings of NAACL 2025 proceedings; peer-reviewed version exists, so not preprint."
1762,venue_type,conference,preprint,conference,"DOI 10.18653/v1/2023.findings-emnlp.795 = Findings of EMNLP 2023 proceedings; peer-reviewed version exists, so not preprint."
1835,venue_type,conference,preprint,conference,"DOI 10.18653/v1/2025.findings-acl.312 = Findings of ACL 2025 proceedings; peer-reviewed version exists, so not preprint."
1840,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2025.acl-long.203 = ACL 2025 main conference long papers; blank venue is missing metadata, not a preprint."
1865,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2024.emnlp-main.172 = EMNLP 2024 main conference proceedings; blank venue is missing metadata, not a preprint."
1870,venue_type,preprint,conference,workshop,"DOI 10.1109/cvprw67362.2025.00325 = IEEE/CVF CVPR 2025 Workshops proceedings; workshop, which neither coder chose."
1885,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2024.findings-acl.826 = Findings of ACL 2024 proceedings; blank venue is missing metadata, not a preprint."
1894,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2025.findings-acl.201 = Findings of ACL 2025 proceedings; blank venue is missing metadata, not a preprint."
1902,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2024.acl-long.382 = ACL 2024 main conference long papers; blank venue is missing metadata, not a preprint."
1918,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2025.acl-long.853 = ACL 2025 main conference long papers; blank venue is missing metadata, not a preprint."
2289,venue_type,preprint,conference,conference,"DOI 10.52202/085713-0169: Curran volume 085713 = Advances in NeurIPS 38 proceedings; arXiv PDF link is the copy, not the venue."
2295,venue_type,preprint,conference,conference,"DOI 10.52202/085713-5426: Curran volume 085713 = Advances in NeurIPS 38 proceedings; arXiv PDF link is the copy, not the venue."
2300,venue_type,preprint,conference,conference,"DOI 10.52202/085713-1447: Curran volume 085713 = Advances in NeurIPS 38 proceedings; arXiv PDF link is the copy, not the venue."
2365,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2026.eacl-long.353 = EACL 2026 main conference long papers; blank venue is missing metadata, not a preprint."
3019,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2025.acl-long.179 = ACL 2025 main conference long papers; blank venue is missing metadata, not a preprint."
3058,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2025.acl-long.1244 = ACL 2025 main conference long papers; blank venue is missing metadata, not a preprint."
3157,venue_type,preprint,conference,conference,"DOI 10.18653/v1/2026.findings-acl.1884 = Findings of ACL 2026 proceedings; blank venue is missing metadata, not a preprint."
7430,venue_type,journal,preprint,journal,"Venue 'SuperIntelligence - Robotics - Safety & Alignment', DOI 10.70777/si.v2i3.15063: journal volume 2 issue 3, coded at venue not perceived quality."
