paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
6554,memory_and_context_management,method,validation_research,controlled_experiment,human_in_the_loop,preprint,"Contributes a selective policy for what context persists across sessions; evidence is a lab comparison of selective vs no-memory vs full-history conditions, not a field study of use."
6559,memory_and_context_management,model,validation_research,controlled_experiment,not_specified,journal,"Contribution is a taxonomy and information-theoretic framing of context accumulation failure (an audit of one named mechanism); evidence is calibrated simulation comparing MCP vs Skills, not a real deployment."
6562,loop_evaluation_and_diagnosis,model,validation_research,benchmark,not_specified,preprint,"Contributes an architectural taxonomy plus measurement of 22 frameworks, i.e. an instrument for measuring loop behaviour; evidence is lab runs on BBH, GSM8K and ARC."
6563,loop_evaluation_and_diagnosis,method,evaluation_research,case_study,fully_autonomous,preprint,"Headline artefact is the XEPV trace-encoding and n-gram/Markov diagnostic framework over execution traces; studied on a production ReAct system with a natural before/after deployment."
6579,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"AnalysisBench is the instrument, 35 tool-project pairs for measuring agent behaviour; the agents are run in the lab on that benchmark, not in production."
6580,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"SWIFT's contribution is synthesising the workflow topology itself (structural priors transferring topology across tasks); evidence is lab results on five plus four benchmarks."
6581,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Novelty is executability as the judgement signal, execution-aware planning and execution-result verification; validated in the lab on WebQSP and CWQ."
6595,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is anchoring plan construction in a deterministic FSM that fixes the Design-Verify-Rectify step order (gating is the runner-up); evaluated on the extended BioProBench benchmark."
6600,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"PHMForge is an evaluation environment with 99 scenarios and 39 MCP tools, an instrument rather than a loop mechanism; agents are scored in that lab harness."
6603,planning_and_control_flow,model,validation_research,illustrative_example,fully_autonomous,preprint,"Contribution is removing the fixed turn-to-turn orchestration policy so the completion itself determines the next step, formalised as agentic machines; support is demonstration runs, no measured benchmark."
6607,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"ScrambleToolBench is the artefact, an interactive benchmark isolating behavioural discovery; SOTA models are measured on it in the lab."
6612,multi_agent_coordination,model,philosophical_paper,controlled_experiment,not_specified,preprint,"Argues for a System-2 coordination layer and proposes the MACI stack (debate, filtering, persistence) as a new framing of the field; empirical part contrasts static prompting with adaptive control."
6620,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"SaaSBench is the instrument, 30 long-horizon tasks with 5370 validation nodes; agents are measured on it in the lab."
6629,deliberative_search,method,validation_research,benchmark,fully_autonomous,conference,"Contribution is branching over notebook-cell nodes with entropy-based information-gain path selection (POMDP over a dynamic tree); validated on InfiAgent-DABench and DS-Bench."
6634,loop_evaluation_and_diagnosis,metric,validation_research,case_study,human_in_the_loop,journal,"Contributes five agentic maturity metrics (DC, TSR, ARC, HIC, TCT) for measuring workflow behaviour; applied descriptively to four IDE agents on one constructed development task."
6641,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"The claim is the closed-loop correction of erroneous guesses from MLFF relaxation feedback (the checker is off-the-shelf physics); validated on AA20 and OCD-GMAE62 with DFT checks."
6646,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"AssetOpsBench is a benchmarking framework with 140+ queries and a simulated IoT environment; agents are evaluated inside that simulation, not in live operations."
6647,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,human_on_the_loop,preprint,"Contributes a defect ontology and control-preservation scoring for measuring execution processes; instantiated on 200 cases drawn from AndroidBench, TerminalBench and SWE-bench-Verified."
6649,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Retrieved State-Goal-Action atoms are re-grounded to determine the next action, so the stored state drives step selection rather than window fitting; validated on complex planning benchmarks."
6656,planning_and_control_flow,model,validation_research,controlled_experiment,not_specified,preprint,"Contribution is explicit control-flow machinery, a rooted capability tree with a LIFO stack execution loop and lazy discovery; evidence is controlled benchmarks varying catalog size and workflow depth."
6661,multi_agent_coordination,model,solution_proposal,none,human_in_the_loop,preprint,"Contribution is the nested layered stewardship topology arranging legacy applications as agents under a central orchestrator; proposed and argued only, with no evaluation reported."
6707,multi_agent_coordination,method,validation_research,controlled_experiment,not_specified,preprint,"Contribution is per-peer credibility and peer-relationship evidence used for routing and reliability-weighted voting among agents; tested by inducing counterfactual reliability shifts across five models."
6752,multi_agent_coordination,model,validation_research,controlled_experiment,not_specified,preprint,"Contribution is an inter-agent artifact synchronisation protocol (MESI invalidation, formal mapping and theorem); evidence is TLA+ verification plus simulation over four varied workload configurations."
6763,planning_and_control_flow,tool,validation_research,controlled_experiment,not_specified,preprint,"AgentGit contributes state commit, revert and branching machinery that lets the loop return to an earlier step; evidence is a multi-step A/B test against LangGraph, AutoGen and Agno."
6769,verification_and_gating,method,evaluation_research,case_study,human_in_the_loop,preprint,"The mechanism is a calibrated abstention check deciding whether a sub-agent may answer or must escalate; studied in a live large-scale production e-commerce assistant."
