paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
7462,self_evolution,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Contributes an outer loop that iteratively rewrites the agent's own harness specification from its revision history; evidence is 30 synthetic lab tasks comparing reasoning-effort settings, not a deployed setting."
7469,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Abstract's claim is a co-evolving world model that sustains agent self-improvement on self-sampled trajectories; validated only on Mind2Web-Live, WebVoyager and GAIA-web benchmarks in the lab."
7474,self_evolution,method,validation_research,benchmark,human_in_the_loop,preprint,"Contribution is a failure-driven self-improvement loop that diagnoses failed trajectories and emits code patches upgrading the agent; validated on the OSWorld benchmark with OpenCUA-72B, no real deployment."
7480,verification_and_gating,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Object is the confidence signal: it measures ECE drift under self-improvement and compares three calibration placements, a lab study of a judgement mechanism rather than practice; runner-up critique_and_revision."
7515,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,Sweet&Sour changes how reflections are produced and fed back by adding positive experiences and managed memory; evaluated on text-game tasks across closed and open LLMs in the lab. Runner-up: memory_and_context_management.
7516,verification_and_gating,tool,validation_research,controlled_experiment,fully_autonomous,preprint,"Stated key innovation is perceptual validation, a vision-model check on rendered frames that judges generated simulation code; evidence is a prototype compared with single-shot baselines over seven self-chosen domains."
7535,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,Self-evolving framework in which the agent recursively modifies its own logic and behaviour; claims rest on lab experiments on mathematical reasoning and agent tasks against manually crafted agents.
7536,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Agent iteratively progresses by identifying and learning from its own mistakes via structured self-reflection, i.e. the revision step; evidence is MiniWoB++ benchmark results against prior SoTA."
7539,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,PreFlect's contribution is prospective reflection that criticises and refines plans before execution plus dynamic re-planning; evaluated on benchmarks against reflection baselines in the lab.
7581,self_evolution,model,philosophical_paper,case_study,fully_autonomous,preprint,"Concept of autoreflection: agents read and edit their own identity, memory and disposition files across activations; the paper argues a conceptual criterion set and illustrates it with three Moltbook agent case studies."
7595,self_evolution,model,solution_proposal,none,not_specified,preprint,"Formal Reflect mechanism detects prediction-observation mismatches and revises the agent's internal causal model; the abstract only lays theoretical groundwork, reporting no evaluation."
7608,self_evolution,model,solution_proposal,illustrative_example,human_on_the_loop,preprint,"ASG-SI frames self-improvement as compiling successful trajectories into a growing auditable skill graph; the paper proposes an architecture, threat model and reference implementation demonstration rather than a validation study."
7615,self_evolution,model,philosophical_paper,none,not_specified,preprint,"Formalises self-play self-improvement as a recursive Generator-Verifier-Updater flow and unifies STaR, SPIN and Reflexion under it; the contribution is theory and proofs, with no empirical study."
7616,self_evolution,model,philosophical_paper,none,not_specified,preprint,"Argues introspection is the threshold condition for sustainable recursive self-improvement, a conceptual framework grounded in Kleene's recursion theorem plus a literature review, not a new technique or experiment."
7619,self_evolution,metric,validation_research,benchmark,fully_autonomous,preprint,"Contributes CMP, a metric guiding the search over an agent's tree of self-modifications, i.e. the outer self-improvement loop; evidence is lab results on SWE-bench Verified and Polyglot."
7628,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"Headline artefact is an evaluation protocol for judging long generation loops and what a judge can miss; evidence is 24 deliberately varied conditions with a pre-registered replication, run in the lab."
7649,self_evolution,method,validation_research,benchmark,fully_autonomous,conference,Self-evolving framework whose agent recursively rewrites its own logic and behaviour; supported by lab experiments across multiple domains against manually crafted agents (ACL 2025 long paper).
7651,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,Agent-R is an iterative self-training loop that builds self-critique data from its own MCTS trajectories to retrain the agent; evidence is lab results in three interactive environments.
7672,self_evolution,method,validation_research,benchmark,fully_autonomous,conference,MARS synthesises principle and procedural reflections into rewritten instructions so the agent self-evolves between tasks; validated on six benchmarks against self-evolving baselines in the lab.
7680,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,Contribution is the debate arrangement itself: several model instances propose and critique responses over rounds to converge; supported by lab accuracy and factuality gains on standard reasoning tasks.
7689,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"Persistent object is a curated shared knowledge base written and distilled from task attempts while agents stay disposable; evidence is solve-rate and cost results on reasoning, coding and terminal benchmarks."
7702,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,conference,"OPT-BENCH is an instrument for measuring iterative self-optimisation, 20 ML tasks plus 10 NP-hard problems; used to test 19 LLMs in the lab, no deployed setting."
7703,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,Same benchmark instrument for measuring iterative self-optimisation loops across 20 ML tasks and 10 NP-hard problems; evidence is a lab sweep of 19 LLMs from 7 families.
7714,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"ME-ICPO iteratively rewrites its response in context from self-assessed rewards, so the object is the revision step; claims backed by theory plus lab results on standard mathematical reasoning benchmarks."
7724,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"HSI has an evolver and meta-evolver rewrite the agent's own harness across iterations from environment feedback; evidence is BALROG benchmark gains with a frozen backbone, a lab setting."
