paper_id,decision,criteria,reason
579,include,I1,"Proposes a quality-agent framework whose contribution is ""feedback-aware control loops"" and iterative refinement selecting test strategies from empirical outcomes."
580,exclude,E5,"Self-described examination of the field: taxonomy of multi-agent topologies, hardening checklist and analysis of existing industry platforms (LangChain, ZenML), not a primary method."
581,include,I1,"CyberLoop v2.1 modifies the agent loop itself, adding a kinematic inner loop that reaches targets ""without invoking the LLM for intermediate steps""; benchmarked for latency and tokens."
582,exclude,E1,"The loop is low-level control: LLM prompted to complete reward-conditioned trajectories for ""a stabilizing controller for CartPole"", not an agent's action-selection loop."
585,include,I1,"Claims LLM automation belongs in ""persistent autonomous control loops rather than isolated execution steps"", with real-time system feedback and adaptive planning as the object of analysis."
587,exclude,E5,"Explicitly a review that ""systematically maps and critically evaluates the chosen literature"" on GenAI in energy systems from 2021 to 2025."
589,exclude,E1,"The loops surveyed are network control loops for space-air-ground 6G radio operation (CSI, ISAC, distributed inference), not a language-model agent's control loop."
590,include,I1,"Implements a Reflexion-based episodic memory loop and runs an ablation of that memory, reporting a 33% drop in latency anomalies versus the ablated configuration."
591,include,I1,"Central contribution is an architecture ""built around regulated control loops"" that require corroboration before high-impact actions and de-escalate responses, using LLM-based agents."
593,include,I1,"LASSA inserts a solver that verifies physical feasibility before commands reach actuators and splits fast/slow closed loops; the loop structure, not the UUV result, is the contribution."
594,exclude,E5,"Self-declared ""unified, taxonomy-driven, and deployment-oriented survey"" of agentic AI systems and frameworks."
595,include,I1,"Introduces a state machine agentic architecture defining agent state as a structured tuple ""maintained across agent iterations using explicit update rules"" that gate tool invocation."
596,include,I1,"The contribution is a closed-loop architecture where the LLM reads biosensing telemetry and triggers actuators at 2-hour intervals, with agents autonomously deriving new control strategies."
597,include,I1,"Argues the RAG-based agent memory ""control loop is fragile"", with ""no feedback loop between retrieval and reasoning"" and no decay - a claim about what is carried between turns."
598,exclude,E2,"Four-level path is pre-training, RAG grounding and simulator coupling for a conversational forestry assistant; the Level-1 prototype is single-pass Q&A with no iterative control."
