paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
3780,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,Abstract's claim is an agent that searches compute-optimal model and budget allocations per subtask; the novel framework is tested only on four tasks/six datasets in the lab.
3783,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Frames the contribution as per-query dynamic compute allocation and method selection under token and latency cost; a new technique shown on reasoning benchmarks, not in deployment."
3784,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,Contribution is planning and optimising test-time compute allocation under fixed budgets (runner-up multi_agent_coordination); novel framework validated on agent benchmarks in the lab.
3790,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a UCB coopetition mechanism deciding when agents collaborate or compete and exchange peer feedback, i.e. the arrangement itself; new method shown on math benchmarks."
3794,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"AVIC decides when imagination is needed and how much to invoke, suppressing unnecessary world-model calls (runner-up verification_and_gating); novel framework tested on SAT/MMSI/R2R."
3795,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,The claim is a compute-optimal strategy that adaptively allocates test-time compute per prompt by difficulty; a novel scaling strategy measured in the lab against best-of-N.
3796,loop_evaluation_and_diagnosis,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Headline artefact is a measurement study comparing TTS strategies under identical conditions across eight models and four datasets, plus a selection recipe; lab study, no real deployment."
3799,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is budget awareness under explicit tool-call budgets (Budget Tracker, BATS) and a unified cost metric; new method evaluated on web-search agent benchmarks in the lab."
3805,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,ZIP-RC predicts reward and remaining cost to decide how much to sample and when to stop (runner-up verification_and_gating); novel method measured on mixed-difficulty math benchmarks.
3812,budget_and_termination_control,model,validation_research,benchmark,fully_autonomous,preprint,"Contributes inference scaling laws and a computation allocation model predicting optimal test-time compute for RAG under a budget; validated on benchmark datasets, not in practice."
3815,verification_and_gating,metric,validation_research,benchmark,fully_autonomous,preprint,AgentPRM's contribution is a step-wise scoring scheme judging each decision by promise and progress to guide the agent; a novel reward model trained and tested on agentic benchmarks.
3817,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,The mechanism decides when the agent may not proceed unaided and must request an intervention (runner-up budget control for the intervention budget); novel offline helper policy tested empirically.
3818,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"UTGen contributes generated unit tests that judge code correctness and gate edits, with UTDebug validating and backtracking; new method measured on HumanEvalFix and an MBPP+ split."
3825,budget_and_termination_control,method,solution_proposal,none,not_specified,preprint,"Title-only record: cost-aware adaptive routing deciding when a revision is worth its cost (runner-up critique_and_revision); no abstract, so no evidence of validation beyond the proposal."
3830,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"CoRefine's controller uses confidence to halt, re-examine or restart, credited with 190x token reduction and halting precision (runner-up critique_and_revision); lab benchmarks across three models."
3833,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,Contribution changes the shape of candidate exploration: reward-filtered sequential inference replacing best-of-N; proves guarantees and validates the new procedure on lab benchmarks.
3836,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,Contribution is planning and optimising test-time compute allocation under fixed budgets (runner-up multi_agent_coordination); novel framework validated on agent benchmarks in the lab.
3838,verification_and_gating,method,validation_research,benchmark,fully_autonomous,journal,"Sense-decide-act design monitors latent trajectory divergence and a regulator decides intervention timing, i.e. a runtime execution monitor; training-free method measured on math/reasoning benchmarks."
3846,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,T1 is a two-stage verification pipeline: external tools filter candidates and a small LM makes the final acceptance judgement; new method validated on the MATH benchmark in the lab.
3847,deliberative_search,tool,validation_research,benchmark,fully_autonomous,preprint,"ParallelEnv branches agent execution into parallel environment snapshots with beam/priority scheduling, and credits tree-forking for the gain (runner-up planning_and_control_flow); SWE-bench Pro run."
3849,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,A fuzzy controller maps prompt complexity and confidence to a per-query sampling budget; the novel controller is compared with best-of-N baselines on QA and math datasets in the lab.
3855,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"MUR allocates thinking budget to critical steps from momentum uncertainty, with gamma-control tuning the budget; new training-free method tested on MATH-500, AIME24/25 and GPQA-diamond."
3856,budget_and_termination_control,process,opinion_paper,none,not_specified,journal,An editorial arguing that test-time compute budget / reasoning effort is an underrecognised methodologic variable in medical LLM studies; a position with no study of its own.
3857,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"THROW classifies queries easy or hard and truncates or expands branches accordingly, crediting the gate for the latency and token savings; new method measured on MATH500, AMC23, AIME24."
3859,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"A dual-sensor monitor (EMA entropy, ThinkBrake logit margin) detects overthinking divergence and triggers correction, i.e. runtime state monitoring; training-free method tested on MATH500 and AIME."
