paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
2,verification_and_gating,method,validation_research,controlled_experiment,human_in_the_loop,preprint,"Contribution is a Watchdog execution-monitoring layer plus post-grasp semantic verification feeding a bounded finalize/retry/escalate policy; validated on a lab manipulator over induced-failure scenarios, not in deployment."
3,multi_agent_coordination,tool,validation_research,controlled_experiment,fully_autonomous,preprint,"MASTER's claim is the hierarchy of agent arrangements compared as peer review, triage-ranking and triage-forms against a single-agent baseline; lab simulation study on two chemical applications, no practice deployment."
14,self_evolution,method,validation_research,benchmark,not_specified,preprint,"Retrospex's mechanism is an offline retrospection process that trains an RL critic on the agent's own past trajectories to rescore actions; evaluated as a prototype on ScienceWorld, ALFWorld and Webshop in the lab."
61,planning_and_control_flow,method,validation_research,benchmark,human_in_the_loop,preprint,"BALAR is an outer-loop algorithm that decides the next clarifying question by maximising expected mutual information over a belief state; lab evaluation on AR-Bench-DC, AR-Bench-SP and iCraft-MD benchmarks."
77,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"The paper contributes a measurement study of loop behaviour (energy, duration, tokens, memory) across four agentic frameworks rather than a loop mechanism; a controlled lab evaluation on fixed hardware, 150 runs per configuration."
90,memory_and_context_management,model,validation_research,controlled_experiment,not_specified,preprint,"The contribution is an explicit affective state kept external to the model and carried across turns by update rules; a lab study over a fixed 25-turn protocol comparing stateless, first- and second-order dynamics."
116,multi_agent_coordination,model,validation_research,controlled_experiment,fully_autonomous,preprint,"The paper studies emergent collaboration and Theory-of-Mind inference among LLM agents in a cooperative text game, then adds explicit belief states; lab comparison against MARL and planning baselines, no real setting."
156,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,not_specified,preprint,"IAL-Scan is a diagnostic instrument that names a failure class and statically detects unbounded feedback paths, not a mechanism that bounds the loop; evaluated on a corpus of 6,549 repositories with manual confirmation."
215,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,DREAMS's contribution is a multi-tier safety guard that rejects fabricated or unsourced values at tool-call time and audits provenance at report time; lab results on the Sol27LC benchmark and the CO/Pt(111) puzzle.
221,verification_and_gating,process,solution_proposal,none,human_on_the_loop,preprint,"AGENTSAFE proposes safeguards, dynamic authorization and escalation of high-impact actions to human oversight as gates on agentic loops; the framework is argued and mapped to taxonomies with no reported evaluation."
225,planning_and_control_flow,model,validation_research,benchmark,fully_autonomous,conference,"Agent-SAMA models app execution as a finite state machine whose states and transitions guide planning, verification and error recovery, i.e. what the loop does next; lab benchmark study on Mobile-Eval-E, SPA-Bench, AndroidWorld."
234,planning_and_control_flow,model,philosophical_paper,none,not_specified,journal,"The paper theorises recursive loops of perception, evaluation, goal-updating and action, formalised as a goal-maintenance equation that determines what the system pursues next; it is a conceptual theory of agency, no method."
236,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,MAgICoRe's object is the refinement that follows a judgement: Solver-Reviewer-Refiner rounds with reward-model-localised feedback and re-evaluation; lab results across five math datasets with Llama-3-8B and GPT-3.5.
237,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"AgentQuest is a measurement instrument, a modular benchmark framework plus two progress metrics for tracking agent behaviour; the prototype is exercised on two lab use cases showing measured performance increases."
255,critique_and_revision,tool,validation_research,benchmark,fully_autonomous,journal,"GENIUS's headline is the automated error-handling loop that repairs failing inputs after validation diagnostics, recovering 76.3% of initial failures; lab evaluation over 295 benchmark prompts, not in production use."
262,loop_evaluation_and_diagnosis,model,evaluation_research,case_study,not_specified,preprint,"The contribution is an empirical characterisation of loop structure, reliability mechanisms and autonomy levels rather than a mechanism; it studies 6,000+ workflows built by real users on a deployed automation platform."
263,multi_agent_coordination,model,validation_research,benchmark,fully_autonomous,preprint,"The paper's claim is about the arrangement itself, an orchestrator with restricted-communication sub-agents, and finds orchestrator capacity drives performance; controlled lab comparisons on tool-intensive benchmarks."
265,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,fully_autonomous,preprint,"The thesis contributes a systematic empirical evaluation across one-shot, iterative-feedback, two-agent and tool-calling architectures, an instrument rather than a mechanism; lab runs on VerilogEval-Human and CVDP."
268,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"The contribution is a longitudinal measurement methodology isolating harness quality across 35 releases, not a loop mechanism; the model is held constant and releases varied over 50 SWE-bench Verified tasks in the lab."
271,verification_and_gating,model,validation_research,benchmark,fully_autonomous,preprint,"SAL is a control plane that validates emitted intents against true system state and policy before execution, giving policy-bounded release; a lab prototype blocks 93% of unsafe intents on the authors' own benchmark."
272,budget_and_termination_control,method,validation_research,controlled_experiment,fully_autonomous,preprint,"The contribution is a stopping rule replacing a fixed iteration cap, cutting operational tokens 38% at parity quality; a paired lab protocol replays every stopping policy over identical HotpotQA trajectories."
274,verification_and_gating,model,validation_research,controlled_experiment,not_specified,preprint,"The contribution is machine-checked detectors that decide whether a shared-state read-generate-write may commit, proved sound and complete; formal verification plus lab runtime runs, reproducing bugs in existing systems."
279,planning_and_control_flow,model,validation_research,controlled_experiment,not_specified,preprint,Execution lineage replaces the loop's implicit state with a DAG of artifact-producing computations whose dependencies fix what recomputes on replay; two controlled lab memo-update tasks against loop-centric baselines.
281,loop_evaluation_and_diagnosis,tool,validation_research,controlled_experiment,fully_autonomous,preprint,"The paper contributes a live evaluation setting and trace analysis measuring planning versus execution contributions across providers; a replicated 32-game championship under frozen rules, a lab study not a deployment."
284,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,"The object is what happens after validation rejects a candidate: which feedback fields make the rewrite succeed, with admissible alternatives carrying the gain; 50 paired TextWorld games under a four-call cap in the lab."
