paper_id,axis,value
2,loop_mechanism,verification_and_gating
2,contribution_type,tool
2,research_type,validation_research
2,evaluation_strategy,controlled_experiment
2,human_role,human_in_the_loop
2,venue_type,preprint
3,loop_mechanism,multi_agent_coordination
3,contribution_type,tool
3,research_type,validation_research
3,evaluation_strategy,controlled_experiment
3,human_role,fully_autonomous
3,venue_type,preprint
14,loop_mechanism,self_evolution
14,contribution_type,method
14,research_type,validation_research
14,evaluation_strategy,benchmark
14,human_role,fully_autonomous
14,venue_type,preprint
61,loop_mechanism,planning_and_control_flow
61,contribution_type,method
61,research_type,validation_research
61,evaluation_strategy,benchmark
61,human_role,human_in_the_loop
61,venue_type,preprint
77,loop_mechanism,loop_evaluation_and_diagnosis
77,contribution_type,metric
77,research_type,validation_research
77,evaluation_strategy,controlled_experiment
77,human_role,fully_autonomous
77,venue_type,preprint
90,loop_mechanism,memory_and_context_management
90,contribution_type,model
90,research_type,validation_research
90,evaluation_strategy,controlled_experiment
90,human_role,not_specified
90,venue_type,preprint
116,loop_mechanism,multi_agent_coordination
116,contribution_type,model
116,research_type,validation_research
116,evaluation_strategy,controlled_experiment
116,human_role,fully_autonomous
116,venue_type,preprint
156,loop_mechanism,budget_and_termination_control
156,contribution_type,tool
156,research_type,validation_research
156,evaluation_strategy,case_study
156,human_role,not_specified
156,venue_type,preprint
215,loop_mechanism,verification_and_gating
215,contribution_type,tool
215,research_type,validation_research
215,evaluation_strategy,benchmark
215,human_role,not_specified
215,venue_type,preprint
221,loop_mechanism,verification_and_gating
221,contribution_type,process
221,research_type,solution_proposal
221,evaluation_strategy,none
221,human_role,human_on_the_loop
221,venue_type,preprint
225,loop_mechanism,planning_and_control_flow
225,contribution_type,tool
225,research_type,validation_research
225,evaluation_strategy,benchmark
225,human_role,fully_autonomous
225,venue_type,conference
234,loop_mechanism,planning_and_control_flow
234,contribution_type,model
234,research_type,philosophical_paper
234,evaluation_strategy,none
234,human_role,not_specified
234,venue_type,journal
236,loop_mechanism,critique_and_revision
236,contribution_type,method
236,research_type,validation_research
236,evaluation_strategy,benchmark
236,human_role,fully_autonomous
236,venue_type,preprint
237,loop_mechanism,loop_evaluation_and_diagnosis
237,contribution_type,tool
237,research_type,validation_research
237,evaluation_strategy,benchmark
237,human_role,fully_autonomous
237,venue_type,preprint
255,loop_mechanism,critique_and_revision
255,contribution_type,tool
255,research_type,validation_research
255,evaluation_strategy,benchmark
255,human_role,fully_autonomous
255,venue_type,journal
262,loop_mechanism,loop_evaluation_and_diagnosis
262,contribution_type,model
262,research_type,evaluation_research
262,evaluation_strategy,case_study
262,human_role,not_specified
262,venue_type,preprint
263,loop_mechanism,multi_agent_coordination
263,contribution_type,model
263,research_type,validation_research
263,evaluation_strategy,benchmark
263,human_role,fully_autonomous
263,venue_type,preprint
265,loop_mechanism,loop_evaluation_and_diagnosis
265,contribution_type,metric
265,research_type,validation_research
265,evaluation_strategy,benchmark
265,human_role,fully_autonomous
265,venue_type,preprint
268,loop_mechanism,loop_evaluation_and_diagnosis
268,contribution_type,metric
268,research_type,validation_research
268,evaluation_strategy,controlled_experiment
268,human_role,fully_autonomous
268,venue_type,preprint
271,loop_mechanism,verification_and_gating
271,contribution_type,model
271,research_type,validation_research
271,evaluation_strategy,case_study
271,human_role,fully_autonomous
271,venue_type,preprint
272,loop_mechanism,budget_and_termination_control
272,contribution_type,method
272,research_type,validation_research
272,evaluation_strategy,controlled_experiment
272,human_role,fully_autonomous
272,venue_type,preprint
274,loop_mechanism,verification_and_gating
274,contribution_type,model
274,research_type,validation_research
274,evaluation_strategy,controlled_experiment
274,human_role,not_specified
274,venue_type,preprint
279,loop_mechanism,planning_and_control_flow
279,contribution_type,model
279,research_type,validation_research
279,evaluation_strategy,controlled_experiment
279,human_role,human_in_the_loop
279,venue_type,preprint
281,loop_mechanism,loop_evaluation_and_diagnosis
281,contribution_type,metric
281,research_type,validation_research
281,evaluation_strategy,controlled_experiment
281,human_role,fully_autonomous
281,venue_type,preprint
284,loop_mechanism,critique_and_revision
284,contribution_type,method
284,research_type,validation_research
284,evaluation_strategy,controlled_experiment
284,human_role,fully_autonomous
284,venue_type,preprint
285,loop_mechanism,verification_and_gating
285,contribution_type,method
285,research_type,validation_research
285,evaluation_strategy,controlled_experiment
285,human_role,fully_autonomous
285,venue_type,preprint
294,loop_mechanism,planning_and_control_flow
294,contribution_type,model
294,research_type,solution_proposal
294,evaluation_strategy,none
294,human_role,not_specified
294,venue_type,preprint
301,loop_mechanism,verification_and_gating
301,contribution_type,model
301,research_type,solution_proposal
301,evaluation_strategy,illustrative_example
301,human_role,fully_autonomous
301,venue_type,preprint
304,loop_mechanism,verification_and_gating
304,contribution_type,model
304,research_type,validation_research
304,evaluation_strategy,benchmark
304,human_role,fully_autonomous
304,venue_type,preprint
305,loop_mechanism,memory_and_context_management
305,contribution_type,tool
305,research_type,validation_research
305,evaluation_strategy,benchmark
305,human_role,fully_autonomous
305,venue_type,preprint
311,loop_mechanism,budget_and_termination_control
311,contribution_type,method
311,research_type,validation_research
311,evaluation_strategy,controlled_experiment
311,human_role,fully_autonomous
311,venue_type,preprint
312,loop_mechanism,loop_evaluation_and_diagnosis
312,contribution_type,metric
312,research_type,validation_research
312,evaluation_strategy,benchmark
312,human_role,fully_autonomous
312,venue_type,preprint
313,loop_mechanism,budget_and_termination_control
313,contribution_type,method
313,research_type,validation_research
313,evaluation_strategy,controlled_experiment
313,human_role,fully_autonomous
313,venue_type,preprint
321,loop_mechanism,memory_and_context_management
321,contribution_type,tool
321,research_type,validation_research
321,evaluation_strategy,benchmark
321,human_role,fully_autonomous
321,venue_type,preprint
324,loop_mechanism,critique_and_revision
324,contribution_type,method
324,research_type,validation_research
324,evaluation_strategy,controlled_experiment
324,human_role,fully_autonomous
324,venue_type,preprint
328,loop_mechanism,deliberative_search
328,contribution_type,method
328,research_type,validation_research
328,evaluation_strategy,benchmark
328,human_role,fully_autonomous
328,venue_type,preprint
333,loop_mechanism,self_evolution
333,contribution_type,method
333,research_type,validation_research
333,evaluation_strategy,benchmark
333,human_role,fully_autonomous
333,venue_type,preprint
334,loop_mechanism,loop_evaluation_and_diagnosis
334,contribution_type,metric
334,research_type,validation_research
334,evaluation_strategy,controlled_experiment
334,human_role,fully_autonomous
334,venue_type,preprint
335,loop_mechanism,verification_and_gating
335,contribution_type,method
335,research_type,validation_research
335,evaluation_strategy,ablation
335,human_role,fully_autonomous
335,venue_type,preprint
337,loop_mechanism,memory_and_context_management
337,contribution_type,model
337,research_type,validation_research
337,evaluation_strategy,benchmark
337,human_role,fully_autonomous
337,venue_type,preprint
339,loop_mechanism,multi_agent_coordination
339,contribution_type,model
339,research_type,solution_proposal
339,evaluation_strategy,illustrative_example
339,human_role,not_specified
339,venue_type,preprint
341,loop_mechanism,verification_and_gating
341,contribution_type,metric
341,research_type,validation_research
341,evaluation_strategy,controlled_experiment
341,human_role,fully_autonomous
341,venue_type,preprint
343,loop_mechanism,critique_and_revision
343,contribution_type,method
343,research_type,validation_research
343,evaluation_strategy,benchmark
343,human_role,fully_autonomous
343,venue_type,preprint
346,loop_mechanism,budget_and_termination_control
346,contribution_type,method
346,research_type,solution_proposal
346,evaluation_strategy,none
346,human_role,not_specified
346,venue_type,preprint
348,loop_mechanism,budget_and_termination_control
348,contribution_type,model
348,research_type,validation_research
348,evaluation_strategy,controlled_experiment
348,human_role,fully_autonomous
348,venue_type,preprint
369,loop_mechanism,verification_and_gating
369,contribution_type,process
369,research_type,solution_proposal
369,evaluation_strategy,illustrative_example
369,human_role,not_specified
369,venue_type,preprint
370,loop_mechanism,planning_and_control_flow
370,contribution_type,metric
370,research_type,validation_research
370,evaluation_strategy,controlled_experiment
370,human_role,fully_autonomous
370,venue_type,preprint
401,loop_mechanism,multi_agent_coordination
401,contribution_type,method
401,research_type,validation_research
401,evaluation_strategy,benchmark
401,human_role,fully_autonomous
401,venue_type,preprint
422,loop_mechanism,multi_agent_coordination
422,contribution_type,tool
422,research_type,solution_proposal
422,evaluation_strategy,illustrative_example
422,human_role,fully_autonomous
422,venue_type,preprint
426,loop_mechanism,multi_agent_coordination
426,contribution_type,process
426,research_type,validation_research
426,evaluation_strategy,controlled_experiment
426,human_role,fully_autonomous
426,venue_type,preprint
427,loop_mechanism,memory_and_context_management
427,contribution_type,method
427,research_type,validation_research
427,evaluation_strategy,controlled_experiment
427,human_role,fully_autonomous
427,venue_type,preprint
430,loop_mechanism,verification_and_gating
430,contribution_type,method
430,research_type,validation_research
430,evaluation_strategy,benchmark
430,human_role,human_in_the_loop
430,venue_type,preprint
441,loop_mechanism,loop_evaluation_and_diagnosis
441,contribution_type,tool
441,research_type,validation_research
441,evaluation_strategy,controlled_experiment
441,human_role,not_specified
441,venue_type,preprint
442,loop_mechanism,budget_and_termination_control
442,contribution_type,method
442,research_type,evaluation_research
442,evaluation_strategy,case_study
442,human_role,not_specified
442,venue_type,preprint
454,loop_mechanism,budget_and_termination_control
454,contribution_type,tool
454,research_type,validation_research
454,evaluation_strategy,controlled_experiment
454,human_role,fully_autonomous
454,venue_type,preprint
457,loop_mechanism,multi_agent_coordination
457,contribution_type,method
457,research_type,validation_research
457,evaluation_strategy,controlled_experiment
457,human_role,fully_autonomous
457,venue_type,preprint
467,loop_mechanism,multi_agent_coordination
467,contribution_type,method
467,research_type,validation_research
467,evaluation_strategy,benchmark
467,human_role,fully_autonomous
467,venue_type,preprint
470,loop_mechanism,multi_agent_coordination
470,contribution_type,tool
470,research_type,validation_research
470,evaluation_strategy,controlled_experiment
470,human_role,fully_autonomous
470,venue_type,preprint
472,loop_mechanism,verification_and_gating
472,contribution_type,method
472,research_type,validation_research
472,evaluation_strategy,controlled_experiment
472,human_role,fully_autonomous
472,venue_type,preprint
479,loop_mechanism,verification_and_gating
479,contribution_type,model
479,research_type,validation_research
479,evaluation_strategy,controlled_experiment
479,human_role,human_in_the_loop
479,venue_type,preprint
482,loop_mechanism,verification_and_gating
482,contribution_type,method
482,research_type,validation_research
482,evaluation_strategy,controlled_experiment
482,human_role,fully_autonomous
482,venue_type,preprint
492,loop_mechanism,memory_and_context_management
492,contribution_type,method
492,research_type,validation_research
492,evaluation_strategy,benchmark
492,human_role,fully_autonomous
492,venue_type,preprint
509,loop_mechanism,verification_and_gating
509,contribution_type,model
509,research_type,solution_proposal
509,evaluation_strategy,none
509,human_role,not_specified
509,venue_type,preprint
512,loop_mechanism,critique_and_revision
512,contribution_type,model
512,research_type,validation_research
512,evaluation_strategy,controlled_experiment
512,human_role,human_in_the_loop
512,venue_type,preprint
517,loop_mechanism,memory_and_context_management
517,contribution_type,tool
517,research_type,validation_research
517,evaluation_strategy,controlled_experiment
517,human_role,fully_autonomous
517,venue_type,preprint
518,loop_mechanism,self_evolution
518,contribution_type,tool
518,research_type,validation_research
518,evaluation_strategy,ablation
518,human_role,fully_autonomous
518,venue_type,preprint
522,loop_mechanism,loop_evaluation_and_diagnosis
522,contribution_type,model
522,research_type,philosophical_paper
522,evaluation_strategy,controlled_experiment
522,human_role,not_specified
522,venue_type,preprint
523,loop_mechanism,deliberative_search
523,contribution_type,method
523,research_type,validation_research
523,evaluation_strategy,case_study
523,human_role,fully_autonomous
523,venue_type,preprint
542,loop_mechanism,self_evolution
542,contribution_type,method
542,research_type,validation_research
542,evaluation_strategy,benchmark
542,human_role,fully_autonomous
542,venue_type,preprint
561,loop_mechanism,self_evolution
561,contribution_type,process
561,research_type,evaluation_research
561,evaluation_strategy,case_study
561,human_role,not_specified
561,venue_type,conference
566,loop_mechanism,verification_and_gating
566,contribution_type,model
566,research_type,validation_research
566,evaluation_strategy,controlled_experiment
566,human_role,fully_autonomous
566,venue_type,preprint
567,loop_mechanism,planning_and_control_flow
567,contribution_type,model
567,research_type,solution_proposal
567,evaluation_strategy,illustrative_example
567,human_role,not_specified
567,venue_type,preprint
571,loop_mechanism,multi_agent_coordination
571,contribution_type,model
571,research_type,validation_research
571,evaluation_strategy,controlled_experiment
571,human_role,fully_autonomous
571,venue_type,preprint
578,loop_mechanism,self_evolution
578,contribution_type,model
578,research_type,validation_research
578,evaluation_strategy,illustrative_example
578,human_role,fully_autonomous
578,venue_type,preprint
581,loop_mechanism,planning_and_control_flow
581,contribution_type,method
581,research_type,validation_research
581,evaluation_strategy,benchmark
581,human_role,fully_autonomous
581,venue_type,preprint
590,loop_mechanism,memory_and_context_management
590,contribution_type,model
590,research_type,validation_research
590,evaluation_strategy,ablation
590,human_role,human_on_the_loop
590,venue_type,preprint
595,loop_mechanism,planning_and_control_flow
595,contribution_type,model
595,research_type,validation_research
595,evaluation_strategy,case_study
595,human_role,fully_autonomous
595,venue_type,conference
597,loop_mechanism,memory_and_context_management
597,contribution_type,model
597,research_type,opinion_paper
597,evaluation_strategy,none
597,human_role,not_specified
597,venue_type,preprint
602,loop_mechanism,loop_evaluation_and_diagnosis
602,contribution_type,tool
602,research_type,validation_research
602,evaluation_strategy,benchmark
602,human_role,fully_autonomous
602,venue_type,journal
608,loop_mechanism,planning_and_control_flow
608,contribution_type,model
608,research_type,validation_research
608,evaluation_strategy,controlled_experiment
608,human_role,human_in_the_loop
608,venue_type,preprint
615,loop_mechanism,verification_and_gating
615,contribution_type,model
615,research_type,validation_research
615,evaluation_strategy,benchmark
615,human_role,fully_autonomous
615,venue_type,journal
620,loop_mechanism,verification_and_gating
620,contribution_type,tool
620,research_type,validation_research
620,evaluation_strategy,benchmark
620,human_role,fully_autonomous
620,venue_type,preprint
637,loop_mechanism,self_evolution
637,contribution_type,model
637,research_type,philosophical_paper
637,evaluation_strategy,none
637,human_role,human_on_the_loop
637,venue_type,preprint
639,loop_mechanism,memory_and_context_management
639,contribution_type,method
639,research_type,validation_research
639,evaluation_strategy,controlled_experiment
639,human_role,fully_autonomous
639,venue_type,preprint
660,loop_mechanism,verification_and_gating
660,contribution_type,model
660,research_type,validation_research
660,evaluation_strategy,benchmark
660,human_role,human_in_the_loop
660,venue_type,preprint
666,loop_mechanism,planning_and_control_flow
666,contribution_type,process
666,research_type,solution_proposal
666,evaluation_strategy,illustrative_example
666,human_role,not_specified
666,venue_type,preprint
690,loop_mechanism,planning_and_control_flow
690,contribution_type,tool
690,research_type,validation_research
690,evaluation_strategy,case_study
690,human_role,human_in_the_loop
690,venue_type,journal
691,loop_mechanism,critique_and_revision
691,contribution_type,tool
691,research_type,validation_research
691,evaluation_strategy,benchmark
691,human_role,fully_autonomous
691,venue_type,journal
709,loop_mechanism,memory_and_context_management
709,contribution_type,method
709,research_type,validation_research
709,evaluation_strategy,benchmark
709,human_role,fully_autonomous
709,venue_type,conference
714,loop_mechanism,loop_evaluation_and_diagnosis
714,contribution_type,process
