paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
6118,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"Planner/Task-Fetching-Unit/Executor fix the execution order of calls (an execution DAG), and the claim is lab benchmark speedup vs ReAct, not field use."
6140,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,"Contribution is online failure identification: ontology logical rules detect all failures before recovery is planned; evidence is simulated AI2Thor runs against an LLM-only baseline."
6141,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"The Value System decides the next activity by proposing and selecting candidate tasks each step; validated only in the Concordia text simulator against other LLM agents."
6156,memory_and_context_management,tool,validation_research,benchmark,fully_autonomous,preprint,"LEGOMem's claim is where procedural memory units are placed, retrieved and allocated across agents; evidence is OfficeBench runs, a lab benchmark."
6162,verification_and_gating,model,validation_research,human_study,human_in_the_loop,preprint,"Contribution is a decision-theoretic model placing user confirmation gates that decide whether the agent may proceed; evaluated in a lab within-subjects study with 48 participants, not in deployment."
6172,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"High-level planner does goal decomposition, verification and adaptive replanning over the executor; evidence is RMBench success rates plus ablations, a lab setting."
6181,planning_and_control_flow,model,validation_research,human_study,human_in_the_loop,conference,"Formalizes a design space for editing and revising multi-agent plans, realized in the AMBIPOM prototype; a lab user study plus benchmark makes it validation, not a pure taxonomy paper."
6184,verification_and_gating,method,validation_research,benchmark,fully_autonomous,journal,"Core novelty is how step validity is judged (synthesized invalid samples give step-level process supervision) gating regeneration; evidence is lab accuracy on math and web tasks. Runner-up: critique_and_revision."
6189,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Action Chains are the planning primitive that fixes lookahead and avoids full replanning; evaluated on TDW-MAT and C-WAH benchmarks in the lab."
6194,verification_and_gating,model,solution_proposal,illustrative_example,fully_autonomous,preprint,"Temporal logic and discrete event systems verify LLM task allocations before execution, a pre-execution safety gate; support is one demonstrated assembly scenario, no measured validation."
6196,critique_and_revision,method,solution_proposal,none,fully_autonomous,preprint,"Error Matrix Classification attributes failures to guide subsequent correction and strategy optimisation, the revise-on-diagnostic step; the abstract proposes the framework with no reported evaluation."
6200,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Compiles flat skills into typed DAGs with precondition-effect edges and locality-bounded repair, fixing the order of steps; evidence is ALFWorld/ScienceWorld/WebShop/InterCode benchmarks."
6204,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Metacognitive loop extracts modular skills from prior tasks and synthesizes new solutions across episodes, changing the agent between tasks; validated on an existing plus a new lab benchmark."
6207,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Meta-Skill evolves through rollout and selective reflection so orchestration knowledge is retained across tasks without parametric updates; evidence is four lab benchmarks and four LLMs."
6220,planning_and_control_flow,model,validation_research,case_study,fully_autonomous,preprint,"Investigates an LLM as the core planning and execution-reasoning component of a cognitive architecture; two household tasks in one simulated instance studied in depth, lab only."
6235,planning_and_control_flow,model,validation_research,benchmark,fully_autonomous,preprint,"ValuePlanner decides the next step by generating symbolic subgoals from value trade-offs for a PDDL planner; validated in the TongSim simulator against baselines."
6241,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Execution agent's deviation signals trigger the intention agent's reflection, which rewrites subtasks as corrective plans; evidence is standard VLN benchmarks in the lab."
6242,planning_and_control_flow,process,opinion_paper,none,not_specified,preprint,"Argues forecasting should be organised as an agentic workflow of perception, planning, action, reflection and memory; an explicitly labelled position with no research method or evaluation."
6252,verification_and_gating,model,validation_research,benchmark,fully_autonomous,preprint,"Proposals may update committed mission state only after deterministic verification and atomic commit, an explicit gate; evidence is 30-seed stress benchmarks and ablations in simulation."
6256,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Dual-strategy control alternates a holistic plan and a local policy, with a fitness score triggering replanning when stuck; ablations on ALFWorld and Mind2Web, lab only."
6269,memory_and_context_management,model,validation_research,controlled_experiment,fully_autonomous,preprint,"The contribution is a persistent external world model holding out-of-view state outside the prompt; headline metric is state-tracking accuracy, measured under induced failures against baselines. Runner-up: verification_and_gating."
6270,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Formulates multi-turn jailbreaking as PDDL planning with predicate states, and its ablation credits multi-step planning; evaluated on open and closed target models in the lab."
6292,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Cheap telemetry monitors and deterministic verification detect failing runs before repair is triggered; measured on 2,823 lab episodes plus AFTraj-2K and ATBench corpora."
6305,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Trains the agent on its own failed trajectories via pivotal-aware credit assignment and reflection returns, an outer RL loop; validated on 4 agent tasks and 7 QA benchmarks. Runner-up: critique_and_revision."
6321,verification_and_gating,metric,validation_research,benchmark,not_specified,preprint,"Contributes stepwise confidence estimates used to detect errors in multi-step outputs, a judgement signal; compared holistic vs stepwise by AUC-ROC on two benchmark datasets."
