paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
2052,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"Applies lexical and embedding drift metrics to characterise repetition-convergence in two-LLM exchanges (diagnosis, not a mechanism); fixed-step lab runs on stock models, no deployment, so validation_research."
2053,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Claim is training the model to verify its own solutions with outcome-verifier rewards, so the judgement is the object; evidence is math reasoning benchmarks in the lab, so validation_research."
2088,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Core idea is intrinsic self-verification replacing large external verifiers, which then triggers rethinking; evaluated on reasoning benchmarks in the lab, so validation_research."
2227,verification_and_gating,method,validation_research,benchmark,fully_autonomous,journal,"Empirically audits ChatGPT's self-verification of its own code, i.e. the check itself; five code datasets run in the lab with no production use, so validation_research."
2228,verification_and_gating,method,validation_research,benchmark,not_specified,conference,"Title-only record: examines LLMs' self-verification abilities in logical reasoning, i.e. the check; a lab study of that ability on reasoning tasks, so validation_research."
2239,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Decomposes verification into step-by-step subprocesses via Natural Program so each deductive step is checked before it stands; lab benchmarks only, so validation_research."
2242,verification_and_gating,metric,validation_research,benchmark,fully_autonomous,preprint,"Consensus Entropy scores output reliability by inter-model agreement and gates/selects OCR outputs; F1 and OCR gains measured on datasets in the lab, so validation_research."
2249,loop_evaluation_and_diagnosis,model,validation_research,illustrative_example,not_specified,preprint,"Names output- and policy-refinement feedback loops as a failure mode and argues static-dataset evaluation misses it, a diagnostic contribution; shown by lab example, so validation_research."
2251,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Self-verification confidence drives a POMDP router that escalates to a larger model only when needed, cutting cost over 50%; five datasets in the lab, so validation_research."
2262,loop_evaluation_and_diagnosis,tool,validation_research,controlled_experiment,fully_autonomous,preprint,"Builds an 80-problem routing dataset and compares single-attempt, self-debugging and self-verification frameworks, an instrument for measuring loop behaviour; lab-only, so validation_research."
2263,verification_and_gating,method,validation_research,benchmark,fully_autonomous,conference,"CoVe drafts, plans verification questions, answers them independently and re-generates, so the check is the contribution; hallucination measured on lab datasets, so validation_research."
2289,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Unifies answer generation and verification in one RL process so the model judges its own solutions at test time; math benchmarks in the lab, so validation_research."
2291,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,journal,"Contribution is the composition of the debating agent set (diverse models, four rounds), i.e. the arrangement; GSM-8K and ASDiv accuracy measured in the lab, so validation_research."
2293,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,conference,"AgentDiagnose is a trajectory-diagnosis toolkit scoring five agentic competencies, an instrument not a mechanism; validated against annotations and WebArena in the lab, so validation_research."
2295,loop_evaluation_and_diagnosis,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Black-box auditing of CoT trajectories attributes hallucination origins and shows interventions and detectors fail, a diagnostic methodology; lab interventions only, so validation_research."
2300,verification_and_gating,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Claim is that self-verifying reflection improves results when verification error is bounded, i.e. the check; proved and tested on tiny transformers in the lab, so validation_research."
2306,critique_and_revision,method,validation_research,benchmark,fully_autonomous,conference,"LDB feeds block-level runtime state back so the LLM rewrites its program, making the repair feedback the novelty; HumanEval/MBPP/TransCoder gains in the lab, so validation_research."
2312,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Suppresses rechecks that past experience predicts are unnecessary, cutting tokens up to 20.3%, so it decides how much checking the loop gets; lab benchmarks, so validation_research."
2313,verification_and_gating,method,validation_research,benchmark,fully_autonomous,conference,"DSVD adds parallel self-verification during decoding with rollback when a hallucination is detected, so the check is the novelty; five benchmarks in the lab, so validation_research."
2315,loop_evaluation_and_diagnosis,method,validation_research,controlled_experiment,human_in_the_loop,preprint,"Replays advisory dialogues under clean versus manipulated tool data to expose evaluation blindness and unsafe drift, a diagnostic study; simulated replays, not deployment, so validation_research."
2316,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"CoVe drafts, plans verification questions, answers them independently and re-generates, so the check is the contribution; hallucination measured on lab datasets, so validation_research."
2317,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Shows scalar confidence supervision elicits self-checking and adds uncertainty-triggered rethinking, a confidence/check mechanism; GSM8K and MATH-500 experiments, so validation_research."
2321,verification_and_gating,model,solution_proposal,case_study,human_on_the_loop,preprint,"Proposes a four-agent verification layer and trust score that approves, re-verifies or escalates a decision before execution; only a feasibility prototype on one financial case, so solution_proposal."
2324,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is the single memory-guided regeneration after verification, replacing iterative correction and best-of-N; nine benchmarks in the lab, so validation_research."
2333,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Candidate actions are verified for reliability and corrected before execution, with retrieval triggered only on verification failure; CityNav benchmark results, so validation_research."
