paper_id,decision,criteria,reason
5944,exclude,E7,"Zero-shot dialog-graph search agent; reported claims are task success against RL CTS agents in simulation and user study, not evidence about the search/pruning policy."
5945,include,I2,"Compares Step-by-Step (BFS) against Full-Plan-in-Advance (DFS) with five new trajectory-quality metrics beyond success rate; iteration policy is the studied variable."
5957,exclude,E4,"Benchmark for workflow-guided planning; measures planning quality across knowledge formats, not a loop property such as stuck loops, termination or retries."
5959,exclude,E5,"Review of 126 papers on LLMs in automated planning and scheduling; secondary study."
5960,exclude,E7,"Multi-level replanning EIF agent; the reported claim is state-of-the-art ALFRED success rate, not evidence about the replanning mechanism itself."
5961,exclude,E7,"Group travel-planning multi-agent framework; contribution is an orchestration tool with system validation and tour-discussion analyses, no claim about loop control."
5962,include,I2,"Grounded coarse-to-fine memory retrieved at inference drives self-QA reflection and plan correction on anomalies; contributes loop state carried between turns to trigger replanning."
5965,exclude,E7,"VLM-grounded replanning framework; the reported claim is task success on eight long-horizon RC tasks where baselines fail, an end-task outcome."
5966,exclude,E1,"The loop is a human-in-the-plant cyber-physical control loop (insulin delivery); contribution is instruction tuning for physically feasible plans, not an LLM agent loop."
5970,exclude,E3,"Off-the-shelf LLM agents dropped into a transportation agent-based simulation; reports system-level morning-commute dynamics against transportation benchmarks."
5971,include,I2,"Independent validation agents plus versioned checkpointing and compensation; evaluation reports validation accuracy and recovery from disruptions, so verification and repair are measured."
5974,include,I2,"Recursive depth-limited lookahead conditioned on distilled facts, compared against ReAct/Reflexion and search-only baselines; the iteration policy is the contribution."
5975,include,I2,"Memory-derived trajectory statistics drive stuck detection and replanning; ablation shows coupling beats either part and cuts repeated failed actions and empty-patch exits."
5985,exclude,E4,"Safety benchmark for embodied task planning; measures hazard rejection rate and task success on 750 curated tasks, not a loop property."
5990,include,I2,"Compares four plan representations under one fixed planner-executor with new consistency metrics; the representation governing the execution loop is the studied variable."
5991,exclude,E7,"Memory-augmented household robot system; claims are task-planning accuracy and RAG memory recall, i.e. retrieval and task quality."
5999,include,I2,"MCTS-style tool planning with dual-stage evaluation and bidirectional pruning, compared against the reactive greedy planning paradigm; search over next steps is the iteration policy."
