paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
3953,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Abstract's claim is a learning-to-refine loop that rewrites proof attempts on compressed compiler/verifier feedback (checker is off-the-shelf); PutnamBench lab results, no deployment."
3962,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,Contribution is an iterative-deepening sampling algorithm that changes how candidate continuations are expanded and selected at test time; evidence is Math500/AIME lab benchmarks (runner-up: critique_and_revision).
3963,deliberative_search,model,philosophical_paper,illustrative_example,not_specified,preprint,"Meta-CoT models the in-context search underlying a CoT and surveys search/process-supervision methods; the paper is a conceptual framework plus roadmap and open questions, not a validated technique."
3964,budget_and_termination_control,method,validation_research,benchmark,human_in_the_loop,preprint,"Contribution is a cost-aware cascade: confidence routers and an online threshold optimizer (credited as essential) decide when to escalate tiers; five lab benchmarks, no field deployment."
3969,planning_and_control_flow,method,validation_research,benchmark,not_specified,conference,"PI's When/How/Which modules intervene mid-inference to redirect the reasoning path, determining what the chain does next; extensive lab experiments over models and datasets (runner-up: budget control)."
3975,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is decocted experience: deriving, organising and retrieving experience to construct the agent's context; validated in the lab on math, web-browsing and SWE tasks."
3976,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Halo's dual controller regulates how much planning compute is spent, suppressing over-planning at the reasoning boundary; hypothesis tested with lab experiments against static baselines."
3981,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,HyPER reshapes multi-path decoding by expanding and reducing a hypothesis pool with a token-level refinement and confidence-aware aggregation; lab benchmarks over four MoE models.
3986,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"AgentRewind's mechanism is checkpointed rollback: returning the agent and environment to an earlier state and resuming, i.e. control flow over steps; evaluated on the authors' MettleBench in the lab."
3987,planning_and_control_flow,model,philosophical_paper,controlled_experiment,not_specified,preprint,"Audits single-path autoregressive execution and argues stable long horizons require segmented DAG-like execution structure; contribution is Theorem A and a reframing as structural governance, probed in synthetic/TextWorld runs."
3990,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"E3 estimates a task's execution scope and commits minimum budget, expanding only when verification fails; evaluated on MSE-Bench and a harness the authors call a controlled probe, not a deployed agent."
3997,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,ReAcTree decomposes a goal into subgoals in an agent tree whose control-flow nodes order execution; validated on WAH-NL and ALFRED benchmarks in the lab.
4015,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"Context-Folding collapses completed sub-trajectories to a summary so the active context stays small, with FoldGRPO rewarding that management; lab results on Deep Research and SWE tasks."
4017,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,"MAGE's shadow memory exists to assess the risk of pending actions before execution, a pre-execution safety gate; evaluated in the lab on diverse long-horizon attack sets for detection accuracy."
4025,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"TDP decomposes tasks into a DAG of sub-goals and scopes planning/replanning to the active sub-task, fixing what runs next; lab benchmarks TravelPlanner, ScienceWorld, HotpotQA."
4038,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Hera's step-level router decides when the costly cloud tier is invoked over the cheap device tier under a cost-aware objective; validated on ALFWorld, WebShop, AppWorld (runner-up: multi_agent_coordination)."
4039,memory_and_context_management,model,validation_research,benchmark,fully_autonomous,preprint,"SKILL.state replaces append-only history with an explicit mutable execution state carried across steps, discarding intermediate reasoning; lab evaluation across datasets, models and environments."
4049,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"HORIZON is a cross-domain diagnostic benchmark plus an LLM-as-judge failure-attribution pipeline, an instrument rather than a loop mechanism; 3100+ trajectories collected in the lab."
4050,multi_agent_coordination,method,validation_research,controlled_experiment,human_in_the_loop,preprint,Contribution is an abstention-based delegation cascade partitioning questions across expert agents with the user as terminal fallback; lab cocktail/smoothie robot trials compared against the baseline generator.
4051,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"EvoHarness-RL learns policies for constructing, reading and consolidating external Belief/Progress/Experience state across a long run; validated on ALFWorld with Qwen3-8B in the lab."
4053,loop_evaluation_and_diagnosis,tool,validation_research,controlled_experiment,fully_autonomous,preprint,"Introduces FSM execution as an interpretable probe for measuring procedural-reasoning collapse, an evaluation instrument; horizon length and branching factor are varied deliberately in a lab setup."
4055,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"ACON optimises how observations and history are compressed into the agent's context; lab benchmarks AppWorld, OfficeBench and Multi-objective QA report token and success gains."
4061,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is a measurement approach isolating execution capability and reporting executable task length, diagnosing self-conditioning; knowledge and plan are supplied and turn count varied by design."
4064,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,Claim is memory organisation: a hierarchical state tree with Grow/Compress/Maintain/Revise bounding context growth and isolating flawed traces; lab benchmark MemoryArena (runner-up: planning_and_control_flow).
4066,memory_and_context_management,tool,validation_research,benchmark,fully_autonomous,preprint,"Ledger distils past interactions into an explicit execution state read back before each step, the paper's stated conclusion; evaluated on 500 SWE-bench Verified instances in the lab."
