paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
901,planning_and_control_flow,tool,solution_proposal,illustrative_example,not_specified,preprint,"Dendron programs agents as behavior trees, explicit control-flow machinery fixing step order; argued and demonstrated in three built agents with no measurement, so solution_proposal."
903,loop_evaluation_and_diagnosis,process,evaluation_research,case_study,not_specified,preprint,"Headline artefact is a six-dimensional evaluation schema and cross-paradigm analysis of generator-evaluator, ReAct and memory loops; findings drawn from real-world deployment logs of a production framework."
908,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"RF-Agent's claim is MCTS expansion and selection over candidate reward functions, i.e. the shape of exploration; evidence is lab runs on 17 control tasks, not deployment."
913,memory_and_context_management,tool,validation_research,benchmark,human_on_the_loop,preprint,"Continual Harness preserves histories, memories, skills and prompts across trajectories and the RLM REPL processes context programmatically; evidenced by ARC-AGI-3 and coding benchmark scores in the lab."
915,self_evolution,tool,solution_proposal,none,not_specified,preprint,"Agent-R1 is a substrate for agentic RL that trains agents on their own step-level interaction trajectories; the paper argues the design and reports no evaluation."
930,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"Agent-BRACE replaces unbounded history with a compact structured belief state read back each step, keeping context near-constant; validated on embodied long-horizon environments in the lab."
938,multi_agent_coordination,tool,validation_research,benchmark,not_specified,preprint,"Contribution is coordination and routing between agents: parallel inter-agent communication, payload referencing and orchestration bypass; measured on handcrafted released enterprise scenarios, not in deployment."
950,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Reflexion's object is verbal self-reflection fed back to rewrite the next attempt; evidence is HumanEval, ALFWorld and reasoning benchmark runs in the lab."
971,verification_and_gating,method,validation_research,controlled_experiment,human_in_the_loop,conference,"ReHAC learns a policy deciding when the loop must defer to a human rather than proceed unaided; conditions (real vs simulated human, intervention budget) are varied and compared in the lab."
973,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,conference,"AndroidArena is an environment, benchmark and failure-mode analysis instrument for agent loops, including a taxonomy of four missing capabilities; agents are measured on it in the lab."
975,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,"The claim is the generate-evaluate-refine loop that rewrites designs from FEM numerical feedback (off-the-shelf checker); temperature and model size are deliberately varied against an NSGA-II baseline."
978,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"LATS contributes MCTS expansion, value-guided selection and backtracking over candidate action trajectories; validated on HumanEval, WebShop and QA benchmarks in the lab."
988,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,conference,"ReConcile's contribution is the arrangement itself: which diverse models sit at the round table, the discussion-prompt content they exchange and confidence-weighted voting; evidence is seven benchmarks."
1004,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,conference,"HiAgent chunks working memory by subgoal and replaces past action-observation pairs with summaries so history fits the window; validated on five long-horizon task suites in the lab."
1021,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"AutoFlow generates the natural-language workflow that fixes the order of an agent's steps; experimental results on task suites test the generated workflows, with no deployment study."
1022,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"SPP's claim is persona role assignment and multi-turn self-collaboration among them, i.e. the arrangement; validated on three named task datasets with comparative lab experiments."
1038,verification_and_gating,tool,validation_research,controlled_experiment,human_on_the_loop,preprint,"AgentMonitor audits each proposed action against a safety boundary and halts unsafe tests, a pre-execution gate; its detection ability is measured against a purpose-built adversarial simulated agent."
1040,planning_and_control_flow,method,validation_research,benchmark,not_specified,preprint,"Pre-Act builds a multi-step execution plan that is refined after every step to decide the next action; evaluated turn-level and end-to-end on the Almita dataset in the lab."
1043,verification_and_gating,method,validation_research,controlled_experiment,fully_autonomous,conference,"The audited mechanism is the missing re-evaluation of actions before execution, and the proposed fix is a reflection check gating action safety; attack success is compared with and without the priming request."
1044,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Think-on-Graph's mechanism is iterative beam search over knowledge-graph paths with expansion and pruning of candidate reasoning chains; validated on nine datasets in the lab."
1048,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"The novel contribution is the Additional Opinions algorithm injecting supervised learners' suggestions into Auto-GPT's action selection; validated on WebShop and ALFWorld with ablations."
1054,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,conference,"KnowAgent constrains the action path during planning with an explicit action knowledge base to curb planning hallucination; validated on HotpotQA and ALFWorld in the lab."
1058,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,journal,"A-HMAD contributes role heterogeneity, dynamic debate routing and a learned consensus weighting over agents, i.e. the arrangement; validated on six benchmarks with ablations, no deployment."
1061,planning_and_control_flow,method,validation_research,benchmark,human_in_the_loop,preprint,"ReSpAct extends ReAct's interleaving of reasoning and acting with dialogue turns that decide the next step and trigger replanning; validated on MultiWOZ, ALFWorld and WebShop in the lab."
1067,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"RISE fine-tunes the model on its own multi-turn correction trajectories, an outer loop that changes the agent between attempts; validated on math reasoning benchmarks with Llama, Mistral."
