paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
3953,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a learning-to-refine loop that rewrites proof attempts conditioned on compiler/verifier failure modes (revision, not the check); evidence is lab PutnamBench scores, no deployment."
3962,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,Novelty is the iterative deepening sampling algorithm shaping candidate generation for test-time scaling; validated only in the lab on Math500 and AIME with ablations.
3963,deliberative_search,model,philosophical_paper,illustrative_example,not_specified,preprint,Meta-CoT explicitly models in-context search over reasoning continuations; the paper is a conceptual framework plus roadmap and open questions rather than a validated technique.
3964,budget_and_termination_control,method,validation_research,benchmark,human_in_the_loop,preprint,Mechanism is confidence-triggered tier escalation deciding how much compute a query gets before invoking costlier models or human experts; evidence is five lab benchmarks.
3969,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,conference,"PI's When/How/Which modules cut redundant verification steps and shorten CoTs, i.e. suppress unnecessary loop steps; claim is supported only by lab experiments across models and datasets."
3975,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is decocted experience: deriving, organising and retrieving context across episodes; validated in the lab on math, web browsing and software-engineering tasks."
3976,budget_and_termination_control,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Halo regulates how much planning compute is spent, suppressing over-planning at an optimal budget range; the hypothesis is tested against static-planning baselines in lab tasks."
3981,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,HyPER reshapes multi-path exploration by expanding and reducing a hypothesis pool with confidence-aware selection; validated on lab reasoning benchmarks over four MoE models.
3986,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"AgentRewind's mechanism is checkpointed rollback that returns execution to an earlier state and resumes, i.e. control-flow machinery; evaluated in the lab on the authors' MettleBench."
3987,loop_evaluation_and_diagnosis,model,philosophical_paper,controlled_experiment,fully_autonomous,preprint,"The paper reframes long-horizon reasoning as structural governance and derives a stability bound diagnosing where execution breaks, rather than proposing a technique; theorem plus synthetic and TextWorld probes."
3990,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"E3 estimates execution scope and commits minimum budget, expanding only when verification fails; evidence is the authors' MSE-Bench simulator plus a lab gpt-4o harness, explicitly not a deployed agent."
3997,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,ReAcTree decomposes goals into subgoals in an agent tree with control-flow nodes fixing execution order; validated in the lab on WAH-NL and ALFRED against ReAct.
4015,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"Context-Folding collapses completed sub-trajectories into summaries to keep active context small, compared against summarization-based context management; lab evaluation on Deep Research and SWE tasks."
4017,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,"MAGE's shadow memory exists to assess the risk of pending actions before execution, a pre-execution safety gate; evaluated in the lab on diverse long-horizon attack sets against existing defenses."
4025,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"TDP decomposes tasks into a DAG of sub-goals and confines replanning to the active sub-task, determining the next step; lab results on TravelPlanner, ScienceWorld and HotpotQA."
4038,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Hera decides per step whether to escalate from the cheap device model to the costly cloud tier, trading cost against success; validated on ALFWorld, WebShop and AppWorld in the lab."
4039,memory_and_context_management,model,validation_research,benchmark,fully_autonomous,preprint,"SKILL.state replaces append-only history with an explicit mutable execution state read back each step, discarding intermediate reasoning; evidence is lab runs across datasets, models and environments."
4049,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"HORIZON is a cross-domain diagnostic benchmark plus failure-attribution pipeline, an instrument rather than a loop mechanism; 3100+ trajectories collected in the lab, not in production."
4050,multi_agent_coordination,method,validation_research,controlled_experiment,human_in_the_loop,preprint,The contribution is the Mixture-of-Agents delegation cascade partitioning questions across expert agents with the human as terminal fallback; tested on lab cocktail and robot smoothie tasks against a baseline generator.
4051,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"EvoHarness-RL learns policies for constructing and selectively reading, updating and consolidating external Belief/Progress/Experience state; validated in the lab on ALFWorld with Qwen3-8B."
4053,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,The artefact is an interpretable FSM-execution probe with Turn and Task Accuracy for measuring long-horizon collapse; horizon and branching are systematically varied in a controlled lab setup.
4055,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"ACON optimises how observations and history are compressed and carried across steps; validated in the lab on AppWorld, OfficeBench and multi-objective QA against compression baselines."
4061,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"The paper contributes a way of measuring long-horizon execution by supplying knowledge and plan to isolate execution, revealing self-conditioning; conditions varied in lab experiments on frontier models."
4064,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"MAGE manages what execution state carries forward via a hierarchical state tree with Grow, Compress, Maintain and Revise, bounding context growth; lab results on MemoryArena."
4066,memory_and_context_management,tool,validation_research,benchmark,fully_autonomous,preprint,Ledger distils interaction history into an explicit execution state that is fed back before each step and checked before commands run; evaluated in the lab on all 500 SWE-bench Verified instances.
