paper_id,decision,criteria,reason
8609,exclude,E5,"Literature-based synthesis: papers auto-retrieved and summarised by GenAI, then drafted into the article; a review of existing evidence, no loop mechanism studied."
8621,exclude,E5,"Self-described narrative review of 2005-2025 literature on agentic AI in cybersecurity, contributing a conceptual governance framework rather than a studied loop mechanism."
8625,include,I2,"Mines 36,710 repos for triggered agent runs bounded by machine-checkable stop conditions, state files and budgets; measures the triggering/scheduling and termination mechanisms."
8701,include,I2,"Gray-literature review plus mining of verified repositories on scheduled or event-triggered runs, stop conditions and budgets; triggering/scheduling and termination are what is measured."
8712,include,I2,"Harness keeps selection, validation, budget and persisted state outside the agent; measures 56 turns, 16% rework as cost of control, and resumption across drivers. Mechanism: loop state."
8729,include,I2,"Argues explicitly that the act-observe-verify cycle is a distinct layer with its own metric, diagnosing 'building an agent without a loop'; a reasoned position on iteration policy."
8746,include,I2,"Semantic Blocks pass only conclusions between stages so prior reasoning cannot contaminate later ones; loop state as mechanism, argued equivalent to multi-agent generator/critic isolation."
8806,exclude,E1,"'Dopaminergic reward-loop engineering' and DMN activation for human knowledge workers; biological and behavioural loops, not a language-model agent's control loop."
8824,exclude,E5,"Bibliometric review of 810 Web of Science publications mapping agentic-AI themes and challenges; a secondary study, not a contribution about loop control."
8833,exclude,E7,"Abstract empty; the title contributes an agentic workflow that automates building energy model development and debugging, a built domain system, not a named loop mechanism."
8834,exclude,E7,"LLM-empowered agent-based nickel supply-chain model; every reported claim is a domain outcome (CRI 0.620 to 0.547, 57% lower backcasting error), not the agents' loop control."
8844,include,I2,"Compares LLM Ensemble, Self-Reflection and Multi-Agent Reflection as the varied condition for object-centred planning; the reflection topology and iteration policy is the studied variable."
8845,exclude,E7,"Hierarchical supervisor/planner/executor framework whose claims are task completion accuracy, planning efficiency and adaptability over baselines: outcomes of the system, not of its loop."
8847,include,I2,"Abstract empty; the title contributes a self-contrastive loop-of-thought method, an iterative contrast-and-revise policy over generated SQL."
