paper_id,screener_A,screener_B,adjudicated,criteria,rationale
307,include,exclude,exclude,E7,"B: the contribution is a requirements-reuse system and the numbers (coverage, violation rate, F1) are domain outputs; the validator is never isolated or compared."
401,include,exclude,include,I2,"A: the rule for which model runs each step under time and cost budgets is the whole contribution, set against one-shot query-level cascade routing."
498,exclude,include,exclude,E7,"A: the contribution is a graph index and its retrieval; ablations are of retrieval components and claims are benchmark wins - retrieval quality, not loop control."
572,include,exclude,exclude,E7,"B: four coupled subsystems (MAPE-K, immune detection, gossip, federated learning) with only aggregate resilience versus baselines; nothing isolates the control loop."
597,exclude,include,include,I2,B: the guide keeps position papers arguing explicitly about loop control; this argues the retrieve-then-prompt loop has no feedback from reasoning and no decay in carried state.
1384,exclude,include,include,I2,"B: reports per-iteration gain (+23.1%, nearly all on the first refinement, none after), a measurement of the refine loop itself rather than CAD success alone."
1446,include,exclude,exclude,E7,B: the contribution is a training algorithm and the reported claim is a 7.13% end-task gain; the self-revision loop is never measured as such.
1452,include,exclude,include,I2,A: the guide lists the Self-Refine/CRITIC family as includes; the feedback-then-revise cycle is the contribution and the feedback itself is examined.
1551,include,exclude,exclude,E7,"B: data construction plus training, evidenced only by GSM8K and MATH accuracy; no measurement of the step-level correction as such."
2053,exclude,include,include,I2,"B: analyses report self-verification frequency, accuracy and the effect of extra verification compute - evidence about the verifier, not only solve rates."
2313,include,exclude,include,I2,A: verify-then-rollback is the entire contribution and control returns to regenerate the faulty span; the benchmarks measure what that rollback does.
3617,include,exclude,exclude,E2,B: candidates are generated once then aggregated by tournament comparison; the guide files sample-k-and-vote as E2 whatever the aggregation rule.
3856,exclude,include,include,I2,"B: an explicit methodological argument that reasoning-effort budget is an uncontrolled variable is a position on termination and budget, which the guide admits."
4038,exclude,include,include,I2,"B: step-level routing is set against coarse task-level routers and the cloud-call share (46.3% of steps) is a mechanism-level number, not just success rate."
4089,exclude,include,include,I2,"B: the runtime monitor is the only contribution and the contrast is the same agents with and without it across 15 skills - the mechanism removed, effect reported."
4235,include,exclude,include,I2,"A: the content is the rule for choosing the next action (LM likelihood combined with grounded objectives), argued explicitly as probabilistic filtering."
4360,include,exclude,include,I2,A: everything contributed - planning-mode selection and uncertainty-guided MCTS - governs how the next step is chosen; the guide admits search over states.
4580,include,exclude,include,I2,"A: reports mechanism-internal quantities (Cold-Q -80%, feedback density 6x) plus theory on the utility state deciding which experience the loop reuses."
4615,include,exclude,include,I2,"A: verdict-learning, correction-learning and a static-RAG control are compared head to head, so the feedback carried between episodes is the manipulated variable."
4617,exclude,include,include,I2,"B: budget-based metabolism and asynchronous processes are argued as a design position, and the shift from reactive to spontaneous activity is a triggering claim."
4669,include,exclude,include,I2,A: it measures whether the agent seeks clarification instead of acting and compares fixed rules against a conflict-aware action policy - a next-action rule.
4697,include,exclude,exclude,E4,"B: measures behavioural safety drift under contaminated memory, not a loop property such as retries, stalling or termination; the benchmark rule sends it to E4."
4959,include,exclude,exclude,E7,"B: context compaction judged by token cost and competitive task scores - the guide's case of a memory or context store evaluated on efficiency, not loop control."
4970,include,exclude,include,I2,"A: the paper is nothing but loop governance - context pruning, momentum backtracking, adaptive sampling - named against three loop failure modes."
