paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
3780,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is selecting models and allocating per-subtask inference budgets under cost constraints; evidence is lab experiments on four tasks over six datasets, not deployed use."
3783,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Frames inference-time scaling as per-query compute allocation and method selection under token and latency cost; validated only on reasoning benchmarks in the lab."
3784,budget_and_termination_control,tool,validation_research,benchmark,fully_autonomous,preprint,"Headline claim is planning and optimizing test-time compute allocation under fixed budgets (runner-up multi_agent_coordination); evidence is lab runs on agent benchmarks."
3790,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is the UCB coopetition rule deciding whether agents collaborate or compete and how peer feedback flows, i.e. the arrangement itself; validated on math reasoning benchmarks."
3794,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"AVIC gates when world-model imagination is invoked and how much, cutting model calls and tokens; evidence is lab benchmarks (SAT, MMSI, R2R), no real deployment."
3795,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a compute-optimal strategy allocating test-time compute adaptively per prompt by difficulty; evidence is lab benchmark and FLOPs-matched comparisons."
3796,loop_evaluation_and_diagnosis,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Headline artefact is a large-scale measurement study of TTS strategies with trace-quality analysis generalising past one mechanism; eight models over four datasets compared under identical conditions in the lab."
3799,budget_and_termination_control,tool,validation_research,benchmark,fully_autonomous,preprint,"Budget Tracker plug-in and BATS make the agent budget-aware under explicit tool-call budgets and a unified cost metric; evidence is lab benchmark scaling curves for web search agents."
3805,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"ZIP-RC predicts reward and remaining cost to decide how much to sample and when to stop; evidence is lab results on mixed-difficulty mathematical benchmarks."
3812,budget_and_termination_control,model,validation_research,benchmark,fully_autonomous,preprint,"Contribution is inference scaling laws plus a computation allocation model predicting optimal test-time compute for RAG under a budget; evidence is benchmark datasets in the lab."
3815,verification_and_gating,model,validation_research,benchmark,fully_autonomous,preprint,"AgentPRM is a step-wise process reward model that judges each decision by promise and progress to guide the loop; evidence is lab experiments across agentic benchmark tasks."
3817,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Helper policy decides when to spend a limited intervention budget by escalating to a stronger model or more test-time compute; evidence is offline lab training and empirical evaluation of helper behaviour."
3818,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Novelty is generating error-revealing unit tests with correct outputs as the check on candidate code (also a better judge for best-of-10); evidence is lab results on HumanEvalFix and MBPP+."
3825,budget_and_termination_control,method,solution_proposal,none,not_specified,preprint,"Title-only record: cost-aware adaptive routing deciding when revision is worth its cost; no abstract, so only a proposed solution with no visible validation can be credited."
3830,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Controller consumes trace confidence to halt, re-examine or switch approach, credited with 92.6% halt precision and ~190x token reduction (runner-up critique_and_revision); lab benchmarks only."
3833,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is reward-filtered sequential inference, which changes how candidates are selected and inferior ones suppressed relative to best-of-n; proofs plus lab benchmark evaluation."
3836,budget_and_termination_control,tool,validation_research,benchmark,fully_autonomous,preprint,"Headline claim is planning and optimizing test-time compute allocation under fixed budgets (runner-up multi_agent_coordination); evidence is lab runs on agent benchmarks."
3838,verification_and_gating,method,validation_research,benchmark,fully_autonomous,journal,"Sense-decide-act runtime monitor detects trajectory divergence and gates when intervention fires (runner-up budget_and_termination_control for overthinking suppression); evidence is lab math and reasoning benchmarks."
3846,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a two-stage verification that filters candidates with external tools before small-model judgement; evidence is lab MATH benchmark results and verifier-accuracy measurements."
3847,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"ParallelEnv is control-flow machinery: a state graph over environment snapshots with schedulers for branching and returning to earlier states (runner-up deliberative_search); evidence is SWE-bench Pro lab runs."
3849,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"A fuzzy controller maps prompt complexity and confidence to a per-query sampling budget, leaving the sampling scheme intact; evidence is lab QA and math benchmark comparisons."
3855,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"MUR allocates thinking budget to critical steps via momentum uncertainty and adds gamma-control over reasoning budget; evidence is lab benchmarks (MATH-500, AIME24/25, GPQA-diamond)."
3856,budget_and_termination_control,process,opinion_paper,none,not_specified,journal,"Argues reasoning-effort and test-time compute budget is an underrecognized methodologic variable that medical LLM studies must report; a position piece with no study of its own."
3857,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"THROW's credited component is the PRM-based easy/hard gate deciding how much compute each query gets, truncating or expanding branches; evidence is lab MATH500, AMC23 and AIME24 results."
3859,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"Dual-sensor monitor (EMA entropy, ThinkBrake logit margin) judges reasoning-state divergence and triggers corrective steering (runner-up budget_and_termination_control); evidence is lab MATH500 and AIME benchmarks."
