paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
6776,multi_agent_coordination,method,solution_proposal,controlled_experiment,not_specified,preprint,"Attack targets the inter-agent consensus protocol itself (coordination); only preliminary results against one malicious-prompt baseline, so a proposed framework rather than full validation."
6790,multi_agent_coordination,method,validation_research,controlled_experiment,not_specified,preprint,"Credibility scores govern how contributions are weighted and aggregated across agents (arrangement); lab experiments across tasks and adversary-majority settings, no deployment."
6794,budget_and_termination_control,method,validation_research,benchmark,not_specified,preprint,"Contribution is bandit-based adaptive sampling that spends more agent calls on harder inputs (how much the loop gets); lab evaluation on two labelled datasets, AEGIS 2.0 and SWMH."
6799,multi_agent_coordination,model,validation_research,ablation,not_specified,preprint,Architecture whose ToM and BDI belief mechanisms govern how agents model and coordinate with peers; lab study varying those components across LLMs on a resource-allocation task.
6809,multi_agent_coordination,method,validation_research,controlled_experiment,not_specified,preprint,REDEREF's claim is belief-guided routing of work among agents during recursive delegation; measured in the lab on split-knowledge tasks against random recursive delegation.
6816,loop_evaluation_and_diagnosis,metric,validation_research,benchmark,fully_autonomous,preprint,Headline artefacts are the SFS faithfulness metric and a diagnostic theory of closed-system reasoning failure that generalises past debate; measured in the lab on SciFact and FEVER.
6820,loop_evaluation_and_diagnosis,tool,validation_research,controlled_experiment,not_specified,preprint,"MAS-FIRE is a fault-injection harness and 15-type fault taxonomy for measuring MAS reliability, not a loop mechanism; faults injected into three MAS architectures in the lab."
6826,verification_and_gating,model,validation_research,controlled_experiment,not_specified,preprint,"Models when verifier and corrector agents stabilise or destabilise belief, a property of the check (runner-up: coordination); dose-delay predictions confirmed in lab runs of five open models."
6829,verification_and_gating,process,opinion_paper,none,human_on_the_loop,preprint,"Position paper arguing for active dynamic human moderation governing whether MAS operation may proceed; states a stance, no research method or evaluation."
6830,multi_agent_coordination,method,validation_research,controlled_experiment,not_specified,preprint,"Studies how tasks are assigned and coordinated across worker agents, comparing orchestrator with planner allocation; lab experiments varying worker quality and capability information."
6835,multi_agent_coordination,method,validation_research,benchmark,not_specified,preprint,"MasRouter selects collaboration mode, agent roles and per-agent LLMs, i.e. the arrangement itself; lab results reported on MBPP and HumanEval, no deployment."
6853,multi_agent_coordination,method,validation_research,controlled_experiment,not_specified,preprint,Contribution is how network topology and a confidence-normalised pooling rule shape influence between agents; systematic lab experiments on a misinformation-detection task.
6859,multi_agent_coordination,model,validation_research,controlled_experiment,not_specified,preprint,"Object is group size, i.e. how many agents interact, and its effect on collective dynamics; lab simulations sweeping group size plus a mean-field analytical model."
6863,multi_agent_coordination,method,validation_research,controlled_experiment,not_specified,preprint,Contribution is peer influence and how peer information is presented between agents; a series of controlled lab experiments varying confidence gaps and presentation format.
6865,memory_and_context_management,tool,validation_research,benchmark,not_specified,preprint,LEGOMem decomposes past trajectories into procedural memory units and decides where they are placed and retrieved; lab results on the OfficeBench benchmark.
6888,loop_evaluation_and_diagnosis,process,evaluation_research,case_study,not_specified,journal,"Delivers an audit protocol, defect taxonomy and convergence measurement for agent-driven inspection rather than a loop mechanism; applied over nine rounds to a real seven-lane production pipeline."
6920,self_evolution,method,solution_proposal,none,human_in_the_loop,preprint,"ALLURE improves the evaluator between rounds by folding its own deviation cases into its in-context examples, an outer self-improvement loop; the abstract proposes the approach and reports no results."
6925,verification_and_gating,model,validation_research,controlled_experiment,not_specified,journal,"ARCF's reliability control layer monitors execution, detects failures and enforces formally verified safety checks; evidence is simulation across enterprise workflows, not a live deployment."
6930,multi_agent_coordination,process,experience_paper,case_study,human_in_the_loop,preprint,Finding is about the architect/coder role split and where reliability breaks in that two-agent arrangement; the authors report errors observed while building one system themselves.
6937,multi_agent_coordination,process,experience_paper,case_study,human_in_the_loop,preprint,"Same two-agent architect/coder arrangement is the object, with the bottleneck attributed to the architect role; authors document 21 errors observed while building one system themselves."
6951,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"RedDebate's claim is the multi-agent debate arrangement for automated red-teaming, with memory as an additive extra; evaluated on safety benchmarks across several models in the lab."
6986,verification_and_gating,model,validation_research,controlled_experiment,human_in_the_loop,conference,Novelty is delegating causal evaluation to an external inference model and an Evaluator Agent that validates LLM-proposed actions before recommendation; lab comparison of three plan-handling strategies.
6988,loop_evaluation_and_diagnosis,tool,validation_research,controlled_experiment,not_specified,preprint,"Contribution is a unified benchmark and evaluation framework measuring four patching architectures on correctness, failure modes, tokens and time; controlled lab comparison on vulnerability tasks."
6992,critique_and_revision,method,validation_research,controlled_experiment,human_in_the_loop,preprint,Contribution is an adversarial critic that challenges and corrects the primary agent's conclusions (runner-up verification_and_gating); lab evaluation on 500 expert-validated cases with and without critique.
6993,verification_and_gating,model,philosophical_paper,illustrative_example,not_specified,preprint,"Formalises when evaluator authorisation of individual steps composes into globally correct behaviour, i.e. the check itself; explicitly a finite calculus with synthetic diagnostics and no empirical validation."
