paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
1070,multi_agent_coordination,tool,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is a framework that dynamically adjusts group composition and studies emergent inter-agent behaviour; lab experiments comparing multi-agent groups against a single agent, no deployed use."
1077,deliberative_search,method,validation_research,controlled_experiment,fully_autonomous,preprint,"ToT explores the solution space as a tree with a checker and backtracking to other branches; evaluated only by a prototype Sudoku solver's success rate in the lab."
1082,deliberative_search,method,solution_proposal,none,not_specified,preprint,"Title-only record: 'multi-critic plan selection' names selection among candidate plans as the mechanism; with no abstract there is no evidence of any validation beyond the proposal."
1101,multi_agent_coordination,model,validation_research,controlled_experiment,fully_autonomous,journal,"Compares a nine-role multi-agent orchestration against a two-agent generator-reflector loop over a shared design-state graph; 60 lab runs varying LLM, configuration, temperature and seed."
1103,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"The Theory of Mind module scaffolds hierarchical high-level planning by generating and refining hypotheses that drive the next action; validated on the Melting Pot benchmark with ablations."
1113,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is an inference-time best-first tree search over the environment space for exploration and multi-step planning; measured on VisualWebArena and WebArena in the lab."
1116,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"ACE governs what context carries across steps via incremental generation, reflection and curation to prevent context collapse; benchmark results on agent and finance suites plus AppWorld."
1126,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,conference,"Substitutes repeated LLM tool-selection calls with a trajectory-derived transition graph, and the claim is up to 30% lower inference cost at equal completion; experiments across agent task suites."
1182,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Outer loop where the model fine-tunes itself on its own self-refined responses over successive iterations; evaluated on mathematics and general task suites without human intervention."
1203,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"The object is a self-feedback mechanism where models generate, evaluate and then refine their own outputs, asking whether iterative self-correction helps; measured on the BioASQ CLEF 2025 task."
1241,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Self-Refine is the revise-on-own-feedback step, with one LLM as generator, feedback provider and refiner; validated across 7 lab tasks against one-step generation."
1257,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"The Structured Evidence Assessment module is described as an analytical gating mechanism that audits evidence for gaps and repeats until sufficiency is verified; benchmarked on HotpotQA, 2Wiki and MuSiQue."
1273,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Self-Debugging is a repair loop where the model explains and rewrites its own program from execution feedback; lab benchmarks Spider, TransCoder and MBPP."
1283,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"ProMiSe's contribution is the refinement schedule, revising the response one principle at a time under proxy-metric feedback; validated on MultiDoc2Dial and QuAC."
1319,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Asks whether verbalized self-feedback earns its cost by comparing plain retrials against iterative refinement frameworks; a lab comparison of conditions, not a deployment."
1331,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Multi-Aspect Feedback is an iterative refinement framework whose contribution is multiple error-specific critique modules feeding revision; reported as relative gains on reasoning task suites."
1341,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,conference,"Contribution is the debate arrangement itself: multiple arguing agents plus a judge managing the process, proposed against reflection's Degeneration-of-Thought; lab results on two datasets."
1343,critique_and_revision,method,validation_research,benchmark,fully_autonomous,conference,"SummIt iteratively refines a generated summary through self-evaluation and feedback; evaluated automatically on three benchmark summarization datasets plus a human check, all in the lab."
1346,critique_and_revision,method,validation_research,human_study,human_in_the_loop,preprint,"Trains models to write critiques that are fed back to refine summaries and to help human evaluators find flaws; human evaluators are the measuring instrument in a lab study."
1348,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"CRITIC's critics are off-the-shelf tools while the claim is the verify-then-amend loop that revises the output; validated on QA, math program synthesis and toxicity benchmarks."
1349,critique_and_revision,method,validation_research,controlled_experiment,fully_autonomous,preprint,"An audit of intrinsic self-correction, finding that revision without external feedback degrades reasoning; conditions compared with and without self-correction in the lab, no field setting."
1350,self_evolution,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Agents improve each other across repeated negotiation episodes via self-play and in-context learning from a critic's AI feedback; lab game with deal price as the metric across model pairings."
1351,critique_and_revision,method,validation_research,benchmark,fully_autonomous,conference,"TEaR is a translate-estimate-refine loop whose claim is that self-feedback-driven revision reduces errors; measured by automatic metrics and MQM scores on MT test sets."
1353,critique_and_revision,metric,validation_research,benchmark,fully_autonomous,conference,"Audits the self-refine pipeline, showing it amplifies self-bias, and defines that bias with two statistics; six LLMs measured across translation, constrained generation and math tasks in the lab."
1364,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is the debate topology - multiple tit-for-tat agents with a judge managing termination - proposed to escape reflection's Degeneration-of-Thought; lab results on two datasets."
