"paper_id","keywords"
"2","execution-state monitoring; outcome-event labelling; retry-or-escalate policy; bounded termination"
"234","recursive perception-evaluation-action loop; goal updating; self-regulation; loop architecture theory"
"236","iterative refinement; model-generated feedback; refine-or-not decision; stopping criterion; reward-model error localisation"
"237","progress metrics; benchmark framework; failure-point identification"
"271","control plane; intent validation before execution; policy-bounded execution; audit trail"
"279","execution DAG; artifact lineage; deterministic replay; dependency-driven control flow"
"284","validator-controlled acceptance; structured repair feedback; call budget; retry interface"
"294","scheduler-theoretic control flow; static execution graph; recovery escalation protocol; immutable plan"
"304","runtime controller; action mediation; policy arbitration; stateful risk decision"
"305","agent harness; persistent task state across revisions; evidence-to-candidate binding; explicit submission action"
"321","task state maintained outside context; manager-executor-auditor loop; environment-verified state update; fresh-context execution"
"334","multi-turn failure modes; safety drift; livelock; reasoning-execution state decoupling"
"341","LLM-as-jury; agreement as stopping criterion; judge reliability; correlated judge blind spots"
"430","uncertainty decomposition; clarification seeking; ask-versus-act trigger; deployment-time confidence signal"
"442","agentic-versus-single-call decision; task dynamism; autonomy suitability score; unnecessary-agent cost"
"454","compound execution; per-call granularity control; quality-gated mode switch; token cost"
"467","agent architecture comparison; controller-orchestrated labour agents; multi-agent action specialisation"
"470","inter-agent communication strategy; environment verifier; information asymmetry; joint-goal coordination"
"512","output-level human feedback; observability gap; root-cause attribution failure; failure-mode oscillation"
"523","held-out reward signal; repeated-submission improvement loop; parallel autonomous exploration"
"566","finite action catalogue enforced at tool interface; deterministic tool mediation; machine-checked stability certificate"
"620","runtime safety controller; reflection as closed-loop control; verifier-gated action release; gated memory writes"
"637","agency dimensions; goal, self-regulation and decision-making structures; scaffolding versus internalised loop"
"743","interleaved reasoning and acting; action plan tracking; exception handling; external observation grounding"
"752","ReAct sensitivity analysis; reasoning-trace ablation; exemplar-query similarity"
"978","Monte Carlo tree search over actions; LM value function; self-reflection in search; external feedback"
"1331","multi-aspect feedback modules; error-category-specific critique; iterative refinement"
"1350","self-play; AI critic feedback; in-context strategy revision across rounds"
"1391","self-repair; cost-adjusted refinement gain; feedback-quality bottleneck"
"1392","actor-critic loop; automated reasoning critic; test-failure feedback; iterative self-refinement"
"1406","factual-inconsistency detection; problem reconstruction; fine-grained rectification feedback"
"1420","iterative refinement versus single-pass prompting; cyclical evaluate-and-revise process"
"1429","MCTS with self-refine; pairwise preference reward model; global path ranking"
"1433","thought-tree exploration; self-evaluation of intermediate states; lookahead and backtracking"
"1446","training small models to self-improve; interactive correction demonstrations; experience replay"
"1456","iterative refinement; difficulty-conditioned refinement; step-wise reward model; multi-agent refine loop"
"1487","efficiency benchmark; iterative refinement with execution feedback; correctness-efficiency trade-off"
"1505","multi-perspective self-reflection; navigator-reasoner interaction; escaping reflection stagnation"
"1517","self-correcting code generation; execution traceback feedback; chain-of-thought guided revision"
"1531","learned self-improvement objective; preference-derived improvement goal; implicit rubric"
"1553","adaptive reasoning depth; learned halting; input-conditioned compute allocation"
"1554","intrinsic single-utterance self-correction; perturbed reasoning trace; error acknowledgement"
"1567","adaptive parallel reasoning; spawn/join inference threads; serial-versus-parallel orchestration"
"1602","intent-clarified self-correction; multi-aspect critique and scoring; feedback component design"
"1636","external verifier trigger; training-free self-correction; reflective revision cue"
"1762","debate-style challenge; belief maintenance under critique; sycophantic revision"
"1854","reinforcement learning of search-in-reasoning; when-to-retrieve policy; emergent self-correction"
