paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
4067,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,"Contributes parallel context compaction that keeps agent history bounded; characterized in the lab against a sequential baseline on HotpotQA and LoCoMo, so lab validation not field use."
4068,verification_and_gating,model,solution_proposal,none,not_specified,preprint,"Contribution is a runtime authority check gating each action with admit/deny/halt semantics; the execution model and protocol are defined and argued for with safety/liveness claims, no experiment."
4074,multi_agent_coordination,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a shared reasoning hub as a communication layer arranging peer agents on one task; evaluated in the lab against strong baselines on long-horizon settings."
4077,memory_and_context_management,method,validation_research,benchmark,not_specified,preprint,"MMPO optimizes the policy that recursively summarizes trajectory into carried memory, supervised by a Belief Entropy proxy; validated by lab experiments on long-horizon tasks up to 1.75M tokens."
4079,planning_and_control_flow,tool,validation_research,benchmark,not_specified,preprint,"PASTE predicts and speculatively schedules future tool calls, reordering the generation/execution steps of the loop; validated on deep research, coding and scientific-agent workloads in the lab."
4080,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"Memex is an indexed experience memory governing what is summarized, archived and dereferenced across steps; validated by lab experiments on long-horizon tasks plus a theoretical analysis."
4084,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"AdaCoM trains an external manager that prunes and preserves a frozen agent's carried context; validated on web-search and deep-research benchmarks with transfer experiments, not in deployment."
4087,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,"Novelty is a judge that validates a candidate compaction against the agent's continued reasoning before it may stand; validated on SWE-bench Verified and BrowseComp in the lab."
4089,verification_and_gating,tool,validation_research,controlled_experiment,fully_autonomous,preprint,"SkillSentry wraps the execution loop to monitor and guide skill execution against a DSL specification; validated by a lab design of 15 skills across two agents and two backbones each."
4090,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a dual-optimization MCTS that reshapes expansion and selection in vast web action spaces; validated on WebArena and MiniWoB++ benchmarks, a lab setting."
4109,planning_and_control_flow,tool,validation_research,controlled_experiment,human_on_the_loop,preprint,"Executive Kernel contributes scheduling, dependency resolution and dispatch that fix step order after upfront planning; empirically compared against a ReAct baseline across query complexities."
4110,loop_evaluation_and_diagnosis,tool,validation_research,ablation,fully_autonomous,preprint,"Headline artefact is a reusable bounded-memory testbed and methodology for isolating memory layers; evidence is a fixed-A0 ablation of layers over 298 lab trajectories in Slay the Spire 2."
4114,multi_agent_coordination,tool,validation_research,benchmark,fully_autonomous,preprint,"Contribution is an asynchronous message-passing layer defining how agents exchange findings mid-execution; validated on the SWE-Atlas QnA benchmark against single-agent and stronger baselines."
4125,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"A Meta-Agent turns execution evidence into validation-gated updates to Skill Memory between episodes, a recursive self-improvement loop; validated across four benchmarks and ten models."
4126,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"ACM gives the agent context-editing tools deciding when to compress, offload to external memory and retrieve; validated by lab experiments on agentic search and coding tasks."
4133,loop_evaluation_and_diagnosis,method,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is a diagnostic methodology instrumenting tasks with checkpoints to localize where loops fail; evidence is a pre-specified 92-seed study with a matched non-guidance control."
4138,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"Weighted Memory Tree decides which memories stay active across steps via retention scores and decay; validated on GAIA-Text with three models plus ablations and poisoning tests in the lab."
4152,deliberative_search,method,validation_research,benchmark,fully_autonomous,preprint,"Title contribution EGB expands decision branches where predictive entropy is high, changing exploration shape; validated by extensive lab experiments on the authors' SLATE benchmark."
4155,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"HiAgent chunks working memory by subgoal and replaces stale action-observation pairs with summaries so history fits the window; validated on five long-horizon lab tasks."
4157,budget_and_termination_control,method,validation_research,benchmark,fully_autonomous,preprint,"Contribution adaptively allocates counterfactual reasoning and suppresses unnecessary harness work, credited by large token and time reductions at preserved success; lab experiments only."
4162,verification_and_gating,tool,solution_proposal,none,human_on_the_loop,preprint,"Faramesh is a mandatory authorization boundary issuing PERMIT/DEFER/DENY before any action executes; the paper introduces and argues the primitives without reporting any evaluation."
4172,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"The artefact is SWE-Marathon, a 20-task instrument with executable environments and verification suites for measuring ultra-long-horizon agents; frontier agents are scored in the lab."
4178,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,human_in_the_loop,preprint,"Contribution is InterruptBench plus a simulation framework for measuring how loops absorb user interruptions; six backbones are scored in the lab, with a simulated user acting mid-task."
4180,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"ELHPlan's primitive is intention-bound action chains, validated for conflicts and refined to avoid full replanning, fixing what the loop does next; benchmarked on TDW-MAT and C-WAH."
4182,memory_and_context_management,method,validation_research,benchmark,fully_autonomous,preprint,"MemAct makes working-memory deletion and insertion learnable policy actions governing carried context; validated by lab RL experiments showing 51% shorter context at matched accuracy."
