paper_id,axis,coder_A,coder_B
2,contribution_type,tool,method
225,contribution_type,tool,model
281,contribution_type,metric,tool
304,contribution_type,model,tool
346,contribution_type,method,model
470,contribution_type,tool,method
517,contribution_type,tool,method
523,contribution_type,method,tool
1382,contribution_type,tool,method
1452,contribution_type,tool,method
1461,contribution_type,model,method
1564,contribution_type,model,method
1574,contribution_type,model,method
1581,contribution_type,tool,metric
1610,contribution_type,model,method
1792,contribution_type,model,method
1805,contribution_type,tool,method
1835,contribution_type,tool,metric
1865,contribution_type,tool,method
1885,contribution_type,tool,metric
1948,contribution_type,tool,metric
2352,contribution_type,method,tool
2365,contribution_type,method,tool
2560,contribution_type,method,metric
3165,contribution_type,method,model
3784,contribution_type,method,tool
3799,contribution_type,method,tool
3815,contribution_type,metric,model
3836,contribution_type,method,tool
3932,contribution_type,metric,method
3935,contribution_type,tool,model
4053,contribution_type,metric,tool
4311,contribution_type,method,model
4318,contribution_type,model,metric
4320,contribution_type,metric,model
4660,contribution_type,model,process
5024,contribution_type,model,method
5069,contribution_type,tool,method
5103,contribution_type,method,metric
5214,contribution_type,process,method
5225,contribution_type,method,model
5237,contribution_type,metric,process
5246,contribution_type,model,method
5465,contribution_type,method,model
5489,contribution_type,model,process
5682,contribution_type,tool,method
5860,contribution_type,tool,method
5899,contribution_type,tool,method
5965,contribution_type,method,tool
5971,contribution_type,model,tool
5975,contribution_type,method,tool
5990,contribution_type,tool,method
6093,contribution_type,method,tool
6172,contribution_type,method,tool
6200,contribution_type,tool,method
6242,contribution_type,model,process
6497,contribution_type,tool,metric
6532,contribution_type,tool,model
6816,contribution_type,model,metric
6930,contribution_type,model,process
6937,contribution_type,model,process
6986,contribution_type,method,model
6988,contribution_type,model,tool
7029,contribution_type,model,process
7239,contribution_type,metric,tool
7535,contribution_type,method,tool
7608,contribution_type,model,tool
7649,contribution_type,method,tool
7985,contribution_type,method,tool
8034,contribution_type,method,metric
8344,contribution_type,process,method
8726,contribution_type,process,model
9096,contribution_type,method,tool
9117,contribution_type,tool,method
9429,contribution_type,metric,tool
10096,contribution_type,method,model
10432,contribution_type,model,method
10564,contribution_type,method,process
10565,contribution_type,model,method
10696,contribution_type,tool,method
10782,contribution_type,method,metric
156,evaluation_strategy,case_study,benchmark
271,evaluation_strategy,case_study,benchmark
441,evaluation_strategy,controlled_experiment,benchmark
567,evaluation_strategy,illustrative_example,case_study
690,evaluation_strategy,case_study,controlled_experiment
691,evaluation_strategy,benchmark,controlled_experiment
797,evaluation_strategy,benchmark,controlled_experiment
1021,evaluation_strategy,controlled_experiment,benchmark
1038,evaluation_strategy,case_study,controlled_experiment
1070,evaluation_strategy,controlled_experiment,benchmark
1349,evaluation_strategy,controlled_experiment,benchmark
1615,evaluation_strategy,benchmark,controlled_experiment
2249,evaluation_strategy,illustrative_example,controlled_experiment
3673,evaluation_strategy,controlled_experiment,benchmark
3742,evaluation_strategy,controlled_experiment,benchmark
3879,evaluation_strategy,controlled_experiment,benchmark
3880,evaluation_strategy,controlled_experiment,benchmark
3976,evaluation_strategy,controlled_experiment,benchmark
4324,evaluation_strategy,benchmark,controlled_experiment
4624,evaluation_strategy,controlled_experiment,benchmark
5024,evaluation_strategy,controlled_experiment,benchmark
5275,evaluation_strategy,benchmark,controlled_experiment
5282,evaluation_strategy,controlled_experiment,human_study
5304,evaluation_strategy,controlled_experiment,case_study
5324,evaluation_strategy,benchmark,controlled_experiment
5483,evaluation_strategy,benchmark,controlled_experiment
5682,evaluation_strategy,controlled_experiment,benchmark
5843,evaluation_strategy,controlled_experiment,case_study
5928,evaluation_strategy,controlled_experiment,case_study
6060,evaluation_strategy,controlled_experiment,benchmark
6081,evaluation_strategy,benchmark,none
6498,evaluation_strategy,controlled_experiment,ablation
6559,evaluation_strategy,benchmark,controlled_experiment
6661,evaluation_strategy,illustrative_example,none
6988,evaluation_strategy,benchmark,controlled_experiment
7995,evaluation_strategy,benchmark,ablation
8302,evaluation_strategy,human_study,controlled_experiment
9089,evaluation_strategy,benchmark,illustrative_example
9117,evaluation_strategy,benchmark,illustrative_example
10271,evaluation_strategy,benchmark,controlled_experiment
10564,evaluation_strategy,none,illustrative_example
10781,evaluation_strategy,benchmark,controlled_experiment
14,human_role,fully_autonomous,not_specified
215,human_role,not_specified,fully_autonomous
279,human_role,human_in_the_loop,not_specified
517,human_role,fully_autonomous,not_specified
608,human_role,human_in_the_loop,not_specified
660,human_role,human_in_the_loop,human_on_the_loop
666,human_role,not_specified,fully_autonomous
690,human_role,human_in_the_loop,fully_autonomous
865,human_role,not_specified,fully_autonomous
1044,human_role,human_on_the_loop,fully_autonomous
1458,human_role,human_in_the_loop,fully_autonomous
1723,human_role,not_specified,fully_autonomous
1849,human_role,fully_autonomous,not_specified
1923,human_role,fully_autonomous,not_specified
2249,human_role,not_specified,fully_autonomous
2354,human_role,human_in_the_loop,human_on_the_loop
3744,human_role,not_specified,fully_autonomous
3863,human_role,fully_autonomous,not_specified
3969,human_role,fully_autonomous,not_specified
3987,human_role,fully_autonomous,not_specified
4067,human_role,fully_autonomous,not_specified
4077,human_role,fully_autonomous,not_specified
4079,human_role,fully_autonomous,not_specified
4109,human_role,not_specified,human_on_the_loop
4203,human_role,fully_autonomous,not_specified
4213,human_role,fully_autonomous,not_specified
4286,human_role,human_in_the_loop,human_on_the_loop
4318,human_role,fully_autonomous,not_specified
4347,human_role,fully_autonomous,not_specified
4615,human_role,human_in_the_loop,human_on_the_loop
4714,human_role,not_specified,human_in_the_loop
4746,human_role,not_specified,fully_autonomous
4822,human_role,not_specified,fully_autonomous
4830,human_role,not_specified,human_in_the_loop
4833,human_role,not_specified,fully_autonomous
4836,human_role,not_specified,fully_autonomous
4861,human_role,not_specified,fully_autonomous
4886,human_role,not_specified,fully_autonomous
4916,human_role,not_specified,fully_autonomous
4944,human_role,not_specified,fully_autonomous
4957,human_role,not_specified,fully_autonomous
4960,human_role,not_specified,fully_autonomous
4963,human_role,not_specified,fully_autonomous
4970,human_role,not_specified,fully_autonomous
4971,human_role,not_specified,human_in_the_loop
4974,human_role,not_specified,fully_autonomous
4975,human_role,not_specified,fully_autonomous
4977,human_role,not_specified,fully_autonomous
4978,human_role,not_specified,fully_autonomous
4979,human_role,not_specified,fully_autonomous
