paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
6118,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a planner/task-fetching-unit/executor that compiles function calls into a parallel execution DAG fixing step order; benchmarked in the lab on function-calling tasks vs ReAct, not deployed."
6140,verification_and_gating,tool,validation_research,benchmark,fully_autonomous,preprint,Novelty is the symbolic failure-detection judgement (ontology plus logical rules detect all failures online) that triggers recovery; empirically evaluated in the AI2Thor simulated kitchen against an LLM-only baseline.
6141,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,Mechanism is what the loop does next: a value system proposes candidate activities and selects the next task each step; validated by lab experiments on the Concordia simulator against other LLM agents.
6156,memory_and_context_management,tool,validation_research,benchmark,fully_autonomous,preprint,"Contribution is procedural-memory placement and retrieval across orchestrator and task agents (what state carries across tasks); lab experiments on the OfficeBench benchmark, no real deployment."
6162,verification_and_gating,model,validation_research,human_study,human_in_the_loop,preprint,"The mechanism is a confirmation gate deciding whether the agent may proceed unaided, placed by a decision-theoretic model; validated in the lab by a formative study (8) and a within-subjects study (48 participants)."
6172,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"High-level planner performs goal decomposition and adaptive replanning that fixes the executor's next sub-task, with structured memory as support; lab validation on RMBench tasks plus ablations."
6181,planning_and_control_flow,model,validation_research,human_study,human_in_the_loop,conference,"Contribution is a design space for how humans revise agent plans (semantic vs structural edits) determining the system's next steps; the AMBIPOM prototype is validated in a lab user study, not in practice."
6184,verification_and_gating,method,validation_research,benchmark,fully_autonomous,journal,Step verification trained on synthesized invalid samples acts as the process-level control signal admitting or rejecting each step; validated on math-reasoning and web-interaction tasks against prior training baselines.
6189,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Action Chains are proposed as the planning primitive, with proactive conflict validation and targeted refinement instead of full re-planning; validated on the TDW-MAT and C-WAH benchmarks in the lab."
6194,verification_and_gating,model,solution_proposal,illustrative_example,fully_autonomous,preprint,Mechanism is a pre-execution gate: temporal logic and discrete event systems verify LLM task allocations before execution; only demonstrated on one multi-robot assembly scenario with no measured results.
6196,critique_and_revision,method,solution_proposal,none,fully_autonomous,preprint,Error Matrix Classification attributes failures to ten typed causes to guide subsequent correction and strategy revision; the abstract proposes the three components and reports no evaluation of them.
6200,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,preprint,"Contribution is a compilation layer turning skill sets into typed DAGs with precondition-effect edges that fix execution order, plus locality-bounded repair; lab benchmarks ALFWorld, ScienceWorld, WebShop, InterCode."
6204,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,Outer loop changes the agent between tasks: modular skills are identified from prior tasks and reflection on failures synthesizes new reusable solutions; validated on an existing and a new benchmark task in the lab.
6207,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,Meta-Skill is refined across episodes by rollout plus selective reflection distilling past experience without parametric updates; validated in lab experiments over four benchmarks and four LLMs.
6220,planning_and_control_flow,model,validation_research,case_study,fully_autonomous,preprint,"Empirical audit of one mechanism: an agentic LLM as the planning and execution-reasoning core of a cognitive architecture; studied in depth on two household tasks in a simulator, reporting emergent behaviour and limits."
6235,planning_and_control_flow,model,validation_research,benchmark,fully_autonomous,preprint,Contribution decides the next step: value reasoning generates symbolic subgoals that a PDDL planner turns into action plans under closed-loop feedback; validated by TongSim experiments against baselines in simulation.
6241,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"Deviation signals from the executor trigger reflection that rewrites subtask descriptions as corrective plans; validated on standard VLN benchmarks under a constrained data budget, runner-up planning_and_control_flow."
6242,planning_and_control_flow,model,opinion_paper,none,not_specified,preprint,"Argues forecasting should be organized as an agentic workflow of perception, planning, action, reflection and memory that determines each next step; a position paper with three outlined paradigms and no method or evaluation."
6252,verification_and_gating,model,validation_research,benchmark,fully_autonomous,preprint,"Proposals may update committed mission state only after deterministic verification and atomic commit, an explicit gate on agentic proposals; validated on a factory scenario, 30-seed stress benchmarks and ablations."
6256,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"A Strategy Fitness Score triggers revision of the global plan when the agent is stuck, deciding the next step from holistic plan or local policy; validated on ALFWorld and Mind2Web with ablations."
6269,memory_and_context_management,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Contribution is a persistent queryable external world model that fixes stateless drift, raising state-tracking accuracy 56 to 93 percent; validated in the lab on assembly, exploration and real-robot runs under induced failures."
6270,planning_and_control_flow,method,validation_research,benchmark,fully_autonomous,preprint,"Jailbreaking is formulated as risk-aware PDDL planning with a Planner deciding each turn's strategy, credited by the ablation to multi-step planning; validated against open and closed target models in the lab."
6292,verification_and_gating,method,validation_research,benchmark,fully_autonomous,preprint,"The mechanism judges runs: telemetry monitors plus deterministic verification that recomputes stated totals flag failing episodes before rollback; validated on 2823 lab episodes and two external corpora (AFTraj-2K, ATBench)."
6305,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,Outer RL loop trains the agent on its own failed trajectories via pivotal-turn credit assignment and reflection returns; validated on 4 agent tasks and 7 search QA benchmarks against MetaRL and GiGPO.
6321,verification_and_gating,metric,validation_research,benchmark,not_specified,preprint,"Contribution is a stepwise confidence estimate used to detect errors in multi-step reasoning, a judgement signal not a revision; lab comparison of holistic vs stepwise scoring on two benchmark datasets by AUC-ROC."
