paper_id,axis,coder_1,coder_2,adjudicated,rationale
156,loop_mechanism,budget_and_termination_control,loop_evaluation_and_diagnosis,budget_and_termination_control,"Contribution is a detector for missing loop bounds (ALDG feedback paths, cost exhaustion); the mechanism audited is termination bounding, not an instrument that generalises past it."
312,loop_mechanism,loop_evaluation_and_diagnosis,verification_and_gating,loop_evaluation_and_diagnosis,"Contribution claim leads with MatPCR, a label-free benchmark, and the Physical-Consistency Rate; the self-verification loop is a second artefact measured on that instrument."
472,loop_mechanism,verification_and_gating,loop_evaluation_and_diagnosis,loop_evaluation_and_diagnosis,"Contributes an attack class plus evaluation across attack methods, surfaces and properties to pinpoint susceptibility; the self-examination detector is reported as ineffective."
913,loop_mechanism,loop_evaluation_and_diagnosis,memory_and_context_management,loop_evaluation_and_diagnosis,Abstract leads with an open-source harness for long-horizon evaluation that standardises execution and pushes measurement toward true capability; Continual Harness memory is one part.
1061,loop_mechanism,verification_and_gating,planning_and_control_flow,planning_and_control_flow,"ReSpAct extends ReAct by alternating task-solving actions with dialogue that refines plans; the contribution is the reason-act-speak interleaving, not a gate on proceeding."
1116,loop_mechanism,memory_and_context_management,self_evolution,memory_and_context_management,Named failures are brevity bias and context collapse; the mechanism is incremental curation of a playbook that is read back as system prompt or agent memory.
1485,loop_mechanism,verification_and_gating,critique_and_revision,verification_and_gating,"Object is the judgement: self-generated tests bias post-execution debugging, and the fix reads intermediate execution states instead. Guide places test generation for debugging here."
1567,loop_mechanism,planning_and_control_flow,deliberative_search,deliberative_search,"APR's claim is learned spawn/join branching that fixes self-consistency's uncoordinated parallel sampling; it changes the shape of the exploration, not just its ordering."
1723,loop_mechanism,planning_and_control_flow,verification_and_gating,planning_and_control_flow,"MGV adds a monitoring stage determining when and how reasoning should begin, targeting early commitment to a path (prefix dominance); it fixes the stages, not a check on an output."
1883,loop_mechanism,verification_and_gating,critique_and_revision,critique_and_revision,Stated gap is that previous methods lack automatic functional correction without human intervention; the delta is the corrector consuming bug info from self-validation.
1885,loop_mechanism,verification_and_gating,critique_and_revision,verification_and_gating,"The paper's object is the check: correction is shown robust given a location, mistake-finding is the deficient step, and a classifier is trained to locate mistakes."
3817,loop_mechanism,verification_and_gating,budget_and_termination_control,budget_and_termination_control,Framed around a limited intervention budget C: the helper policy decides when to escalate to a more powerful model or extra test-time compute.
3847,loop_mechanism,deliberative_search,planning_and_control_flow,planning_and_control_flow,"ParallelEnv contributes execution machinery: a state graph over immutable snapshots, branch commits and pluggable schedulers; it adds no candidate-generation or pruning rule."
3875,loop_mechanism,budget_and_termination_control,verification_and_gating,budget_and_termination_control,GRACE selects ORM versus PRM as an explicit function of compute budget and difficulty: cost-driven substitution of a loop component on the compute-performance Pareto frontier.
3879,loop_mechanism,budget_and_termination_control,deliberative_search,deliberative_search,"Lead technique is speculative path selection expanding high-potential branches, plus pruning of deep redundant branches; SPEX changes the ToT search shape, speedup is the payoff."
3882,loop_mechanism,deliberative_search,budget_and_termination_control,budget_and_termination_control,"The candidate pool is untouched; CAPS allocates verifier compute (how much of a candidate the judge reads, how comparisons are spread) at 25.4% of the verifier-token budget."
3885,loop_mechanism,deliberative_search,self_evolution,deliberative_search,"Meta-thoughts are sampled, selected by a UCB bandit and evolved within the same inference-time loop for one task, not between episodes; candidate selection is the mechanism."
3935,loop_mechanism,planning_and_control_flow,multi_agent_coordination,planning_and_control_flow,"Harnesses explicitly decompose pattern discovery and program synthesis into stages, and the Reflective Orchestrator re-explores when hypotheses fail - a replanning trigger."
3949,loop_mechanism,multi_agent_coordination,deliberative_search,multi_agent_coordination,"Novelty over step-level beam search is the collective: multiple LLMs generate, perplexity consensus among them verifies, and quota is reallocated by each model's past performance."
3969,loop_mechanism,budget_and_termination_control,planning_and_control_flow,budget_and_termination_control,"Problem is CoT redundancy - repetitive verification, unnecessary shifts; the When/How/Which modules suppress those steps and the reported gain is shorter chains."
3987,loop_mechanism,loop_evaluation_and_diagnosis,planning_and_control_flow,loop_evaluation_and_diagnosis,"Headline is Theorem A plus observed performance cliffs, a structural bound on maintainable chains and a warning that short-horizon protocols hide it; DAGs are a consequence."
4687,loop_mechanism,loop_evaluation_and_diagnosis,memory_and_context_management,loop_evaluation_and_diagnosis,"Contribution is a position plus a research agenda for harness-level benchmarks (trajectory quality, memory hygiene, verification cost) spanning memory, routing and orchestration."
5208,loop_mechanism,multi_agent_coordination,budget_and_termination_control,multi_agent_coordination,"LAMaS learns the execution graph over agents and prunes redundant agent interactions at runtime; latency is the objective, the agent arrangement is the mechanism changed."
5216,loop_mechanism,multi_agent_coordination,budget_and_termination_control,multi_agent_coordination,"The infra-aware planner conditions topology and role selection on load, and the executor routes each step to a model; orchestration is the mechanism, SLO compliance the target."
5338,loop_mechanism,multi_agent_coordination,self_evolution,multi_agent_coordination,Title and first-listed innovation are the multi-agent collaboration framework with dynamic topology generation over agent communication graphs; critic and HER evolution follow.
5773,loop_mechanism,critique_and_revision,verification_and_gating,verification_and_gating,"Measured claim is the reviewing agent's near-perfect accuracy in identifying hallucinations across 4,900 runs; the 85-100% successful revisions follow that judgement."
5863,loop_mechanism,loop_evaluation_and_diagnosis,planning_and_control_flow,planning_and_control_flow,First-listed contribution is the framework that generates and executes task graphs and selects tools; the novel metrics and dataset measure that decomposition.
5931,loop_mechanism,multi_agent_coordination,planning_and_control_flow,planning_and_control_flow,Contribution is the joint-plan tensor representation plus a residual conflict score turned into constraints for iterative LLM replanning; roles fall out of the decomposition.
6060,loop_mechanism,planning_and_control_flow,self_evolution,planning_and_control_flow,"RLTR's target is the planning module, rewarded on tool-use completeness of invocation sequences and decoupled from summarisation; it is RL training, not a self-improvement loop."
6093,loop_mechanism,planning_and_control_flow,multi_agent_coordination,planning_and_control_flow,Mechanism is failure-triggered generation of recovery plans by reasoning over structured task graphs and agent states; subtask reassignment is one of three recovery actions.
6468,loop_mechanism,self_evolution,verification_and_gating,self_evolution,"Claim is that the model synthesises its own harness, and eventually its whole policy, through rounds of code refinement on environment feedback; legality is given by the game."
6518,loop_mechanism,verification_and_gating,planning_and_control_flow,planning_and_control_flow,"Lead mechanism is the Six-Verb Semantic Protocol fixing every tool interaction into search, resolve, preview, execute, verify, recover phases; NTC and governance support it."
6520,loop_mechanism,loop_evaluation_and_diagnosis,budget_and_termination_control,loop_evaluation_and_diagnosis,"Organises production failure modes into five design dimensions with vignettes and a readiness checklist; the three algorithms span routing, budget and error semantics, none leading."
6559,loop_mechanism,loop_evaluation_and_diagnosis,memory_and_context_management,memory_and_context_management,"An audit of one named mechanism, context handling: a rot taxonomy plus MCP-versus-Skills entropy and completion comparison; the object throughout is context accumulation."
6595,loop_mechanism,verification_and_gating,planning_and_control_flow,verification_and_gating,Headline result is 95.6% physical compliance from a Design-Verify-Rectify workflow ensuring hardware compliance before execution in an irreversible wet-lab environment.
6888,loop_mechanism,verification_and_gating,loop_evaluation_and_diagnosis,verification_and_gating,The mechanism studied is the agent-driven audit itself: nine rounds of structured inspection under a locked protocol deciding whether the specification stands.
6951,loop_mechanism,critique_and_revision,multi_agent_coordination,multi_agent_coordination,Contribution is the debate arrangement - multiple LLMs critically evaluating one another across debate scenarios - plus memory modules carrying safety insights forward.
6988,loop_mechanism,multi_agent_coordination,loop_evaluation_and_diagnosis,multi_agent_coordination,"Controlled comparison of fixed workflow, single-agent, multi-agent and general code agents; the finding is about how agents are arranged and iteration depth, not an instrument."
6992,loop_mechanism,verification_and_gating,critique_and_revision,verification_and_gating,A critic agent challenges the primary agent's conclusions before they reach human reviewers - a bounded-autonomy check cutting hallucination from 11.3% to 3.8%.
