paper_id,loop_mechanism,contribution_type,research_type,evaluation_strategy,human_role,venue_type,justification
2,verification_and_gating,tool,validation_research,controlled_experiment,human_in_the_loop,preprint,"Contributes a Watchdog execution-monitoring layer whose discrete outcome labels gate finalize/retry/escalate decisions; validated in the lab on a mobile manipulator over induced-failure scenarios, not in deployment."
3,multi_agent_coordination,tool,validation_research,controlled_experiment,fully_autonomous,preprint,"Compares single-agent, peer-review, triage-ranking and triage-forms arrangements of reasoning agents, so the claim is the arrangement itself; evidence is lab DFT campaigns on two chemistries."
14,self_evolution,method,validation_research,benchmark,fully_autonomous,preprint,"Trains an offline RL critic on the agent's own past trajectories and rescores actions with it, an outer loop that changes the agent between episodes; lab runs on ScienceWorld, ALFWorld, WebShop. Runner-up: action selection."
61,planning_and_control_flow,method,validation_research,benchmark,human_in_the_loop,preprint,"BALAR's contribution is choosing the next clarifying question by maximizing expected mutual information over a belief state, i.e. what the loop does next; evidence is lab accuracy on three named benchmarks."
77,loop_evaluation_and_diagnosis,metric,validation_research,controlled_experiment,fully_autonomous,preprint,"Contributes energy, token and duration measurements across four existing agentic frameworks to characterise wasted loop effort, an instrument not a mechanism; run on fixed lab hardware, not in production."
90,memory_and_context_management,model,validation_research,controlled_experiment,not_specified,preprint,"Contributes a Valence-Arousal-Dominance state kept outside the model and carried across turns, i.e. what state persists; evidence is a fixed 25-turn lab protocol comparing stateless, first- and second-order dynamics."
116,multi_agent_coordination,model,validation_research,controlled_experiment,fully_autonomous,preprint,"Audits LLM agents' collaboration and Theory-of-Mind inference in a cooperative multi-agent game and adds explicit belief states, so the object is the agent arrangement; lab game against MARL and planning baselines."
156,budget_and_termination_control,tool,validation_research,case_study,not_specified,preprint,"Defines infinite agentic loops as feedback paths without an effective bound and detects missing termination, so the mechanism is termination control; IAL-Scan is applied to 6,549 real repositories with manual confirmation."
215,verification_and_gating,tool,validation_research,benchmark,not_specified,preprint,"The multi-tier guard rejects fabricated or unsourced values before they enter the workflow and audits provenance at report time, i.e. a check that gates the loop; evidence is lab benchmarks Sol27LC and CO/Pt(111)."
221,verification_and_gating,process,solution_proposal,none,human_on_the_loop,preprint,"AGENTSAFE's mechanism is runtime constraint of risky actions, dynamic authorization and escalation gates; the framework is proposed and argued as lifecycle controls with no reported evaluation results."
225,planning_and_control_flow,tool,validation_research,benchmark,fully_autonomous,conference,"The finite state machine of screens and transitions is built to guide task planning, verification and recovery, i.e. it determines the next step; evidence is lab success rates on Mobile-Eval-E, SPA-Bench and AndroidWorld."
234,planning_and_control_flow,model,philosophical_paper,none,not_specified,journal,"Theorises recursive goal representation, evaluation and updating as what governs the agent's next action; the paper is conceptual, formalising synthetic teleology and design patterns with no empirical study."
236,critique_and_revision,method,validation_research,benchmark,fully_autonomous,preprint,"The claim is the coarse-to-fine refinement schedule and how many rounds of feedback-driven revision to run, not the reward model that judges; evidence is lab accuracy on five math datasets."
237,loop_evaluation_and_diagnosis,tool,validation_research,benchmark,fully_autonomous,preprint,"AgentQuest contributes a modular harness and two progress metrics for measuring agent behaviour, an instrument rather than a loop mechanism; utility shown by lab runs on the benchmarks it wraps."
255,critique_and_revision,tool,validation_research,benchmark,fully_autonomous,journal,"The headline loop is an FSM-supervised error-recovery loop that repairs failed inputs after the simulator rejects them, recovering 76.3% of failures; evidence is 295 lab benchmark prompts against LLM-only baselines."
