paper_id,axis,coder_1,coder_2,adjudicated,rationale
156,evaluation_strategy,case_study,benchmark,benchmark,"Precision measured over a 6,549-repo corpus (68 confirmed IAL failures, 91.9% precision); a dataset-scale evaluation, not one or a few systems in depth."
271,evaluation_strategy,case_study,benchmark,case_study,"Every number comes from one OpenKedge cloud prototype the authors built (93% of intents blocked, 12.4 ms latency); one setting, no pre-existing benchmark."
441,evaluation_strategy,controlled_experiment,benchmark,controlled_experiment,"Frameworks varied under a standardised MAFBench pipeline 'to isolate architectural effects'; the causal claim rests on that controlled comparison, not on a score."
567,evaluation_strategy,illustrative_example,case_study,illustrative_example,Only concrete evidence is the CyberLoop reference implementation 'demonstrating applicability'; the claimed experiments and qualitative evaluations state no measurement.
690,evaluation_strategy,case_study,controlled_experiment,case_study,Validated in one cyber-physical 6G testbed with real network infrastructure and mirrored by real-world deployments; one setting studied in depth.
691,evaluation_strategy,benchmark,controlled_experiment,benchmark,Reports solving all twelve benchmark cases and better convergence efficiency than GPT-based and human-in-the-loop baselines: performance on a task suite.
797,evaluation_strategy,benchmark,controlled_experiment,benchmark,"Success counted on six tasks in a pre-existing text-based game environment (two of six earlier failures completed); performance on a task set, no varied conditions."
1021,evaluation_strategy,controlled_experiment,benchmark,benchmark,'Experimental results show that our framework can produce robust and reliable agent workflows' - performance on agent tasks; no varied-condition design is stated.
1038,evaluation_strategy,case_study,controlled_experiment,case_study,"AgentMonitor applied to a battery of real-world in-the-wild tests of one system, AutoGPT, to surface limitations; one real setting studied in depth."
1070,evaluation_strategy,controlled_experiment,benchmark,benchmark,"Evidence is task performance of multi-agent groups against a single-agent baseline; baseline comparison on standing tasks, not deliberate condition variation."
1349,evaluation_strategy,controlled_experiment,benchmark,benchmark,"Claim rests on reasoning accuracy before and after intrinsic self-correction on standard datasets, where performance degrades; benchmark scores are the instrument."
1615,evaluation_strategy,benchmark,controlled_experiment,benchmark,Extensive experiments report accuracy of IoE-prompted self-corrected answers over the initial answers on reasoning datasets.
2249,evaluation_strategy,illustrative_example,controlled_experiment,controlled_experiment,Paper states static datasets are insufficient; ICRH is shown by constructing output-refinement and policy-refinement feedback conditions and comparing them.
3673,evaluation_strategy,controlled_experiment,benchmark,benchmark,"p99 latency, throughput and reasoning accuracy measured on MCTS workloads inside vLLM; systems performance reported on task sets."
3742,evaluation_strategy,controlled_experiment,benchmark,benchmark,Evidence is 4x efficiency over a best-of-N baseline and a FLOPs-matched comparison on the reasoning benchmark; the scaling analysis rides on benchmark scores.
3879,evaluation_strategy,controlled_experiment,benchmark,benchmark,"1.2-3x speedups measured across ToT algorithms and LLMs on SGLang; the ablation studies support that result, which the guide codes as benchmark."
3880,evaluation_strategy,controlled_experiment,benchmark,benchmark,'Experiments against strong baselines such as ASC and ESC' report correctness against sampling rounds and total samples on reasoning tasks.
