paper_id,title,doi,landing_url,best_try,arxiv_pdf
1837,Self-Corrective Task Planning by Inverse Prompting with Large Language Models,10.1109/icra55743.2025.11128028,https://openalex.org/W4413917394,https://doi.org/10.1109/icra55743.2025.11128028,http://arxiv.org/pdf/2503.07317v1
1870,LLaVA-SCo: Teach Vision Language Models to Self-Correct,10.1109/cvprw67362.2025.00325,https://openalex.org/W4414198492,https://doi.org/10.1109/cvprw67362.2025.00325,
2227,Fight Fire With Fire: How Much Can We Trust ChatGPT on Source Code-Related Tasks?,10.1109/tse.2024.3492204,https://openalex.org/W4404057519,https://doi.org/10.1109/tse.2024.3492204,http://arxiv.org/pdf/2405.12641v2
2388,Reconciling Divergent Views Through a Critical Analysis of Iterative Self-Improvement in LLMs,,https://openalex.org/W7117857712,https://openalex.org/W7117857712,
4192,ReAcTree: Hierarchical LLM Agent Trees with Control Flow for Long-Horizon Task Planning,10.65109/ucgt7089,https://openalex.org/W7162262853,https://doi.org/10.65109/ucgt7089,http://arxiv.org/pdf/2511.02424v2
4203,"Generative AI in Embodied Systems: System-Level Analysis of Performance, Efficiency and Scalability",10.1109/ispass64960.2025.00013,https://openalex.org/W4412987278,https://doi.org/10.1109/ispass64960.2025.00013,http://arxiv.org/pdf/2504.18945v1
4308,Trust-Aware Runtime Verification for Autonomous LLM Agent Systems,10.1109/icaiset66439.2026.11541707,https://openalex.org/W7163194659,https://doi.org/10.1109/icaiset66439.2026.11541707,
5843,Agentic Framework for Intelligent Surrogate Modeling of Simulator-Driven Workflows,10.2118/229629-ms,https://openalex.org/W4415777346,https://doi.org/10.2118/229629-ms,
6081,CART: A traceable zero-shot planning framework for large language models with adaptive replanning,10.1016/j.knosys.2025.115189,https://openalex.org/W7117237573,https://doi.org/10.1016/j.knosys.2025.115189,
8165,Continually Learning Planning Agent for Large Environments guided by LLMs,10.1109/cai59869.2024.00076,https://openalex.org/W4401110047,https://doi.org/10.1109/cai59869.2024.00076,
8716,"Loop Engineering of Agentic, Developer, and External Feedback Cycles for Large-Scale Enterprise Healthcare Applications",10.70153/ijcmi/2026.18104,https://openalex.org/W7203794427,https://doi.org/10.70153/ijcmi/2026.18104,
8724,Agentic AI Automation for Data Science in Large-Scale Projects: Intelligent Agents and Loop Engineering,10.70153/ijcmi/2026.18107,https://openalex.org/W7203788439,https://doi.org/10.70153/ijcmi/2026.18107,
8844,Agentic Workflows for Improving Large Language Model Reasoning in Robotic Object-Centered Planning,10.3390/robotics14030024,https://doi.org/10.3390/robotics14030024,https://doi.org/10.3390/robotics14030024,
8845,Hierarchical Agentic AI Framework for Autonomous Task Planning using Large Language Model Reasoning,10.55524/ijirem.2026.13.2.23,https://doi.org/10.55524/ijirem.2026.13.2.23,https://doi.org/10.55524/ijirem.2026.13.2.23,
