paper_id,axis,coder_1,coder_2,adjudicated,rationale
567,research_type,solution_proposal,validation_research,validation_research,"Abstract reports experiments and qualitative evaluations showing reduced drift across diverse LLM settings, with a CyberLoop prototype; lab only, no deployment."
714,research_type,solution_proposal,philosophical_paper,philosophical_paper,"Contribution is a process model plus reference architecture derived from a multivocal literature review; a conceptual framework, no example or validation reported."
6081,research_type,validation_research,solution_proposal,validation_research,"No abstract in the corpus; coded from title and venue. A planning framework with adaptive replanning in Knowledge-Based Systems, whose papers carry benchmark experiments."
6520,research_type,experience_paper,solution_proposal,solution_proposal,"Leads with proposing CABP, ATBA and SERF; abstract says the three algorithms are only 'formalized as testable hypotheses', so field vignettes are motivation, not the contribution."
6603,research_type,solution_proposal,validation_research,validation_research,"Beyond formalising SPE it builds the Spell language and reports experiments in which frontier models operate in the regime and complete agentic tasks; lab, not practice."
6612,research_type,opinion_paper,philosophical_paper,philosophical_paper,"Not method-free: it formalises UCCT and RCA and reports empirical validation on causal judgment, so the contribution is a conceptual framework, not a bare position."
6634,research_type,evaluation_research,validation_research,validation_research,The four IDE agents are compared on the authors' own five-stage task of building Next-Gen SPLDV; a constructed benchmark with no real users or production work is a lab study.
6776,research_type,validation_research,solution_proposal,validation_research,"Abstract reports preliminary results in which the RL-trained attacker beats a direct malicious-prompt baseline on consensus rate; a measured lab comparison, not a small example."
6993,research_type,solution_proposal,philosophical_paper,philosophical_paper,"Defines a calculus, proves a composition theorem and states it is 'a finite obstruction and compositional reliability framework rather than a claim of benchmark-complete validation'."
7029,research_type,philosophical_paper,opinion_paper,philosophical_paper,"Names a failure mode (cognitive fixation) and introduces the concept of external cooling as a structural governance requirement; a new way of looking, not just a stance."
8712,research_type,validation_research,experience_paper,validation_research,"Abstract frames it as an IDE-agent development experiment with measured runs (56 turns, US$12.58, 45/45 tests, 16% rework cost) on demo targets, and rejects a token-saving claim."
8739,research_type,solution_proposal,experience_paper,solution_proposal,"Contribution claim is a transferable operating model, dual-plane KAG pattern and evaluation framework; MiniCISO is one illustrating implementation and no results are reported."
8746,research_type,solution_proposal,experience_paper,solution_proposal,"Leads with proposing Semantic Blocks as a mechanism; the Yingloong three-stage pipeline is a single application example with no measurement, despite the 'lessons learned' framing."
9089,research_type,validation_research,solution_proposal,validation_research,"No abstract in the corpus; coded from title and venue. An iterative image-editing technique at a peer-reviewed symposium (ISAS 2025), where quantitative comparison is the norm."
9117,research_type,validation_research,solution_proposal,validation_research,"No abstract in the corpus; coded from title and venue. A closed-loop framework for medical record generation at ISRAI 2025; lab experiments, no evidence of clinical deployment."
